,test_task,train_task,Mean,Std
0,glass,mem,0.8404166666666667,0.0878118027284072
1,glass,motor,0.635625,0.1223121737896227
2,glass,semantic,0.8332638888888889,0.07553188091973725
3,mem,glass,0.834375,0.08243774707533638
4,mem,motor,0.6337499999999999,0.10186650928683928
5,mem,semantic,0.7818750000000001,0.10215315882116834
6,motor,glass,0.7653472222222223,0.17536631791354293
7,motor,mem,0.87125,0.12648404755428366
8,motor,semantic,0.696875,0.10361113770798415
9,semantic,glass,0.9040972222222222,0.08227043711828182
10,semantic,mem,0.89125,0.08555491135605753
11,semantic,motor,0.643125,0.11996837380862392
