,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.545
1,mixed,mem,MSC01,MSC02,0.7
2,motor,mixed,MSC01,MSC02,0.5
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.505
5,mem,motor,MSC01,MSC02,0.4700000000000001
6,mixed,motor,MSC01,MSC03,0.465
7,mixed,mem,MSC01,MSC03,0.50625
8,motor,mixed,MSC01,MSC03,0.5
9,motor,mem,MSC01,MSC03,0.5
10,mem,mixed,MSC01,MSC03,0.495
11,mem,motor,MSC01,MSC03,0.525
12,mixed,motor,MSC01,MSC04,0.51
13,mixed,mem,MSC01,MSC04,0.53
14,motor,mixed,MSC01,MSC04,0.6
15,motor,mem,MSC01,MSC04,0.585
16,mem,mixed,MSC01,MSC04,0.605
17,mem,motor,MSC01,MSC04,0.495
18,mixed,motor,MSC01,MSC05,0.4800000000000001
19,mixed,mem,MSC01,MSC05,0.47000000000000003
20,motor,mixed,MSC01,MSC05,0.495
21,motor,mem,MSC01,MSC05,0.5
22,mem,mixed,MSC01,MSC05,0.525
23,mem,motor,MSC01,MSC05,0.5700000000000001
24,mixed,motor,MSC01,MSC06,0.5333333333333333
25,mixed,mem,MSC01,MSC06,0.5
26,motor,mixed,MSC01,MSC06,0.5399999999999999
27,motor,mem,MSC01,MSC06,0.5199999999999999
28,mem,mixed,MSC01,MSC06,0.5349999999999999
29,mem,motor,MSC01,MSC06,0.6111111111111112
30,mixed,motor,MSC01,MSC07,0.3388888888888889
31,mixed,mem,MSC01,MSC07,0.43500000000000005
32,motor,mixed,MSC01,MSC07,0.505
33,motor,mem,MSC01,MSC07,0.505
34,mem,mixed,MSC01,MSC07,0.485
35,mem,motor,MSC01,MSC07,0.42222222222222217
36,mixed,motor,MSC01,MSC10,0.47000000000000003
37,mixed,mem,MSC01,MSC10,0.475
38,motor,mixed,MSC01,MSC10,0.5
39,motor,mem,MSC01,MSC10,0.5
40,mem,mixed,MSC01,MSC10,0.52
41,mem,motor,MSC01,MSC10,0.385
42,mixed,motor,MSC02,MSC01,0.525
43,mixed,mem,MSC02,MSC01,0.4600000000000001
