,test_task,train_task,Mean,Std
0,glass,mem,0.6331944444444444,0.12984996306062718
1,glass,motor,0.6108730158730159,0.12484872359728172
2,glass,semantic,0.5960218253968252,0.09101804663037882
3,mem,glass,0.6141170634920634,0.11588573539322546
4,mem,motor,0.60875,0.12710500312018336
5,mem,semantic,0.613125,0.11456464034850292
6,motor,glass,0.6517460317460317,0.13019033069390706
7,motor,mem,0.6658035714285713,0.1608748152099364
8,motor,semantic,0.6035714285714286,0.10539844006830063
9,semantic,glass,0.6195337301587301,0.11225750904300347
10,semantic,mem,0.666607142857143,0.14411519112046556
11,semantic,motor,0.6065178571428571,0.12942853290472744
