,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.875
1,mixed,mem,MSC01,0.865
2,motor,mixed,MSC01,0.8149999999999998
3,motor,mem,MSC01,0.71
4,mem,mixed,MSC01,0.7899999999999999
5,mem,motor,MSC01,0.7
6,mixed,motor,MSC02,0.5549999999999999
7,mixed,mem,MSC02,0.755
8,motor,mixed,MSC02,0.5900000000000001
9,motor,mem,MSC02,0.56
10,mem,mixed,MSC02,0.685
11,mem,motor,MSC02,0.47000000000000003
12,mixed,motor,MSC03,0.8949999999999999
13,mixed,mem,MSC03,0.8125
14,motor,mixed,MSC03,0.6799999999999999
15,motor,mem,MSC03,0.68125
16,mem,mixed,MSC03,0.7062499999999999
17,mem,motor,MSC03,0.8625
18,mixed,motor,MSC04,0.76
19,mixed,mem,MSC04,0.71
20,motor,mixed,MSC04,0.7
21,motor,mem,MSC04,0.7300000000000001
22,mem,mixed,MSC04,0.72
23,mem,motor,MSC04,0.69
24,mixed,motor,MSC05,0.765
25,mixed,mem,MSC05,0.8400000000000001
26,motor,mixed,MSC05,0.66
27,motor,mem,MSC05,0.76
28,mem,mixed,MSC05,0.7949999999999998
29,mem,motor,MSC05,0.7949999999999999
30,mixed,motor,MSC06,0.8388888888888889
31,mixed,mem,MSC06,0.8600000000000001
32,motor,mixed,MSC06,0.7888888888888886
33,motor,mem,MSC06,0.7888888888888888
34,mem,mixed,MSC06,0.78
35,mem,motor,MSC06,0.8388888888888888
36,mixed,motor,MSC07,0.7388888888888888
37,mixed,mem,MSC07,0.71
38,motor,mixed,MSC07,0.7999999999999999
39,motor,mem,MSC07,0.6944444444444444
40,mem,mixed,MSC07,0.7499999999999998
41,mem,motor,MSC07,0.7055555555555555
42,mixed,motor,MSC10,0.7700000000000002
43,mixed,mem,MSC10,0.675
44,motor,mixed,MSC10,0.66
45,motor,mem,MSC10,0.6900000000000001
46,mem,mixed,MSC10,0.6900000000000001
47,mem,motor,MSC10,0.7849999999999999
