,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.6
1,mixed,mem,MSC01,MSC02,0.6450000000000001
2,motor,mixed,MSC01,MSC02,0.6950000000000001
3,motor,mem,MSC01,MSC02,0.655
4,mem,mixed,MSC01,MSC02,0.6299999999999999
5,mem,motor,MSC01,MSC02,0.5349999999999999
6,mixed,motor,MSC01,MSC03,0.6700000000000002
7,mixed,mem,MSC01,MSC03,0.625
8,motor,mixed,MSC01,MSC03,0.5549999999999999
9,motor,mem,MSC01,MSC03,0.6625
10,mem,mixed,MSC01,MSC03,0.505
11,mem,motor,MSC01,MSC03,0.6600000000000001
12,mixed,motor,MSC01,MSC04,0.5349999999999999
13,mixed,mem,MSC01,MSC04,0.565
14,motor,mixed,MSC01,MSC04,0.51
15,motor,mem,MSC01,MSC04,0.5549999999999999
16,mem,mixed,MSC01,MSC04,0.66
17,mem,motor,MSC01,MSC04,0.6700000000000002
18,mixed,motor,MSC01,MSC05,0.53
19,mixed,mem,MSC01,MSC05,0.53
20,motor,mixed,MSC01,MSC05,0.58
21,motor,mem,MSC01,MSC05,0.485
22,mem,mixed,MSC01,MSC05,0.635
23,mem,motor,MSC01,MSC05,0.655
24,mixed,motor,MSC01,MSC06,0.4888888888888888
25,mixed,mem,MSC01,MSC06,0.49000000000000005
26,motor,mixed,MSC01,MSC06,0.4450000000000001
27,motor,mem,MSC01,MSC06,0.44000000000000006
28,mem,mixed,MSC01,MSC06,0.53
29,mem,motor,MSC01,MSC06,0.5444444444444445
30,mixed,motor,MSC01,MSC07,0.6166666666666666
31,mixed,mem,MSC01,MSC07,0.55
32,motor,mixed,MSC01,MSC07,0.6099999999999999
33,motor,mem,MSC01,MSC07,0.5599999999999999
34,mem,mixed,MSC01,MSC07,0.485
35,mem,motor,MSC01,MSC07,0.6666666666666667
36,mixed,motor,MSC01,MSC10,0.5799999999999998
37,mixed,mem,MSC01,MSC10,0.565
38,motor,mixed,MSC01,MSC10,0.5499999999999999
39,motor,mem,MSC01,MSC10,0.48500000000000004
40,mem,mixed,MSC01,MSC10,0.6900000000000002
41,mem,motor,MSC01,MSC10,0.7699999999999999
42,mixed,motor,MSC02,MSC01,0.675
43,mixed,mem,MSC02,MSC01,0.6950000000000001
44,motor,mixed,MSC02,MSC01,0.7799999999999999
45,motor,mem,MSC02,MSC01,0.74
46,mem,mixed,MSC02,MSC01,0.72
47,mem,motor,MSC02,MSC01,0.6199999999999999
