,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.6099999999999999
1,mixed,mem,MSC01,0.7200000000000001
2,motor,mixed,MSC01,0.6450000000000001
3,motor,mem,MSC01,0.5299999999999999
4,mem,mixed,MSC01,0.795
5,mem,motor,MSC01,0.5900000000000001
6,mixed,motor,MSC02,0.445
7,mixed,mem,MSC02,0.675
8,motor,mixed,MSC02,0.6299999999999999
9,motor,mem,MSC02,0.5549999999999999
10,mem,mixed,MSC02,0.64
11,mem,motor,MSC02,0.46499999999999997
12,mixed,motor,MSC03,0.51
13,mixed,mem,MSC03,0.4625
14,motor,mixed,MSC03,0.46499999999999997
15,motor,mem,MSC03,0.54375
16,mem,mixed,MSC03,0.29375
17,mem,motor,MSC03,0.41875000000000007
18,mixed,motor,MSC04,0.675
19,mixed,mem,MSC04,0.7649999999999999
20,motor,mixed,MSC04,0.7300000000000001
21,motor,mem,MSC04,0.63
22,mem,mixed,MSC04,0.7999999999999999
23,mem,motor,MSC04,0.5950000000000001
24,mixed,motor,MSC05,0.4499999999999999
25,mixed,mem,MSC05,0.41000000000000003
26,motor,mixed,MSC05,0.5700000000000001
27,motor,mem,MSC05,0.5800000000000001
28,mem,mixed,MSC05,0.5599999999999998
29,mem,motor,MSC05,0.5399999999999999
30,mixed,motor,MSC06,0.5944444444444446
31,mixed,mem,MSC06,0.4
32,motor,mixed,MSC06,0.6722222222222223
33,motor,mem,MSC06,0.7666666666666666
34,mem,mixed,MSC06,0.495
35,mem,motor,MSC06,0.5611111111111111
36,mixed,motor,MSC07,0.5666666666666667
37,mixed,mem,MSC07,0.45000000000000007
38,motor,mixed,MSC07,0.5666666666666668
39,motor,mem,MSC07,0.5888888888888888
40,mem,mixed,MSC07,0.485
41,mem,motor,MSC07,0.5944444444444444
42,mixed,motor,MSC10,0.7450000000000001
43,mixed,mem,MSC10,0.6649999999999999
44,motor,mixed,MSC10,0.61
45,motor,mem,MSC10,0.5850000000000001
46,mem,mixed,MSC10,0.675
47,mem,motor,MSC10,0.6499999999999999
