,test_task,train_task,Mean,Std
0,glass,mem,0.6735416666666667,0.13055874278446591
1,glass,motor,0.7163194444444445,0.10244452083976081
2,glass,semantic,0.7363888888888888,0.11305443429887409
3,mem,glass,0.6672222222222222,0.10929346608281325
4,mem,motor,0.625,0.07932753080020293
5,mem,semantic,0.6425,0.1228820572744451
6,motor,glass,0.7377083333333333,0.06060500201997582
7,motor,mem,0.701875,0.1609999445430251
8,motor,semantic,0.691875,0.06485905047540724
9,semantic,glass,0.7838888888888889,0.08617739384476972
10,semantic,mem,0.733125,0.14803323709800545
11,semantic,motor,0.7025,0.08754590632511441
