,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.5750000000000001
1,mixed,mem,MSC01,MSC02,0.655
2,motor,mixed,MSC01,MSC02,0.645
3,motor,mem,MSC01,MSC02,0.5399999999999999
4,mem,mixed,MSC01,MSC02,0.5449999999999999
5,mem,motor,MSC01,MSC02,0.52
6,mixed,motor,MSC01,MSC03,0.495
7,mixed,mem,MSC01,MSC03,0.48125
8,motor,mixed,MSC01,MSC03,0.5799999999999998
9,motor,mem,MSC01,MSC03,0.45
10,mem,mixed,MSC01,MSC03,0.5650000000000001
11,mem,motor,MSC01,MSC03,0.5399999999999999
12,mixed,motor,MSC01,MSC04,0.65
13,mixed,mem,MSC01,MSC04,0.5499999999999999
14,motor,mixed,MSC01,MSC04,0.68
15,motor,mem,MSC01,MSC04,0.5449999999999999
16,mem,mixed,MSC01,MSC04,0.7899999999999999
17,mem,motor,MSC01,MSC04,0.755
18,mixed,motor,MSC01,MSC05,0.5149999999999999
19,mixed,mem,MSC01,MSC05,0.5
20,motor,mixed,MSC01,MSC05,0.6650000000000001
21,motor,mem,MSC01,MSC05,0.505
22,mem,mixed,MSC01,MSC05,0.645
23,mem,motor,MSC01,MSC05,0.48
24,mixed,motor,MSC01,MSC06,0.7944444444444444
25,mixed,mem,MSC01,MSC06,0.5999999999999999
26,motor,mixed,MSC01,MSC06,0.6249999999999999
27,motor,mem,MSC01,MSC06,0.595
28,mem,mixed,MSC01,MSC06,0.575
29,mem,motor,MSC01,MSC06,0.6333333333333332
30,mixed,motor,MSC01,MSC07,0.47777777777777775
31,mixed,mem,MSC01,MSC07,0.4600000000000001
32,motor,mixed,MSC01,MSC07,0.49000000000000005
33,motor,mem,MSC01,MSC07,0.49000000000000005
34,mem,mixed,MSC01,MSC07,0.49000000000000005
35,mem,motor,MSC01,MSC07,0.6222222222222222
36,mixed,motor,MSC01,MSC10,0.445
37,mixed,mem,MSC01,MSC10,0.61
38,motor,mixed,MSC01,MSC10,0.51
39,motor,mem,MSC01,MSC10,0.565
40,mem,mixed,MSC01,MSC10,0.575
41,mem,motor,MSC01,MSC10,0.5200000000000001
42,mixed,motor,MSC02,MSC01,0.725
43,mixed,mem,MSC02,MSC01,0.525
44,motor,mixed,MSC02,MSC01,0.56
45,motor,mem,MSC02,MSC01,0.585
46,mem,mixed,MSC02,MSC01,0.525
47,mem,motor,MSC02,MSC01,0.6050000000000001
48,mixed,motor,MSC02,MSC03,0.4149999999999999
49,mixed,mem,MSC02,MSC03,0.45
50,motor,mixed,MSC02,MSC03,0.445
51,motor,mem,MSC02,MSC03,0.4875
52,mem,mixed,MSC02,MSC03,0.44000000000000006
53,mem,motor,MSC02,MSC03,0.4849999999999999
54,mixed,motor,MSC02,MSC04,0.47000000000000003
55,mixed,mem,MSC02,MSC04,0.52
56,motor,mixed,MSC02,MSC04,0.6050000000000001
57,motor,mem,MSC02,MSC04,0.545
58,mem,mixed,MSC02,MSC04,0.645
59,mem,motor,MSC02,MSC04,0.595
60,mixed,motor,MSC02,MSC05,0.55
61,mixed,mem,MSC02,MSC05,0.585
62,motor,mixed,MSC02,MSC05,0.465
63,motor,mem,MSC02,MSC05,0.5999999999999999
64,mem,mixed,MSC02,MSC05,0.53
65,mem,motor,MSC02,MSC05,0.5799999999999998
66,mixed,motor,MSC02,MSC06,0.5555555555555556
67,mixed,mem,MSC02,MSC06,0.5700000000000001
68,motor,mixed,MSC02,MSC06,0.55
69,motor,mem,MSC02,MSC06,0.59
70,mem,mixed,MSC02,MSC06,0.575
71,mem,motor,MSC02,MSC06,0.5888888888888889
72,mixed,motor,MSC02,MSC07,0.47777777777777775
73,mixed,mem,MSC02,MSC07,0.5399999999999999
74,motor,mixed,MSC02,MSC07,0.41500000000000004
75,motor,mem,MSC02,MSC07,0.5050000000000001
76,mem,mixed,MSC02,MSC07,0.49000000000000005
77,mem,motor,MSC02,MSC07,0.48888888888888893
78,mixed,motor,MSC02,MSC10,0.465
79,mixed,mem,MSC02,MSC10,0.41500000000000004
80,motor,mixed,MSC02,MSC10,0.495
81,motor,mem,MSC02,MSC10,0.38
82,mem,mixed,MSC02,MSC10,0.4699999999999999
83,mem,motor,MSC02,MSC10,0.505
84,mixed,motor,MSC03,MSC01,0.5399999999999999
85,mixed,mem,MSC03,MSC01,0.49000000000000005
86,motor,mixed,MSC03,MSC01,0.355
87,motor,mem,MSC03,MSC01,0.395
88,mem,mixed,MSC03,MSC01,0.4687500000000001
89,mem,motor,MSC03,MSC01,0.4437500000000001
90,mixed,motor,MSC03,MSC02,0.39
91,mixed,mem,MSC03,MSC02,0.48500000000000004
92,motor,mixed,MSC03,MSC02,0.32
93,motor,mem,MSC03,MSC02,0.4050000000000001
94,mem,mixed,MSC03,MSC02,0.41875000000000007
95,mem,motor,MSC03,MSC02,0.41250000000000003
96,mixed,motor,MSC03,MSC04,0.5399999999999999
97,mixed,mem,MSC03,MSC04,0.5399999999999999
98,motor,mixed,MSC03,MSC04,0.555
99,motor,mem,MSC03,MSC04,0.615
100,mem,mixed,MSC03,MSC04,0.40625
101,mem,motor,MSC03,MSC04,0.5
102,mixed,motor,MSC03,MSC05,0.525
103,mixed,mem,MSC03,MSC05,0.5
104,motor,mixed,MSC03,MSC05,0.5299999999999999
105,motor,mem,MSC03,MSC05,0.5599999999999999
106,mem,mixed,MSC03,MSC05,0.46875
107,mem,motor,MSC03,MSC05,0.55625
108,mixed,motor,MSC03,MSC06,0.5499999999999999
109,mixed,mem,MSC03,MSC06,0.495
110,motor,mixed,MSC03,MSC06,0.45499999999999996
111,motor,mem,MSC03,MSC06,0.35500000000000004
112,mem,mixed,MSC03,MSC06,0.50625
113,mem,motor,MSC03,MSC06,0.5347222222222222
114,mixed,motor,MSC03,MSC07,0.5111111111111111
115,mixed,mem,MSC03,MSC07,0.53
116,motor,mixed,MSC03,MSC07,0.545
117,motor,mem,MSC03,MSC07,0.57
118,mem,mixed,MSC03,MSC07,0.4625
119,mem,motor,MSC03,MSC07,0.4305555555555555
120,mixed,motor,MSC03,MSC10,0.5
121,mixed,mem,MSC03,MSC10,0.53
122,motor,mixed,MSC03,MSC10,0.51
123,motor,mem,MSC03,MSC10,0.5799999999999998
124,mem,mixed,MSC03,MSC10,0.5625
125,mem,motor,MSC03,MSC10,0.4625
126,mixed,motor,MSC04,MSC01,0.745
127,mixed,mem,MSC04,MSC01,0.7200000000000001
128,motor,mixed,MSC04,MSC01,0.62
129,motor,mem,MSC04,MSC01,0.5700000000000001
130,mem,mixed,MSC04,MSC01,0.5499999999999999
131,mem,motor,MSC04,MSC01,0.5900000000000001
132,mixed,motor,MSC04,MSC02,0.645
133,mixed,mem,MSC04,MSC02,0.5799999999999998
134,motor,mixed,MSC04,MSC02,0.53
135,motor,mem,MSC04,MSC02,0.5499999999999999
136,mem,mixed,MSC04,MSC02,0.625
137,mem,motor,MSC04,MSC02,0.6
138,mixed,motor,MSC04,MSC03,0.535
139,mixed,mem,MSC04,MSC03,0.46875
140,motor,mixed,MSC04,MSC03,0.515
141,motor,mem,MSC04,MSC03,0.4375
142,mem,mixed,MSC04,MSC03,0.45499999999999996
143,mem,motor,MSC04,MSC03,0.505
144,mixed,motor,MSC04,MSC05,0.565
145,mixed,mem,MSC04,MSC05,0.5349999999999999
146,motor,mixed,MSC04,MSC05,0.615
147,motor,mem,MSC04,MSC05,0.605
148,mem,mixed,MSC04,MSC05,0.575
149,mem,motor,MSC04,MSC05,0.53
150,mixed,motor,MSC04,MSC06,0.5333333333333333
151,mixed,mem,MSC04,MSC06,0.56
152,motor,mixed,MSC04,MSC06,0.615
153,motor,mem,MSC04,MSC06,0.575
154,mem,mixed,MSC04,MSC06,0.515
155,mem,motor,MSC04,MSC06,0.5333333333333333
156,mixed,motor,MSC04,MSC07,0.5611111111111112
157,mixed,mem,MSC04,MSC07,0.4750000000000001
158,motor,mixed,MSC04,MSC07,0.465
159,motor,mem,MSC04,MSC07,0.58
160,mem,mixed,MSC04,MSC07,0.4
161,mem,motor,MSC04,MSC07,0.5777777777777777
162,mixed,motor,MSC04,MSC10,0.465
163,mixed,mem,MSC04,MSC10,0.5299999999999999
164,motor,mixed,MSC04,MSC10,0.5999999999999999
165,motor,mem,MSC04,MSC10,0.705
166,mem,mixed,MSC04,MSC10,0.49000000000000005
167,mem,motor,MSC04,MSC10,0.5449999999999999
168,mixed,motor,MSC05,MSC01,0.54
169,mixed,mem,MSC05,MSC01,0.545
170,motor,mixed,MSC05,MSC01,0.43499999999999994
171,motor,mem,MSC05,MSC01,0.45499999999999996
172,mem,mixed,MSC05,MSC01,0.55
173,mem,motor,MSC05,MSC01,0.5
174,mixed,motor,MSC05,MSC02,0.45499999999999996
175,mixed,mem,MSC05,MSC02,0.5449999999999999
176,motor,mixed,MSC05,MSC02,0.515
177,motor,mem,MSC05,MSC02,0.575
178,mem,mixed,MSC05,MSC02,0.6050000000000001
179,mem,motor,MSC05,MSC02,0.48
180,mixed,motor,MSC05,MSC03,0.43500000000000005
181,mixed,mem,MSC05,MSC03,0.44375
182,motor,mixed,MSC05,MSC03,0.54
183,motor,mem,MSC05,MSC03,0.525
184,mem,mixed,MSC05,MSC03,0.595
185,mem,motor,MSC05,MSC03,0.5349999999999999
186,mixed,motor,MSC05,MSC04,0.7449999999999999
187,mixed,mem,MSC05,MSC04,0.635
188,motor,mixed,MSC05,MSC04,0.55
189,motor,mem,MSC05,MSC04,0.57
190,mem,mixed,MSC05,MSC04,0.5149999999999999
191,mem,motor,MSC05,MSC04,0.5850000000000001
192,mixed,motor,MSC05,MSC06,0.48888888888888893
193,mixed,mem,MSC05,MSC06,0.6500000000000001
194,motor,mixed,MSC05,MSC06,0.525
195,motor,mem,MSC05,MSC06,0.66
196,mem,mixed,MSC05,MSC06,0.51
197,mem,motor,MSC05,MSC06,0.4222222222222222
198,mixed,motor,MSC05,MSC07,0.538888888888889
199,mixed,mem,MSC05,MSC07,0.505
200,motor,mixed,MSC05,MSC07,0.41000000000000003
201,motor,mem,MSC05,MSC07,0.37
202,mem,mixed,MSC05,MSC07,0.45500000000000007
203,mem,motor,MSC05,MSC07,0.4666666666666666
204,mixed,motor,MSC05,MSC10,0.53
205,mixed,mem,MSC05,MSC10,0.59
206,motor,mixed,MSC05,MSC10,0.49000000000000005
207,motor,mem,MSC05,MSC10,0.475
208,mem,mixed,MSC05,MSC10,0.6849999999999999
209,mem,motor,MSC05,MSC10,0.5149999999999999
210,mixed,motor,MSC06,MSC01,0.615
211,mixed,mem,MSC06,MSC01,0.425
212,motor,mixed,MSC06,MSC01,0.6944444444444445
213,motor,mem,MSC06,MSC01,0.5166666666666666
214,mem,mixed,MSC06,MSC01,0.6249999999999999
215,mem,motor,MSC06,MSC01,0.675
216,mixed,motor,MSC06,MSC02,0.37500000000000006
217,mixed,mem,MSC06,MSC02,0.47000000000000003
218,motor,mixed,MSC06,MSC02,0.5499999999999999
219,motor,mem,MSC06,MSC02,0.5166666666666667
220,mem,mixed,MSC06,MSC02,0.53
221,mem,motor,MSC06,MSC02,0.45500000000000007
222,mixed,motor,MSC06,MSC03,0.38499999999999995
223,mixed,mem,MSC06,MSC03,0.4625
224,motor,mixed,MSC06,MSC03,0.5055555555555555
225,motor,mem,MSC06,MSC03,0.4722222222222222
226,mem,mixed,MSC06,MSC03,0.575
