,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.6700000000000002
1,MSC01,MSC02,motor,0.585
2,MSC01,MSC02,mem,0.62
3,MSC01,MSC03,mixed,0.65
4,MSC01,MSC03,motor,0.475
5,MSC01,MSC03,mem,0.475
6,MSC01,MSC04,mixed,0.7250000000000001
7,MSC01,MSC04,motor,0.7000000000000001
8,MSC01,MSC04,mem,0.6799999999999999
9,MSC01,MSC05,mixed,0.6950000000000001
10,MSC01,MSC05,motor,0.5050000000000001
11,MSC01,MSC05,mem,0.5
12,MSC01,MSC06,mixed,0.64
13,MSC01,MSC06,motor,0.6444444444444444
14,MSC01,MSC06,mem,0.52
15,MSC01,MSC07,mixed,0.49000000000000005
16,MSC01,MSC07,motor,0.55
17,MSC01,MSC07,mem,0.5599999999999998
18,MSC01,MSC10,mixed,0.5249999999999999
19,MSC01,MSC10,motor,0.45000000000000007
20,MSC01,MSC10,mem,0.585
21,MSC02,MSC01,mixed,0.635
22,MSC02,MSC01,motor,0.635
23,MSC02,MSC01,mem,0.545
24,MSC02,MSC03,mixed,0.51
25,MSC02,MSC03,motor,0.5799999999999998
26,MSC02,MSC03,mem,0.4625
27,MSC02,MSC04,mixed,0.51
28,MSC02,MSC04,motor,0.51
29,MSC02,MSC04,mem,0.6
30,MSC02,MSC05,mixed,0.5449999999999999
31,MSC02,MSC05,motor,0.5199999999999999
32,MSC02,MSC05,mem,0.5850000000000001
33,MSC02,MSC06,mixed,0.5499999999999999
34,MSC02,MSC06,motor,0.5222222222222223
35,MSC02,MSC06,mem,0.625
36,MSC02,MSC07,mixed,0.4050000000000001
37,MSC02,MSC07,motor,0.48888888888888893
38,MSC02,MSC07,mem,0.465
39,MSC02,MSC10,mixed,0.45999999999999996
40,MSC02,MSC10,motor,0.5549999999999999
41,MSC02,MSC10,mem,0.36499999999999994
42,MSC03,MSC01,mixed,0.5700000000000001
43,MSC03,MSC01,motor,0.31499999999999995
44,MSC03,MSC01,mem,0.43750000000000006
45,MSC03,MSC02,mixed,0.39
46,MSC03,MSC02,motor,0.375
47,MSC03,MSC02,mem,0.48750000000000004
48,MSC03,MSC04,mixed,0.5149999999999999
49,MSC03,MSC04,motor,0.5599999999999999
50,MSC03,MSC04,mem,0.4
51,MSC03,MSC05,mixed,0.5
52,MSC03,MSC05,motor,0.6150000000000001
53,MSC03,MSC05,mem,0.46875
54,MSC03,MSC06,mixed,0.495
55,MSC03,MSC06,motor,0.3222222222222222
56,MSC03,MSC06,mem,0.55
57,MSC03,MSC07,mixed,0.6300000000000001
58,MSC03,MSC07,motor,0.5722222222222223
59,MSC03,MSC07,mem,0.37499999999999994
60,MSC03,MSC10,mixed,0.5499999999999999
61,MSC03,MSC10,motor,0.5399999999999999
62,MSC03,MSC10,mem,0.48125000000000007
63,MSC04,MSC01,mixed,0.7250000000000001
64,MSC04,MSC01,motor,0.55
65,MSC04,MSC01,mem,0.595
66,MSC04,MSC02,mixed,0.665
67,MSC04,MSC02,motor,0.53
68,MSC04,MSC02,mem,0.5850000000000001
69,MSC04,MSC03,mixed,0.44000000000000006
70,MSC04,MSC03,motor,0.465
71,MSC04,MSC03,mem,0.3125
72,MSC04,MSC05,mixed,0.6849999999999999
73,MSC04,MSC05,motor,0.53
74,MSC04,MSC05,mem,0.5549999999999999
75,MSC04,MSC06,mixed,0.495
76,MSC04,MSC06,motor,0.5222222222222221
77,MSC04,MSC06,mem,0.45000000000000007
78,MSC04,MSC07,mixed,0.40499999999999997
79,MSC04,MSC07,motor,0.65
