,train_task,test_task,sub,acc
0,glass,semantic,MSC01,0.8650000000000002
1,glass,motor,MSC01,0.8700000000000001
2,glass,mem,MSC01,0.6900000000000001
3,semantic,glass,MSC01,0.8450000000000001
4,semantic,motor,MSC01,0.89
5,semantic,mem,MSC01,0.62
6,motor,glass,MSC01,0.905
7,motor,semantic,MSC01,0.9400000000000001
8,motor,mem,MSC01,0.6900000000000002
9,mem,glass,MSC01,0.825
10,mem,semantic,MSC01,0.85
11,mem,motor,MSC01,0.8350000000000002
12,glass,semantic,MSC02,0.85
13,glass,motor,MSC02,0.7799999999999999
14,glass,mem,MSC02,0.72
15,semantic,glass,MSC02,0.7699999999999999
16,semantic,motor,MSC02,0.6799999999999999
17,semantic,mem,MSC02,0.6150000000000001
18,motor,glass,MSC02,0.7899999999999998
19,motor,semantic,MSC02,0.845
20,motor,mem,MSC02,0.7549999999999998
21,mem,glass,MSC02,0.7799999999999998
22,mem,semantic,MSC02,0.7549999999999999
23,mem,motor,MSC02,0.72
24,glass,semantic,MSC03,0.885
25,glass,motor,MSC03,0.795
26,glass,mem,MSC03,0.6050000000000001
27,semantic,glass,MSC03,0.7699999999999999
28,semantic,motor,MSC03,0.6500000000000001
29,semantic,mem,MSC03,0.555
30,motor,glass,MSC03,0.72
31,motor,semantic,MSC03,0.73
32,motor,mem,MSC03,0.63
33,mem,glass,MSC03,0.625
34,mem,semantic,MSC03,0.645
35,mem,motor,MSC03,0.595
36,glass,semantic,MSC04,0.97
37,glass,motor,MSC04,0.9000000000000001
38,glass,mem,MSC04,0.63
39,semantic,glass,MSC04,0.9000000000000001
40,semantic,motor,MSC04,0.78
41,semantic,mem,MSC04,0.5999999999999999
42,motor,glass,MSC04,0.8600000000000001
43,motor,semantic,MSC04,0.9399999999999998
44,motor,mem,MSC04,0.6400000000000001
45,mem,glass,MSC04,0.795
46,mem,semantic,MSC04,0.85
47,mem,motor,MSC04,0.7950000000000002
48,glass,semantic,MSC05,0.875
49,glass,motor,MSC05,0.56
50,glass,mem,MSC05,0.5450000000000002
51,semantic,glass,MSC05,0.735
52,semantic,motor,MSC05,0.635
53,semantic,mem,MSC05,0.525
54,motor,glass,MSC05,0.515
55,motor,semantic,MSC05,0.7050000000000001
56,motor,mem,MSC05,0.515
57,mem,glass,MSC05,0.5
58,mem,semantic,MSC05,0.635
59,mem,motor,MSC05,0.585
60,glass,semantic,MSC06,0.7166666666666667
61,glass,motor,MSC06,0.7444444444444444
62,glass,mem,MSC06,0.538888888888889
63,semantic,glass,MSC06,0.6833333333333333
64,semantic,motor,MSC06,0.8450000000000001
65,semantic,mem,MSC06,0.55
66,motor,glass,MSC06,0.5611111111111111
67,motor,semantic,MSC06,0.715
68,motor,mem,MSC06,0.5900000000000001
69,mem,glass,MSC06,0.5944444444444444
70,mem,semantic,MSC06,0.7650000000000001
71,mem,motor,MSC06,0.835
72,glass,semantic,MSC07,0.785
73,glass,motor,MSC07,0.8400000000000001
74,glass,mem,MSC07,0.51
75,semantic,glass,MSC07,0.7449999999999999
76,semantic,motor,MSC07,0.8200000000000001
77,semantic,mem,MSC07,0.45999999999999996
78,motor,glass,MSC07,0.695
79,motor,semantic,MSC07,0.705
80,motor,mem,MSC07,0.4749999999999999
81,mem,glass,MSC07,0.45499999999999996
82,mem,semantic,MSC07,0.38
83,mem,motor,MSC07,0.445
84,glass,semantic,MSC10,0.8100000000000002
85,glass,motor,MSC10,0.485
86,glass,mem,MSC10,0.6849999999999999
87,semantic,glass,MSC10,0.72
88,semantic,motor,MSC10,0.505
89,semantic,mem,MSC10,0.62
90,motor,glass,MSC10,0.54
91,motor,semantic,MSC10,0.575
92,motor,mem,MSC10,0.605
93,mem,glass,MSC10,0.63
94,mem,semantic,MSC10,0.6449999999999999
95,mem,motor,MSC10,0.495
