,test_task,train_task,Mean,Std
0,glass,mem,0.634156746031746,0.10481242885318309
1,glass,motor,0.5779861111111108,0.08440606268218183
2,glass,semantic,0.5900892857142856,0.09002006116270092
3,mem,glass,0.5870535714285715,0.09438696525663669
4,mem,motor,0.5732142857142859,0.08575561774033218
5,mem,semantic,0.6013392857142856,0.10089819834155335
6,motor,glass,0.5882440476190477,0.09305910753273512
7,motor,mem,0.6008035714285713,0.10276087328318144
8,motor,semantic,0.5508928571428574,0.06291485691614677
9,semantic,glass,0.6404563492063492,0.10097071544554577
10,semantic,mem,0.7234821428571431,0.11576983294787645
11,semantic,motor,0.5847321428571428,0.09622615238383694
