,train_sub,test_sub,task,acc
0,MSC01,MSC02,glass,0.51
1,MSC01,MSC02,semantic,0.625
2,MSC01,MSC02,motor,0.75
3,MSC01,MSC02,mem,0.75
4,MSC01,MSC03,glass,0.5199999999999999
5,MSC01,MSC03,semantic,0.7750000000000001
6,MSC01,MSC03,motor,0.7100000000000001
7,MSC01,MSC03,mem,0.6249999999999999
8,MSC01,MSC04,glass,0.52
9,MSC01,MSC04,semantic,0.8800000000000001
10,MSC01,MSC04,motor,0.75
11,MSC01,MSC04,mem,0.5250000000000001
12,MSC01,MSC05,glass,0.5
13,MSC01,MSC05,semantic,0.8300000000000001
14,MSC01,MSC05,motor,0.5799999999999998
15,MSC01,MSC05,mem,0.805
16,MSC01,MSC06,glass,0.5
17,MSC01,MSC06,semantic,0.64
18,MSC01,MSC06,motor,0.5999999999999999
19,MSC01,MSC06,mem,0.6449999999999999
20,MSC01,MSC07,glass,0.495
21,MSC01,MSC07,semantic,0.7050000000000001
22,MSC01,MSC07,motor,0.675
23,MSC01,MSC07,mem,0.685
24,MSC01,MSC10,glass,0.64
25,MSC01,MSC10,semantic,0.63
26,MSC01,MSC10,motor,0.78
27,MSC01,MSC10,mem,0.605
28,MSC02,MSC01,glass,0.5750000000000001
29,MSC02,MSC01,semantic,0.68
30,MSC02,MSC01,motor,0.5999999999999999
31,MSC02,MSC01,mem,0.8800000000000001
32,MSC02,MSC03,glass,0.765
33,MSC02,MSC03,semantic,0.7000000000000001
34,MSC02,MSC03,motor,0.6900000000000002
35,MSC02,MSC03,mem,0.755
36,MSC02,MSC04,glass,0.59
37,MSC02,MSC04,semantic,0.7
38,MSC02,MSC04,motor,0.76
39,MSC02,MSC04,mem,0.6950000000000001
40,MSC02,MSC05,glass,0.52
41,MSC02,MSC05,semantic,0.575
42,MSC02,MSC05,motor,0.5499999999999999
43,MSC02,MSC05,mem,0.865
44,MSC02,MSC06,glass,0.45555555555555555
45,MSC02,MSC06,semantic,0.6700000000000002
46,MSC02,MSC06,motor,0.795
47,MSC02,MSC06,mem,0.7200000000000001
48,MSC02,MSC07,glass,0.8299999999999998
49,MSC02,MSC07,semantic,0.61
50,MSC02,MSC07,motor,0.595
51,MSC02,MSC07,mem,0.76
52,MSC02,MSC10,glass,0.655
53,MSC02,MSC10,semantic,0.5499999999999999
54,MSC02,MSC10,motor,0.625
55,MSC02,MSC10,mem,0.6200000000000001
56,MSC03,MSC01,glass,0.505
57,MSC03,MSC01,semantic,0.5599999999999999
58,MSC03,MSC01,motor,0.55
59,MSC03,MSC01,mem,0.735
60,MSC03,MSC02,glass,0.6199999999999999
61,MSC03,MSC02,semantic,0.8300000000000001
62,MSC03,MSC02,motor,0.49000000000000005
63,MSC03,MSC02,mem,0.8550000000000001
64,MSC03,MSC04,glass,0.51
65,MSC03,MSC04,semantic,0.5549999999999999
66,MSC03,MSC04,motor,0.9
67,MSC03,MSC04,mem,0.7749999999999999
68,MSC03,MSC05,glass,0.51
69,MSC03,MSC05,semantic,0.6400000000000001
70,MSC03,MSC05,motor,0.7050000000000001
71,MSC03,MSC05,mem,0.8949999999999999
72,MSC03,MSC06,glass,0.7444444444444444
73,MSC03,MSC06,semantic,0.59
74,MSC03,MSC06,motor,0.675
75,MSC03,MSC06,mem,0.8049999999999999
76,MSC03,MSC07,glass,0.5599999999999999
77,MSC03,MSC07,semantic,0.6449999999999999
78,MSC03,MSC07,motor,0.545
79,MSC03,MSC07,mem,0.675
80,MSC03,MSC10,glass,0.4800000000000001
81,MSC03,MSC10,semantic,0.57
82,MSC03,MSC10,motor,0.49499999999999994
83,MSC03,MSC10,mem,0.6950000000000001
84,MSC04,MSC01,glass,0.6700000000000002
85,MSC04,MSC01,semantic,0.63
86,MSC04,MSC01,motor,0.72
87,MSC04,MSC01,mem,0.5599999999999998
88,MSC04,MSC02,glass,0.7549999999999999
89,MSC04,MSC02,semantic,0.85
90,MSC04,MSC02,motor,0.5449999999999999
91,MSC04,MSC02,mem,0.5549999999999999
92,MSC04,MSC03,glass,0.835
93,MSC04,MSC03,semantic,0.8249999999999998
94,MSC04,MSC03,motor,0.8950000000000001
95,MSC04,MSC03,mem,0.7150000000000001
96,MSC04,MSC05,glass,0.5349999999999999
97,MSC04,MSC05,semantic,0.8300000000000001
98,MSC04,MSC05,motor,0.5999999999999999
99,MSC04,MSC05,mem,0.695
100,MSC04,MSC06,glass,0.6944444444444444
101,MSC04,MSC06,semantic,0.75
102,MSC04,MSC06,motor,0.615
103,MSC04,MSC06,mem,0.585
104,MSC04,MSC07,glass,0.7000000000000001
105,MSC04,MSC07,semantic,0.875
106,MSC04,MSC07,motor,0.5700000000000001
107,MSC04,MSC07,mem,0.55
108,MSC04,MSC10,glass,0.7050000000000001
109,MSC04,MSC10,semantic,0.62
110,MSC04,MSC10,motor,0.585
111,MSC04,MSC10,mem,0.635
112,MSC05,MSC01,glass,0.7
113,MSC05,MSC01,semantic,0.615
114,MSC05,MSC01,motor,0.595
115,MSC05,MSC01,mem,0.6749999999999999
116,MSC05,MSC02,glass,0.7300000000000001
117,MSC05,MSC02,semantic,0.635
118,MSC05,MSC02,motor,0.525
119,MSC05,MSC02,mem,0.9099999999999999
120,MSC05,MSC03,glass,0.505
121,MSC05,MSC03,semantic,0.51
122,MSC05,MSC03,motor,0.865
123,MSC05,MSC03,mem,0.675
124,MSC05,MSC04,glass,0.7
125,MSC05,MSC04,semantic,0.51
126,MSC05,MSC04,motor,0.5900000000000001
127,MSC05,MSC04,mem,0.8099999999999999
128,MSC05,MSC06,glass,0.5388888888888888
129,MSC05,MSC06,semantic,0.5349999999999999
130,MSC05,MSC06,motor,0.74
131,MSC05,MSC06,mem,0.625
132,MSC05,MSC07,glass,0.725
133,MSC05,MSC07,semantic,0.5
134,MSC05,MSC07,motor,0.7899999999999999
135,MSC05,MSC07,mem,0.735
136,MSC05,MSC10,glass,0.6249999999999999
137,MSC05,MSC10,semantic,0.6100000000000001
138,MSC05,MSC10,motor,0.615
139,MSC05,MSC10,mem,0.67
140,MSC06,MSC01,glass,0.5944444444444444
141,MSC06,MSC01,semantic,0.795
142,MSC06,MSC01,motor,0.7499999999999999
143,MSC06,MSC01,mem,0.7999999999999999
144,MSC06,MSC02,glass,0.6888888888888889
145,MSC06,MSC02,semantic,0.7849999999999999
146,MSC06,MSC02,motor,0.595
147,MSC06,MSC02,mem,0.655
148,MSC06,MSC03,glass,0.7333333333333334
149,MSC06,MSC03,semantic,0.745
150,MSC06,MSC03,motor,0.775
151,MSC06,MSC03,mem,0.8150000000000001
152,MSC06,MSC04,glass,0.6611111111111111
153,MSC06,MSC04,semantic,0.765
154,MSC06,MSC04,motor,0.575
155,MSC06,MSC04,mem,0.5700000000000001
156,MSC06,MSC05,glass,0.6833333333333335
157,MSC06,MSC05,semantic,0.9199999999999999
158,MSC06,MSC05,motor,0.6449999999999999
159,MSC06,MSC05,mem,0.845
160,MSC06,MSC07,glass,0.5277777777777778
161,MSC06,MSC07,semantic,0.745
162,MSC06,MSC07,motor,0.76
163,MSC06,MSC07,mem,0.6700000000000002
164,MSC06,MSC10,glass,0.48888888888888893
165,MSC06,MSC10,semantic,0.8200000000000001
166,MSC06,MSC10,motor,0.5549999999999999
167,MSC06,MSC10,mem,0.5449999999999999
168,MSC07,MSC01,glass,0.57
169,MSC07,MSC01,semantic,0.6199999999999999
170,MSC07,MSC01,motor,0.635
171,MSC07,MSC01,mem,0.8049999999999999
172,MSC07,MSC02,glass,0.67
173,MSC07,MSC02,semantic,0.6099999999999999
174,MSC07,MSC02,motor,0.615
175,MSC07,MSC02,mem,0.6
176,MSC07,MSC03,glass,0.64
177,MSC07,MSC03,semantic,0.7050000000000001
178,MSC07,MSC03,motor,0.685
179,MSC07,MSC03,mem,0.5249999999999999
180,MSC07,MSC04,glass,0.5599999999999999
181,MSC07,MSC04,semantic,0.7849999999999999
182,MSC07,MSC04,motor,0.525
183,MSC07,MSC04,mem,0.49000000000000005
184,MSC07,MSC05,glass,0.605
185,MSC07,MSC05,semantic,0.665
186,MSC07,MSC05,motor,0.725
187,MSC07,MSC05,mem,0.7700000000000001
188,MSC07,MSC06,glass,0.5
189,MSC07,MSC06,semantic,0.565
190,MSC07,MSC06,motor,0.63
191,MSC07,MSC06,mem,0.685
192,MSC07,MSC10,glass,0.615
193,MSC07,MSC10,semantic,0.5700000000000001
194,MSC07,MSC10,motor,0.51
195,MSC07,MSC10,mem,0.635
196,MSC10,MSC01,glass,0.6599999999999999
197,MSC10,MSC01,semantic,0.735
198,MSC10,MSC01,motor,0.5599999999999999
199,MSC10,MSC01,mem,0.6700000000000002
200,MSC10,MSC02,glass,0.5449999999999999
201,MSC10,MSC02,semantic,0.5549999999999999
202,MSC10,MSC02,motor,0.6
203,MSC10,MSC02,mem,0.6199999999999999
204,MSC10,MSC03,glass,0.5349999999999999
205,MSC10,MSC03,semantic,0.6700000000000002
206,MSC10,MSC03,motor,0.525
207,MSC10,MSC03,mem,0.78
208,MSC10,MSC04,glass,0.795
209,MSC10,MSC04,semantic,0.6249999999999999
210,MSC10,MSC04,motor,0.5799999999999998
211,MSC10,MSC04,mem,0.9199999999999999
212,MSC10,MSC05,glass,0.5
213,MSC10,MSC05,semantic,0.8150000000000001
214,MSC10,MSC05,motor,0.51
215,MSC10,MSC05,mem,0.89
216,MSC10,MSC06,glass,0.5277777777777778
217,MSC10,MSC06,semantic,0.6100000000000001
218,MSC10,MSC06,motor,0.585
219,MSC10,MSC06,mem,0.59
220,MSC10,MSC07,glass,0.5449999999999999
221,MSC10,MSC07,semantic,0.5549999999999999
222,MSC10,MSC07,motor,0.58
223,MSC10,MSC07,mem,0.595
