,train_task,test_task,sub,acc
0,glass,semantic,MSC01,0.8549999999999999
1,glass,motor,MSC01,0.74
2,glass,mem,MSC01,0.6450000000000001
3,semantic,glass,MSC01,0.76
4,semantic,motor,MSC01,0.5499999999999999
5,semantic,mem,MSC01,0.725
6,motor,glass,MSC01,0.795
7,motor,semantic,MSC01,0.8800000000000001
8,motor,mem,MSC01,0.745
9,mem,glass,MSC01,0.8399999999999999
10,mem,semantic,MSC01,0.925
11,mem,motor,MSC01,0.8550000000000001
12,glass,semantic,MSC02,0.7249999999999999
13,glass,motor,MSC02,0.655
14,glass,mem,MSC02,0.6350000000000001
15,semantic,glass,MSC02,0.7350000000000001
16,semantic,motor,MSC02,0.5549999999999999
17,semantic,mem,MSC02,0.755
18,motor,glass,MSC02,0.61
19,motor,semantic,MSC02,0.5349999999999999
20,motor,mem,MSC02,0.54
21,mem,glass,MSC02,0.7449999999999999
22,mem,semantic,MSC02,0.8400000000000001
23,mem,motor,MSC02,0.515
24,glass,semantic,MSC03,0.845
25,glass,motor,MSC03,0.7849999999999999
26,glass,mem,MSC03,0.725
27,semantic,glass,MSC03,0.745
28,semantic,motor,MSC03,0.6149999999999999
29,semantic,mem,MSC03,0.75
30,motor,glass,MSC03,0.65
31,motor,semantic,MSC03,0.6050000000000001
32,motor,mem,MSC03,0.59
33,mem,glass,MSC03,0.6700000000000002
34,mem,semantic,MSC03,0.945
35,mem,motor,MSC03,0.7200000000000001
36,glass,semantic,MSC04,0.905
37,glass,motor,MSC04,0.7999999999999999
38,glass,mem,MSC04,0.7749999999999999
39,semantic,glass,MSC04,0.8149999999999998
40,semantic,motor,MSC04,0.6500000000000001
41,semantic,mem,MSC04,0.8149999999999998
42,motor,glass,MSC04,0.805
43,motor,semantic,MSC04,0.7100000000000002
44,motor,mem,MSC04,0.7050000000000001
45,mem,glass,MSC04,0.9399999999999998
46,mem,semantic,MSC04,0.9949999999999999
47,mem,motor,MSC04,0.8299999999999998
48,glass,semantic,MSC05,0.9349999999999999
49,glass,motor,MSC05,0.625
50,glass,mem,MSC05,0.8800000000000001
51,semantic,glass,MSC05,0.6199999999999999
52,semantic,motor,MSC05,0.5
53,semantic,mem,MSC05,0.64
54,motor,glass,MSC05,0.645
55,motor,semantic,MSC05,0.7949999999999999
56,motor,mem,MSC05,0.7999999999999999
57,mem,glass,MSC05,0.8800000000000001
58,mem,semantic,MSC05,0.99
59,mem,motor,MSC05,0.8850000000000001
60,glass,semantic,MSC06,0.7333333333333334
61,glass,motor,MSC06,0.6
62,glass,mem,MSC06,0.7
63,semantic,glass,MSC06,0.5777777777777777
64,semantic,motor,MSC06,0.5349999999999999
65,semantic,mem,MSC06,0.595
66,motor,glass,MSC06,0.5388888888888889
67,motor,semantic,MSC06,0.5449999999999999
68,motor,mem,MSC06,0.575
69,mem,glass,MSC06,0.8222222222222222
70,mem,semantic,MSC06,0.8699999999999999
71,mem,motor,MSC06,0.7949999999999999
72,glass,semantic,MSC07,0.945
73,glass,motor,MSC07,0.615
74,glass,mem,MSC07,0.845
75,semantic,glass,MSC07,0.9349999999999999
76,semantic,motor,MSC07,0.59
77,semantic,mem,MSC07,0.8099999999999999
78,motor,glass,MSC07,0.62
79,motor,semantic,MSC07,0.675
80,motor,mem,MSC07,0.6100000000000001
81,mem,glass,MSC07,0.99
82,mem,semantic,MSC07,0.9349999999999999
83,mem,motor,MSC07,0.74
84,glass,semantic,MSC10,0.6699999999999999
85,glass,motor,MSC10,0.6449999999999999
86,glass,mem,MSC10,0.56
87,semantic,glass,MSC10,0.7899999999999999
88,semantic,motor,MSC10,0.655
89,semantic,mem,MSC10,0.58
90,motor,glass,MSC10,0.67
91,motor,semantic,MSC10,0.7049999999999998
92,motor,mem,MSC10,0.52
93,mem,glass,MSC10,0.6899999999999998
94,mem,semantic,MSC10,0.74
95,mem,motor,MSC10,0.635
