,test_task,train_task,Mean,Std
0,glass,mem,0.8221527777777777,0.11482462569023685
1,glass,motor,0.6667361111111112,0.09108857517458963
2,glass,semantic,0.7472222222222221,0.11141862208555033
3,mem,glass,0.7206250000000001,0.10897042521449829
4,mem,motor,0.6356250000000001,0.10192565567958974
5,mem,semantic,0.70875,0.09249517361926049
6,motor,glass,0.6831249999999999,0.07968408606132449
7,motor,mem,0.746875,0.12366248709404852
8,motor,semantic,0.58125,0.05578978401105353
9,semantic,glass,0.8266666666666667,0.10461190560185199
10,semantic,mem,0.905,0.08527267189099078
11,semantic,motor,0.68125,0.11930602906571226
