,train_task,test_task,train_sub,test_sub,acc
0,glass,semantic,MSC01,MSC02,0.53
1,glass,motor,MSC01,MSC02,0.5
2,glass,mem,MSC01,MSC02,0.5
3,semantic,glass,MSC01,MSC02,0.5
4,semantic,motor,MSC01,MSC02,0.475
5,semantic,mem,MSC01,MSC02,0.475
6,motor,glass,MSC01,MSC02,0.5900000000000001
7,motor,semantic,MSC01,MSC02,0.6900000000000002
8,motor,mem,MSC01,MSC02,0.645
9,mem,glass,MSC01,MSC02,0.53
10,mem,semantic,MSC01,MSC02,0.5399999999999999
11,mem,motor,MSC01,MSC02,0.34500000000000003
12,glass,semantic,MSC01,MSC03,0.5
13,glass,motor,MSC01,MSC03,0.5
14,glass,mem,MSC01,MSC03,0.5
15,semantic,glass,MSC01,MSC03,0.5
16,semantic,motor,MSC01,MSC03,0.5
17,semantic,mem,MSC01,MSC03,0.5
18,motor,glass,MSC01,MSC03,0.575
19,motor,semantic,MSC01,MSC03,0.45499999999999996
20,motor,mem,MSC01,MSC03,0.30500000000000005
21,mem,glass,MSC01,MSC03,0.51
22,mem,semantic,MSC01,MSC03,0.38
23,mem,motor,MSC01,MSC03,0.22500000000000003
24,glass,semantic,MSC01,MSC04,0.5549999999999999
25,glass,motor,MSC01,MSC04,0.5
26,glass,mem,MSC01,MSC04,0.5
27,semantic,glass,MSC01,MSC04,0.5349999999999999
28,semantic,motor,MSC01,MSC04,0.5
29,semantic,mem,MSC01,MSC04,0.5
30,motor,glass,MSC01,MSC04,0.655
31,motor,semantic,MSC01,MSC04,0.725
32,motor,mem,MSC01,MSC04,0.6950000000000001
33,mem,glass,MSC01,MSC04,0.5700000000000001
34,mem,semantic,MSC01,MSC04,0.8150000000000001
35,mem,motor,MSC01,MSC04,0.45000000000000007
36,glass,semantic,MSC01,MSC05,0.505
37,glass,motor,MSC01,MSC05,0.5
38,glass,mem,MSC01,MSC05,0.51
39,semantic,glass,MSC01,MSC05,0.55
40,semantic,motor,MSC01,MSC05,0.5
41,semantic,mem,MSC01,MSC05,0.54
42,motor,glass,MSC01,MSC05,0.5349999999999999
43,motor,semantic,MSC01,MSC05,0.52
44,motor,mem,MSC01,MSC05,0.635
45,mem,glass,MSC01,MSC05,0.5450000000000002
46,mem,semantic,MSC01,MSC05,0.6199999999999999
47,mem,motor,MSC01,MSC05,0.30000000000000004
48,glass,semantic,MSC01,MSC06,0.505
49,glass,motor,MSC01,MSC06,0.5
50,glass,mem,MSC01,MSC06,0.5
51,semantic,glass,MSC01,MSC06,0.5111111111111111
52,semantic,motor,MSC01,MSC06,0.5
53,semantic,mem,MSC01,MSC06,0.5
54,motor,glass,MSC01,MSC06,0.5833333333333333
55,motor,semantic,MSC01,MSC06,0.5200000000000001
56,motor,mem,MSC01,MSC06,0.725
57,mem,glass,MSC01,MSC06,0.6166666666666666
58,mem,semantic,MSC01,MSC06,0.6599999999999999
59,mem,motor,MSC01,MSC06,0.525
60,glass,semantic,MSC01,MSC07,0.625
61,glass,motor,MSC01,MSC07,0.45999999999999996
62,glass,mem,MSC01,MSC07,0.55
63,semantic,glass,MSC01,MSC07,0.6449999999999999
64,semantic,motor,MSC01,MSC07,0.5
65,semantic,mem,MSC01,MSC07,0.5850000000000001
66,motor,glass,MSC01,MSC07,0.4600000000000001
67,motor,semantic,MSC01,MSC07,0.5
68,motor,mem,MSC01,MSC07,0.5
69,mem,glass,MSC01,MSC07,0.5
70,mem,semantic,MSC01,MSC07,0.5
71,mem,motor,MSC01,MSC07,0.185
72,glass,semantic,MSC01,MSC10,0.505
73,glass,motor,MSC01,MSC10,0.5
74,glass,mem,MSC01,MSC10,0.53
75,semantic,glass,MSC01,MSC10,0.5449999999999999
76,semantic,motor,MSC01,MSC10,0.495
77,semantic,mem,MSC01,MSC10,0.6599999999999999
78,motor,glass,MSC01,MSC10,0.3
79,motor,semantic,MSC01,MSC10,0.45000000000000007
80,motor,mem,MSC01,MSC10,0.5399999999999999
81,mem,glass,MSC01,MSC10,0.275
82,mem,semantic,MSC01,MSC10,0.51
83,mem,motor,MSC01,MSC10,0.1
84,glass,semantic,MSC02,MSC01,0.545
85,glass,motor,MSC02,MSC01,0.5
86,glass,mem,MSC02,MSC01,0.505
87,semantic,glass,MSC02,MSC01,0.5
88,semantic,motor,MSC02,MSC01,0.5
89,semantic,mem,MSC02,MSC01,0.5
90,motor,glass,MSC02,MSC01,0.5
91,motor,semantic,MSC02,MSC01,0.5
92,motor,mem,MSC02,MSC01,0.5
93,mem,glass,MSC02,MSC01,0.55
94,mem,semantic,MSC02,MSC01,0.6849999999999999
95,mem,motor,MSC02,MSC01,0.715
96,glass,semantic,MSC02,MSC03,0.5
97,glass,motor,MSC02,MSC03,0.5
98,glass,mem,MSC02,MSC03,0.505
99,semantic,glass,MSC02,MSC03,0.57
100,semantic,motor,MSC02,MSC03,0.5
101,semantic,mem,MSC02,MSC03,0.5
102,motor,glass,MSC02,MSC03,0.5349999999999999
103,motor,semantic,MSC02,MSC03,0.5349999999999999
104,motor,mem,MSC02,MSC03,0.5399999999999999
105,mem,glass,MSC02,MSC03,0.5549999999999999
106,mem,semantic,MSC02,MSC03,0.74
107,mem,motor,MSC02,MSC03,0.5549999999999999
108,glass,semantic,MSC02,MSC04,0.5149999999999999
109,glass,motor,MSC02,MSC04,0.5
110,glass,mem,MSC02,MSC04,0.5
111,semantic,glass,MSC02,MSC04,0.5
112,semantic,motor,MSC02,MSC04,0.5
113,semantic,mem,MSC02,MSC04,0.5
114,motor,glass,MSC02,MSC04,0.5
115,motor,semantic,MSC02,MSC04,0.51
116,motor,mem,MSC02,MSC04,0.5
117,mem,glass,MSC02,MSC04,0.5499999999999999
118,mem,semantic,MSC02,MSC04,0.66
119,mem,motor,MSC02,MSC04,0.64
120,glass,semantic,MSC02,MSC05,0.5
121,glass,motor,MSC02,MSC05,0.5900000000000001
122,glass,mem,MSC02,MSC05,0.5
123,semantic,glass,MSC02,MSC05,0.5
124,semantic,motor,MSC02,MSC05,0.5549999999999999
125,semantic,mem,MSC02,MSC05,0.5
126,motor,glass,MSC02,MSC05,0.5149999999999999
127,motor,semantic,MSC02,MSC05,0.5
128,motor,mem,MSC02,MSC05,0.5
129,mem,glass,MSC02,MSC05,0.75
130,mem,semantic,MSC02,MSC05,0.6800000000000002
131,mem,motor,MSC02,MSC05,0.7300000000000001
132,glass,semantic,MSC02,MSC06,0.53
133,glass,motor,MSC02,MSC06,0.5
134,glass,mem,MSC02,MSC06,0.505
135,semantic,glass,MSC02,MSC06,0.5055555555555555
136,semantic,motor,MSC02,MSC06,0.5799999999999998
137,semantic,mem,MSC02,MSC06,0.5349999999999999
138,motor,glass,MSC02,MSC06,0.5
139,motor,semantic,MSC02,MSC06,0.5
140,motor,mem,MSC02,MSC06,0.5
141,mem,glass,MSC02,MSC06,0.5
142,mem,semantic,MSC02,MSC06,0.5499999999999999
143,mem,motor,MSC02,MSC06,0.62
144,glass,semantic,MSC02,MSC07,0.52
145,glass,motor,MSC02,MSC07,0.495
146,glass,mem,MSC02,MSC07,0.5399999999999999
147,semantic,glass,MSC02,MSC07,0.5599999999999998
148,semantic,motor,MSC02,MSC07,0.525
149,semantic,mem,MSC02,MSC07,0.5650000000000001
150,motor,glass,MSC02,MSC07,0.5
151,motor,semantic,MSC02,MSC07,0.5
152,motor,mem,MSC02,MSC07,0.5
153,mem,glass,MSC02,MSC07,0.5599999999999999
154,mem,semantic,MSC02,MSC07,0.57
155,mem,motor,MSC02,MSC07,0.675
156,glass,semantic,MSC02,MSC10,0.5
157,glass,motor,MSC02,MSC10,0.5
158,glass,mem,MSC02,MSC10,0.505
159,semantic,glass,MSC02,MSC10,0.5349999999999999
160,semantic,motor,MSC02,MSC10,0.495
161,semantic,mem,MSC02,MSC10,0.5399999999999999
162,motor,glass,MSC02,MSC10,0.5799999999999998
163,motor,semantic,MSC02,MSC10,0.495
164,motor,mem,MSC02,MSC10,0.495
165,mem,glass,MSC02,MSC10,0.72
166,mem,semantic,MSC02,MSC10,0.8099999999999998
167,mem,motor,MSC02,MSC10,0.705
168,glass,semantic,MSC03,MSC01,0.62
169,glass,motor,MSC03,MSC01,0.585
170,glass,mem,MSC03,MSC01,0.55
171,semantic,glass,MSC03,MSC01,0.5
