,test_task,train_task,Mean,Std
0,glass,mem,0.604811507936508,0.13800182487064677
1,glass,motor,0.5280654761904763,0.08499990038096944
2,glass,semantic,0.5535615079365078,0.07487361418316711
3,mem,glass,0.5650198412698412,0.09669818157393127
4,mem,motor,0.5533035714285716,0.11091059784477639
5,mem,semantic,0.5534821428571429,0.08665983468742568
6,motor,glass,0.5338492063492063,0.09595791826588403
7,motor,mem,0.558392857142857,0.16194305155841654
8,motor,semantic,0.5274107142857142,0.09686443700266964
9,semantic,glass,0.5793650793650794,0.09208395553038287
10,semantic,mem,0.63125,0.13389361448553097
11,semantic,motor,0.5468750000000001,0.09607081904890409
