,test_task,train_task,Mean,Std
0,glass,mem,0.8320833333333334,0.12888332979254022
1,glass,motor,0.5961805555555556,0.06226574264578432
2,glass,semantic,0.8290277777777778,0.08113054235612038
3,mem,glass,0.7861805555555554,0.1389102959693005
4,mem,motor,0.56625,0.05932657799960199
5,mem,semantic,0.788125,0.1438237388512163
6,motor,glass,0.6774305555555555,0.16931596417084852
7,motor,mem,0.744375,0.07743372742453467
8,motor,semantic,0.67625,0.13173973258989538
9,semantic,glass,0.8647222222222222,0.06376281556699002
10,semantic,mem,0.8650000000000001,0.08189714804034916
11,semantic,motor,0.578125,0.07841908933052316
