,train_task,test_task,train_sub,test_sub,acc
0,glass,semantic,MSC01,MSC02,0.5
1,glass,motor,MSC01,MSC02,0.5
2,glass,mem,MSC01,MSC02,0.5
3,semantic,glass,MSC01,MSC02,0.53
4,semantic,motor,MSC01,MSC02,0.5
5,semantic,mem,MSC01,MSC02,0.5
6,motor,glass,MSC01,MSC02,0.51
7,motor,semantic,MSC01,MSC02,0.5650000000000001
8,motor,mem,MSC01,MSC02,0.5
9,mem,glass,MSC01,MSC02,0.9000000000000001
10,mem,semantic,MSC01,MSC02,0.76
11,mem,motor,MSC01,MSC02,0.7000000000000001
12,glass,semantic,MSC01,MSC03,0.5
13,glass,motor,MSC01,MSC03,0.5
14,glass,mem,MSC01,MSC03,0.5
15,semantic,glass,MSC01,MSC03,0.5
16,semantic,motor,MSC01,MSC03,0.5
17,semantic,mem,MSC01,MSC03,0.5
18,motor,glass,MSC01,MSC03,0.495
19,motor,semantic,MSC01,MSC03,0.505
20,motor,mem,MSC01,MSC03,0.505
21,mem,glass,MSC01,MSC03,0.76
22,mem,semantic,MSC01,MSC03,0.78
23,mem,motor,MSC01,MSC03,0.7849999999999999
24,glass,semantic,MSC01,MSC04,0.5
25,glass,motor,MSC01,MSC04,0.5
26,glass,mem,MSC01,MSC04,0.5
27,semantic,glass,MSC01,MSC04,0.5
28,semantic,motor,MSC01,MSC04,0.5
29,semantic,mem,MSC01,MSC04,0.5
30,motor,glass,MSC01,MSC04,0.5399999999999999
31,motor,semantic,MSC01,MSC04,0.52
32,motor,mem,MSC01,MSC04,0.5
33,mem,glass,MSC01,MSC04,0.7849999999999999
34,mem,semantic,MSC01,MSC04,0.7899999999999998
35,mem,motor,MSC01,MSC04,0.7899999999999999
36,glass,semantic,MSC01,MSC05,0.5
37,glass,motor,MSC01,MSC05,0.5
38,glass,mem,MSC01,MSC05,0.5
39,semantic,glass,MSC01,MSC05,0.5
40,semantic,motor,MSC01,MSC05,0.5
41,semantic,mem,MSC01,MSC05,0.5
42,motor,glass,MSC01,MSC05,0.5299999999999999
43,motor,semantic,MSC01,MSC05,0.5
44,motor,mem,MSC01,MSC05,0.5
45,mem,glass,MSC01,MSC05,0.505
46,mem,semantic,MSC01,MSC05,0.5499999999999999
47,mem,motor,MSC01,MSC05,0.5349999999999999
48,glass,semantic,MSC01,MSC06,0.505
49,glass,motor,MSC01,MSC06,0.5
50,glass,mem,MSC01,MSC06,0.5
51,semantic,glass,MSC01,MSC06,0.5
