,train_task,test_task,sub,acc
0,glass,semantic,MSC01,0.925
1,glass,motor,MSC01,0.8049999999999999
2,glass,mem,MSC01,0.7000000000000001
3,semantic,glass,MSC01,0.78
4,semantic,motor,MSC01,0.5999999999999999
5,semantic,mem,MSC01,0.625
6,motor,glass,MSC01,0.7350000000000001
7,motor,semantic,MSC01,0.6700000000000002
8,motor,mem,MSC01,0.6650000000000001
9,mem,glass,MSC01,0.845
10,mem,semantic,MSC01,0.985
11,mem,motor,MSC01,0.915
12,glass,semantic,MSC02,0.8149999999999998
13,glass,motor,MSC02,0.8099999999999999
14,glass,mem,MSC02,0.68
15,semantic,glass,MSC02,0.59
16,semantic,motor,MSC02,0.5
17,semantic,mem,MSC02,0.53
18,motor,glass,MSC02,0.6700000000000002
19,motor,semantic,MSC02,0.6300000000000001
20,motor,mem,MSC02,0.5349999999999999
21,mem,glass,MSC02,0.8099999999999999
22,mem,semantic,MSC02,0.7999999999999999
23,mem,motor,MSC02,0.86
24,glass,semantic,MSC03,0.8099999999999999
25,glass,motor,MSC03,0.9349999999999999
26,glass,mem,MSC03,0.6300000000000001
27,semantic,glass,MSC03,0.7250000000000001
28,semantic,motor,MSC03,0.8100000000000002
29,semantic,mem,MSC03,0.72
30,motor,glass,MSC03,0.73
31,motor,semantic,MSC03,0.745
32,motor,mem,MSC03,0.8099999999999999
33,mem,glass,MSC03,0.6950000000000001
34,mem,semantic,MSC03,0.8099999999999999
35,mem,motor,MSC03,0.9550000000000001
36,glass,semantic,MSC04,0.915
37,glass,motor,MSC04,0.755
38,glass,mem,MSC04,0.74
39,semantic,glass,MSC04,0.875
40,semantic,motor,MSC04,0.655
41,semantic,mem,MSC04,0.75
42,motor,glass,MSC04,0.6950000000000001
43,motor,semantic,MSC04,0.7
44,motor,mem,MSC04,0.5849999999999999
45,mem,glass,MSC04,0.9800000000000001
46,mem,semantic,MSC04,0.99
47,mem,motor,MSC04,0.835
48,glass,semantic,MSC05,0.8400000000000001
49,glass,motor,MSC05,0.8549999999999999
50,glass,mem,MSC05,0.9650000000000001
51,semantic,glass,MSC05,0.5549999999999999
52,semantic,motor,MSC05,0.505
53,semantic,mem,MSC05,0.5999999999999999
54,motor,glass,MSC05,0.575
55,motor,semantic,MSC05,0.5449999999999999
56,motor,mem,MSC05,0.7100000000000002
57,mem,glass,MSC05,0.82
58,mem,semantic,MSC05,0.845
59,mem,motor,MSC05,1.0
60,glass,semantic,MSC06,0.8277777777777777
61,glass,motor,MSC06,0.6333333333333333
62,glass,mem,MSC06,0.8722222222222222
63,semantic,glass,MSC06,0.65
64,semantic,motor,MSC06,0.615
65,semantic,mem,MSC06,0.8400000000000001
66,motor,glass,MSC06,0.5555555555555555
67,motor,semantic,MSC06,0.7100000000000001
68,motor,mem,MSC06,0.685
69,mem,glass,MSC06,0.7666666666666666
70,mem,semantic,MSC06,0.865
71,mem,motor,MSC06,0.82
72,glass,semantic,MSC07,0.9949999999999999
73,glass,motor,MSC07,0.5549999999999999
74,glass,mem,MSC07,0.705
75,semantic,glass,MSC07,0.925
76,semantic,motor,MSC07,0.5499999999999999
77,semantic,mem,MSC07,0.5999999999999999
78,motor,glass,MSC07,0.5399999999999999
79,motor,semantic,MSC07,0.565
80,motor,mem,MSC07,0.565
81,mem,glass,MSC07,0.9199999999999999
82,mem,semantic,MSC07,0.96
83,mem,motor,MSC07,0.8350000000000002
84,glass,semantic,MSC10,0.8399999999999999
85,glass,motor,MSC10,0.8049999999999999
86,glass,mem,MSC10,0.68
87,semantic,glass,MSC10,0.9299999999999999
88,semantic,motor,MSC10,0.6600000000000001
89,semantic,mem,MSC10,0.6500000000000001
90,motor,glass,MSC10,0.825
91,motor,semantic,MSC10,0.6500000000000001
92,motor,mem,MSC10,0.6249999999999999
93,mem,glass,MSC10,0.85
94,mem,semantic,MSC10,0.7849999999999999
95,mem,motor,MSC10,0.875
