,test_task,train_task,Mean,Std
0,glass,mem,0.8358333333333332,0.08757762996245827
1,glass,motor,0.6656944444444445,0.10095913486941266
2,glass,semantic,0.75375,0.14817340227873943
3,mem,glass,0.7465277777777777,0.11332117504033415
4,mem,motor,0.6475000000000001,0.08936282384590526
5,mem,semantic,0.6643749999999999,0.09955032826235613
6,motor,glass,0.7691666666666666,0.1216682974450395
7,motor,mem,0.886875,0.06430604837138461
8,motor,semantic,0.6118750000000001,0.10095746982906083
9,semantic,glass,0.8709722222222221,0.06641337464373923
10,semantic,mem,0.88,0.08560707580902079
11,semantic,motor,0.651875,0.069843575223495
