,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.505
1,MSC01,MSC02,motor,0.37
2,MSC01,MSC02,mem,0.39499999999999996
3,MSC01,MSC03,mixed,0.55
4,MSC01,MSC03,motor,0.47000000000000003
5,MSC01,MSC03,mem,0.56875
6,MSC01,MSC04,mixed,0.5
7,MSC01,MSC04,motor,0.5850000000000001
8,MSC01,MSC04,mem,0.5349999999999999
9,MSC01,MSC05,mixed,0.505
10,MSC01,MSC05,motor,0.4750000000000001
11,MSC01,MSC05,mem,0.445
12,MSC01,MSC06,mixed,0.475
13,MSC01,MSC06,motor,0.5
14,MSC01,MSC06,mem,0.52
15,MSC01,MSC07,mixed,0.7699999999999999
16,MSC01,MSC07,motor,0.7111111111111111
17,MSC01,MSC07,mem,0.4
18,MSC01,MSC10,mixed,0.57
19,MSC01,MSC10,motor,0.575
20,MSC01,MSC10,mem,0.5149999999999999
21,MSC02,MSC01,mixed,0.385
22,MSC02,MSC01,motor,0.38
23,MSC02,MSC01,mem,0.49000000000000005
24,MSC02,MSC03,mixed,0.545
25,MSC02,MSC03,motor,0.6799999999999999
26,MSC02,MSC03,mem,0.54375
27,MSC02,MSC04,mixed,0.45
28,MSC02,MSC04,motor,0.5849999999999999
29,MSC02,MSC04,mem,0.5549999999999999
30,MSC02,MSC05,mixed,0.5599999999999999
31,MSC02,MSC05,motor,0.5499999999999999
32,MSC02,MSC05,mem,0.4900000000000001
33,MSC02,MSC06,mixed,0.6650000000000001
34,MSC02,MSC06,motor,0.5222222222222221
35,MSC02,MSC06,mem,0.51
36,MSC02,MSC07,mixed,0.475
37,MSC02,MSC07,motor,0.5
38,MSC02,MSC07,mem,0.54
39,MSC02,MSC10,mixed,0.5649999999999998
40,MSC02,MSC10,motor,0.6650000000000001
41,MSC02,MSC10,mem,0.5599999999999999
42,MSC03,MSC01,mixed,0.5349999999999999
43,MSC03,MSC01,motor,0.425
44,MSC03,MSC01,mem,0.475
45,MSC03,MSC02,mixed,0.615
46,MSC03,MSC02,motor,0.57
47,MSC03,MSC02,mem,0.5
48,MSC03,MSC04,mixed,0.475
49,MSC03,MSC04,motor,0.655
50,MSC03,MSC04,mem,0.48125
51,MSC03,MSC05,mixed,0.505
52,MSC03,MSC05,motor,0.425
53,MSC03,MSC05,mem,0.625
54,MSC03,MSC06,mixed,0.4250000000000001
55,MSC03,MSC06,motor,0.38333333333333336
56,MSC03,MSC06,mem,0.5375
57,MSC03,MSC07,mixed,0.32999999999999996
58,MSC03,MSC07,motor,0.5055555555555555
59,MSC03,MSC07,mem,0.35625
60,MSC03,MSC10,mixed,0.5050000000000001
61,MSC03,MSC10,motor,0.5349999999999999
62,MSC03,MSC10,mem,0.5125
63,MSC04,MSC01,mixed,0.505
64,MSC04,MSC01,motor,0.5900000000000001
65,MSC04,MSC01,mem,0.6450000000000001
66,MSC04,MSC02,mixed,0.4600000000000001
67,MSC04,MSC02,motor,0.68
68,MSC04,MSC02,mem,0.6049999999999999
69,MSC04,MSC03,mixed,0.48500000000000004
70,MSC04,MSC03,motor,0.595
71,MSC04,MSC03,mem,0.54375
72,MSC04,MSC05,mixed,0.485
73,MSC04,MSC05,motor,0.53
74,MSC04,MSC05,mem,0.5199999999999999
75,MSC04,MSC06,mixed,0.5700000000000001
76,MSC04,MSC06,motor,0.5499999999999999
77,MSC04,MSC06,mem,0.485
78,MSC04,MSC07,mixed,0.37
79,MSC04,MSC07,motor,0.5055555555555556
80,MSC04,MSC07,mem,0.6200000000000001
81,MSC04,MSC10,mixed,0.525
82,MSC04,MSC10,motor,0.5650000000000001
83,MSC04,MSC10,mem,0.5950000000000001
84,MSC05,MSC01,mixed,0.545
85,MSC05,MSC01,motor,0.32499999999999996
86,MSC05,MSC01,mem,0.55
87,MSC05,MSC02,mixed,0.555
88,MSC05,MSC02,motor,0.5399999999999999
89,MSC05,MSC02,mem,0.48500000000000004
90,MSC05,MSC03,mixed,0.6
91,MSC05,MSC03,motor,0.41500000000000004
92,MSC05,MSC03,mem,0.7125
93,MSC05,MSC04,mixed,0.41500000000000004
94,MSC05,MSC04,motor,0.565
95,MSC05,MSC04,mem,0.52
96,MSC05,MSC06,mixed,0.43000000000000005
97,MSC05,MSC06,motor,0.45
98,MSC05,MSC06,mem,0.41
99,MSC05,MSC07,mixed,0.36000000000000004
100,MSC05,MSC07,motor,0.43888888888888894
101,MSC05,MSC07,mem,0.45499999999999996
102,MSC05,MSC10,mixed,0.59
103,MSC05,MSC10,motor,0.6049999999999999
104,MSC05,MSC10,mem,0.6
105,MSC06,MSC01,mixed,0.49000000000000005
106,MSC06,MSC01,motor,0.48888888888888893
107,MSC06,MSC01,mem,0.51
108,MSC06,MSC02,mixed,0.5499999999999999
109,MSC06,MSC02,motor,0.7333333333333334
110,MSC06,MSC02,mem,0.51
111,MSC06,MSC03,mixed,0.5
112,MSC06,MSC03,motor,0.4388888888888889
113,MSC06,MSC03,mem,0.51875
114,MSC06,MSC04,mixed,0.595
115,MSC06,MSC04,motor,0.5222222222222223
116,MSC06,MSC04,mem,0.5149999999999999
117,MSC06,MSC05,mixed,0.45999999999999996
118,MSC06,MSC05,motor,0.5222222222222223
119,MSC06,MSC05,mem,0.41500000000000004
120,MSC06,MSC07,mixed,0.45499999999999996
121,MSC06,MSC07,motor,0.5617283950617283
122,MSC06,MSC07,mem,0.51
123,MSC06,MSC10,mixed,0.465
124,MSC06,MSC10,motor,0.4666666666666667
125,MSC06,MSC10,mem,0.425
126,MSC07,MSC01,mixed,0.7000000000000002
127,MSC07,MSC01,motor,0.638888888888889
128,MSC07,MSC01,mem,0.345
129,MSC07,MSC02,mixed,0.525
130,MSC07,MSC02,motor,0.461111111111111
131,MSC07,MSC02,mem,0.6000000000000001
132,MSC07,MSC03,mixed,0.24499999999999997
133,MSC07,MSC03,motor,0.5055555555555555
134,MSC07,MSC03,mem,0.2375
135,MSC07,MSC04,mixed,0.35
136,MSC07,MSC04,motor,0.5777777777777777
137,MSC07,MSC04,mem,0.585
138,MSC07,MSC05,mixed,0.38
139,MSC07,MSC05,motor,0.4
140,MSC07,MSC05,mem,0.41500000000000004
141,MSC07,MSC06,mixed,0.37
142,MSC07,MSC06,motor,0.4876543209876544
143,MSC07,MSC06,mem,0.4600000000000001
144,MSC07,MSC10,mixed,0.5900000000000001
145,MSC07,MSC10,motor,0.6499999999999999
146,MSC07,MSC10,mem,0.465
147,MSC10,MSC01,mixed,0.48999999999999994
148,MSC10,MSC01,motor,0.505
149,MSC10,MSC01,mem,0.595
150,MSC10,MSC02,mixed,0.5399999999999999
151,MSC10,MSC02,motor,0.5850000000000001
152,MSC10,MSC02,mem,0.545
153,MSC10,MSC03,mixed,0.49000000000000005
154,MSC10,MSC03,motor,0.45
155,MSC10,MSC03,mem,0.50625
156,MSC10,MSC04,mixed,0.49000000000000005
157,MSC10,MSC04,motor,0.465
158,MSC10,MSC04,mem,0.4800000000000001
159,MSC10,MSC05,mixed,0.6000000000000001
160,MSC10,MSC05,motor,0.53
161,MSC10,MSC05,mem,0.635
162,MSC10,MSC06,mixed,0.425
163,MSC10,MSC06,motor,0.45555555555555555
164,MSC10,MSC06,mem,0.4750000000000001
165,MSC10,MSC07,mixed,0.5
166,MSC10,MSC07,motor,0.5166666666666666
167,MSC10,MSC07,mem,0.4450000000000001
