,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.9000000000000001
1,mixed,mem,MSC01,0.76
2,motor,mixed,MSC01,0.8850000000000001
3,motor,mem,MSC01,0.635
4,mem,mixed,MSC01,0.805
5,mem,motor,MSC01,0.6749999999999999
6,mixed,motor,MSC02,0.78
7,mixed,mem,MSC02,0.695
8,motor,mixed,MSC02,0.6049999999999999
9,motor,mem,MSC02,0.695
10,mem,mixed,MSC02,0.5599999999999999
11,mem,motor,MSC02,0.62
12,mixed,motor,MSC03,0.6600000000000001
13,mixed,mem,MSC03,0.60625
14,motor,mixed,MSC03,0.635
15,motor,mem,MSC03,0.6625
16,mem,mixed,MSC03,0.6812499999999999
17,mem,motor,MSC03,0.675
18,mixed,motor,MSC04,0.43500000000000005
19,mixed,mem,MSC04,0.49000000000000005
20,motor,mixed,MSC04,0.43999999999999995
21,motor,mem,MSC04,0.43499999999999994
22,mem,mixed,MSC04,0.55
23,mem,motor,MSC04,0.52
24,mixed,motor,MSC05,0.39
25,mixed,mem,MSC05,0.55
26,motor,mixed,MSC05,0.5649999999999998
27,motor,mem,MSC05,0.485
28,mem,mixed,MSC05,0.6399999999999999
29,mem,motor,MSC05,0.515
30,mixed,motor,MSC06,0.3888888888888889
31,mixed,mem,MSC06,0.49499999999999994
32,motor,mixed,MSC06,0.4277777777777778
33,motor,mem,MSC06,0.34444444444444444
34,mem,mixed,MSC06,0.5599999999999999
35,mem,motor,MSC06,0.5388888888888889
36,mixed,motor,MSC07,0.5222222222222223
37,mixed,mem,MSC07,0.42000000000000004
38,motor,mixed,MSC07,0.5222222222222223
39,motor,mem,MSC07,0.3222222222222222
40,mem,mixed,MSC07,0.5799999999999998
41,mem,motor,MSC07,0.4888888888888888
42,mixed,motor,MSC10,0.7600000000000001
43,mixed,mem,MSC10,0.6049999999999999
44,motor,mixed,MSC10,0.7000000000000001
45,motor,mem,MSC10,0.645
46,mem,mixed,MSC10,0.5199999999999999
47,mem,motor,MSC10,0.52
