,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.65
1,MSC01,MSC02,motor,0.5
2,MSC01,MSC02,mem,0.55
3,MSC01,MSC03,mixed,0.485
4,MSC01,MSC03,motor,0.5
5,MSC01,MSC03,mem,0.53125
6,MSC01,MSC04,mixed,0.615
7,MSC01,MSC04,motor,0.6100000000000001
8,MSC01,MSC04,mem,0.595
9,MSC01,MSC05,mixed,0.5349999999999999
10,MSC01,MSC05,motor,0.485
11,MSC01,MSC05,mem,0.5249999999999999
12,MSC01,MSC06,mixed,0.535
13,MSC01,MSC06,motor,0.5
14,MSC01,MSC06,mem,0.5799999999999998
15,MSC01,MSC07,mixed,0.44000000000000006
16,MSC01,MSC07,motor,0.5055555555555555
17,MSC01,MSC07,mem,0.4250000000000001
18,MSC01,MSC10,mixed,0.5599999999999998
19,MSC01,MSC10,motor,0.5
20,MSC01,MSC10,mem,0.49000000000000005
21,MSC02,MSC01,mixed,0.49000000000000005
22,MSC02,MSC01,motor,0.625
23,MSC02,MSC01,mem,0.6500000000000001
24,MSC02,MSC03,mixed,0.52
25,MSC02,MSC03,motor,0.74
26,MSC02,MSC03,mem,0.76875
27,MSC02,MSC04,mixed,0.72
28,MSC02,MSC04,motor,0.72
29,MSC02,MSC04,mem,0.6900000000000001
30,MSC02,MSC05,mixed,0.6249999999999999
31,MSC02,MSC05,motor,0.85
32,MSC02,MSC05,mem,0.68
33,MSC02,MSC06,mixed,0.835
34,MSC02,MSC06,motor,0.8722222222222221
35,MSC02,MSC06,mem,0.705
36,MSC02,MSC07,mixed,0.51
37,MSC02,MSC07,motor,0.7055555555555556
38,MSC02,MSC07,mem,0.525
39,MSC02,MSC10,mixed,0.605
40,MSC02,MSC10,motor,0.665
41,MSC02,MSC10,mem,0.54
42,MSC03,MSC01,mixed,0.505
43,MSC03,MSC01,motor,0.5
44,MSC03,MSC01,mem,0.38125
45,MSC03,MSC02,mixed,0.495
46,MSC03,MSC02,motor,0.8800000000000001
47,MSC03,MSC02,mem,0.56875
48,MSC03,MSC04,mixed,0.495
49,MSC03,MSC04,motor,0.63
50,MSC03,MSC04,mem,0.46875
51,MSC03,MSC05,mixed,0.63
52,MSC03,MSC05,motor,0.7250000000000001
53,MSC03,MSC05,mem,0.7374999999999999
54,MSC03,MSC06,mixed,0.505
55,MSC03,MSC06,motor,0.7166666666666667
56,MSC03,MSC06,mem,0.5687500000000001
57,MSC03,MSC07,mixed,0.585
58,MSC03,MSC07,motor,0.6555555555555557
59,MSC03,MSC07,mem,0.575
60,MSC03,MSC10,mixed,0.55
61,MSC03,MSC10,motor,0.61
62,MSC03,MSC10,mem,0.6375000000000001
63,MSC04,MSC01,mixed,0.505
64,MSC04,MSC01,motor,0.515
65,MSC04,MSC01,mem,0.66
66,MSC04,MSC02,mixed,0.585
67,MSC04,MSC02,motor,0.52
68,MSC04,MSC02,mem,0.67
69,MSC04,MSC03,mixed,0.5199999999999999
70,MSC04,MSC03,motor,0.595
71,MSC04,MSC03,mem,0.575
72,MSC04,MSC05,mixed,0.66
73,MSC04,MSC05,motor,0.595
74,MSC04,MSC05,mem,0.715
75,MSC04,MSC06,mixed,0.6650000000000001
76,MSC04,MSC06,motor,0.6055555555555555
77,MSC04,MSC06,mem,0.615
78,MSC04,MSC07,mixed,0.5399999999999999
79,MSC04,MSC07,motor,0.6222222222222221
80,MSC04,MSC07,mem,0.6699999999999999
81,MSC04,MSC10,mixed,0.565
82,MSC04,MSC10,motor,0.5599999999999999
83,MSC04,MSC10,mem,0.635
84,MSC05,MSC01,mixed,0.47000000000000003
85,MSC05,MSC01,motor,0.5
86,MSC05,MSC01,mem,0.565
87,MSC05,MSC02,mixed,0.6049999999999999
88,MSC05,MSC02,motor,0.6300000000000001
89,MSC05,MSC02,mem,0.5599999999999998
90,MSC05,MSC03,mixed,0.6300000000000001
91,MSC05,MSC03,motor,0.71
92,MSC05,MSC03,mem,0.75625
93,MSC05,MSC04,mixed,0.7150000000000001
94,MSC05,MSC04,motor,0.7350000000000001
95,MSC05,MSC04,mem,0.6249999999999999
96,MSC05,MSC06,mixed,0.635
97,MSC05,MSC06,motor,0.6055555555555555
98,MSC05,MSC06,mem,0.6500000000000001
99,MSC05,MSC07,mixed,0.56
100,MSC05,MSC07,motor,0.6444444444444445
101,MSC05,MSC07,mem,0.49000000000000005
102,MSC05,MSC10,mixed,0.6500000000000001
103,MSC05,MSC10,motor,0.6300000000000001
104,MSC05,MSC10,mem,0.53
105,MSC06,MSC01,mixed,0.495
106,MSC06,MSC01,motor,0.5611111111111111
107,MSC06,MSC01,mem,0.6300000000000001
108,MSC06,MSC02,mixed,0.755
109,MSC06,MSC02,motor,0.5333333333333333
110,MSC06,MSC02,mem,0.585
111,MSC06,MSC03,mixed,0.55
112,MSC06,MSC03,motor,0.7777777777777778
113,MSC06,MSC03,mem,0.6125
114,MSC06,MSC04,mixed,0.7150000000000001
115,MSC06,MSC04,motor,0.6277777777777778
116,MSC06,MSC04,mem,0.615
117,MSC06,MSC05,mixed,0.6250000000000001
118,MSC06,MSC05,motor,0.5777777777777777
119,MSC06,MSC05,mem,0.58
120,MSC06,MSC07,mixed,0.6
121,MSC06,MSC07,motor,0.7037037037037037
122,MSC06,MSC07,mem,0.5050000000000001
123,MSC06,MSC10,mixed,0.5999999999999999
124,MSC06,MSC10,motor,0.6777777777777777
125,MSC06,MSC10,mem,0.645
126,MSC07,MSC01,mixed,0.36500000000000005
127,MSC07,MSC01,motor,0.5222222222222223
128,MSC07,MSC01,mem,0.43499999999999994
129,MSC07,MSC02,mixed,0.5599999999999998
130,MSC07,MSC02,motor,0.5722222222222223
131,MSC07,MSC02,mem,0.6900000000000001
132,MSC07,MSC03,mixed,0.5899999999999999
133,MSC07,MSC03,motor,0.6444444444444444
134,MSC07,MSC03,mem,0.65
135,MSC07,MSC04,mixed,0.485
136,MSC07,MSC04,motor,0.6833333333333333
137,MSC07,MSC04,mem,0.6900000000000001
138,MSC07,MSC05,mixed,0.595
139,MSC07,MSC05,motor,0.5
140,MSC07,MSC05,mem,0.635
141,MSC07,MSC06,mixed,0.4600000000000001
142,MSC07,MSC06,motor,0.7407407407407408
143,MSC07,MSC06,mem,0.5700000000000001
144,MSC07,MSC10,mixed,0.49000000000000005
145,MSC07,MSC10,motor,0.5666666666666668
146,MSC07,MSC10,mem,0.685
147,MSC10,MSC01,mixed,0.6300000000000001
148,MSC10,MSC01,motor,0.59
149,MSC10,MSC01,mem,0.615
150,MSC10,MSC02,mixed,0.5
151,MSC10,MSC02,motor,0.615
152,MSC10,MSC02,mem,0.5700000000000001
153,MSC10,MSC03,mixed,0.5449999999999999
154,MSC10,MSC03,motor,0.8249999999999998
155,MSC10,MSC03,mem,0.60625
156,MSC10,MSC04,mixed,0.675
157,MSC10,MSC04,motor,0.6799999999999999
158,MSC10,MSC04,mem,0.6650000000000001
159,MSC10,MSC05,mixed,0.55
160,MSC10,MSC05,motor,0.735
161,MSC10,MSC05,mem,0.59
162,MSC10,MSC06,mixed,0.57
163,MSC10,MSC06,motor,0.7277777777777777
164,MSC10,MSC06,mem,0.64
165,MSC10,MSC07,mixed,0.48500000000000004
166,MSC10,MSC07,motor,0.6722222222222223
167,MSC10,MSC07,mem,0.59
