,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.495
1,mixed,mem,MSC01,MSC02,0.505
2,motor,mixed,MSC01,MSC02,0.5
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.5900000000000001
5,mem,motor,MSC01,MSC02,0.575
6,mixed,motor,MSC01,MSC03,0.5
7,mixed,mem,MSC01,MSC03,0.5
8,motor,mixed,MSC01,MSC03,0.5
9,motor,mem,MSC01,MSC03,0.5
10,mem,mixed,MSC01,MSC03,0.49000000000000005
11,mem,motor,MSC01,MSC03,0.495
12,mixed,motor,MSC01,MSC04,0.5
13,mixed,mem,MSC01,MSC04,0.5
14,motor,mixed,MSC01,MSC04,0.495
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.53
17,mem,motor,MSC01,MSC04,0.57
18,mixed,motor,MSC01,MSC05,0.5
19,mixed,mem,MSC01,MSC05,0.5
20,motor,mixed,MSC01,MSC05,0.5
21,motor,mem,MSC01,MSC05,0.45000000000000007
22,mem,mixed,MSC01,MSC05,0.5549999999999999
23,mem,motor,MSC01,MSC05,0.5700000000000001
24,mixed,motor,MSC01,MSC06,0.5
25,mixed,mem,MSC01,MSC06,0.5
26,motor,mixed,MSC01,MSC06,0.5
27,motor,mem,MSC01,MSC06,0.5
28,mem,mixed,MSC01,MSC06,0.5
29,mem,motor,MSC01,MSC06,0.5
30,mixed,motor,MSC01,MSC07,0.46111111111111114
31,mixed,mem,MSC01,MSC07,0.5149999999999999
32,motor,mixed,MSC01,MSC07,0.54
33,motor,mem,MSC01,MSC07,0.54
34,mem,mixed,MSC01,MSC07,0.45500000000000007
35,mem,motor,MSC01,MSC07,0.42222222222222233
36,mixed,motor,MSC01,MSC10,0.5
37,mixed,mem,MSC01,MSC10,0.5
38,motor,mixed,MSC01,MSC10,0.5
39,motor,mem,MSC01,MSC10,0.5
40,mem,mixed,MSC01,MSC10,0.5399999999999999
41,mem,motor,MSC01,MSC10,0.5349999999999999
42,mixed,motor,MSC02,MSC01,0.6649999999999999
43,mixed,mem,MSC02,MSC01,0.71
44,motor,mixed,MSC02,MSC01,0.5900000000000001
45,motor,mem,MSC02,MSC01,0.63
46,mem,mixed,MSC02,MSC01,0.6399999999999999
47,mem,motor,MSC02,MSC01,0.6299999999999999
48,mixed,motor,MSC02,MSC03,0.5399999999999999
49,mixed,mem,MSC02,MSC03,0.5375
50,motor,mixed,MSC02,MSC03,0.5349999999999999
51,motor,mem,MSC02,MSC03,0.59375
52,mem,mixed,MSC02,MSC03,0.5999999999999999
53,mem,motor,MSC02,MSC03,0.6599999999999999
54,mixed,motor,MSC02,MSC04,0.6950000000000001
55,mixed,mem,MSC02,MSC04,0.72
56,motor,mixed,MSC02,MSC04,0.5149999999999999
57,motor,mem,MSC02,MSC04,0.7899999999999999
58,mem,mixed,MSC02,MSC04,0.475
59,mem,motor,MSC02,MSC04,0.59
60,mixed,motor,MSC02,MSC05,0.7500000000000001
61,mixed,mem,MSC02,MSC05,0.7500000000000001
62,motor,mixed,MSC02,MSC05,0.5499999999999999
63,motor,mem,MSC02,MSC05,0.6199999999999999
64,mem,mixed,MSC02,MSC05,0.685
65,mem,motor,MSC02,MSC05,0.745
66,mixed,motor,MSC02,MSC06,0.6666666666666666
67,mixed,mem,MSC02,MSC06,0.6300000000000001
68,motor,mixed,MSC02,MSC06,0.6199999999999999
69,motor,mem,MSC02,MSC06,0.54
70,mem,mixed,MSC02,MSC06,0.6249999999999999
71,mem,motor,MSC02,MSC06,0.6833333333333333
72,mixed,motor,MSC02,MSC07,0.5055555555555555
73,mixed,mem,MSC02,MSC07,0.4600000000000001
74,motor,mixed,MSC02,MSC07,0.5700000000000001
75,motor,mem,MSC02,MSC07,0.59
76,mem,mixed,MSC02,MSC07,0.57
77,mem,motor,MSC02,MSC07,0.4444444444444445
78,mixed,motor,MSC02,MSC10,0.43000000000000005
79,mixed,mem,MSC02,MSC10,0.48500000000000004
80,motor,mixed,MSC02,MSC10,0.585
81,motor,mem,MSC02,MSC10,0.59
82,mem,mixed,MSC02,MSC10,0.59
83,mem,motor,MSC02,MSC10,0.5700000000000001
84,mixed,motor,MSC03,MSC01,0.44000000000000006
85,mixed,mem,MSC03,MSC01,0.43500000000000005
86,motor,mixed,MSC03,MSC01,0.4
87,motor,mem,MSC03,MSC01,0.485
88,mem,mixed,MSC03,MSC01,0.48124999999999996
89,mem,motor,MSC03,MSC01,0.51875
90,mixed,motor,MSC03,MSC02,0.5449999999999999
91,mixed,mem,MSC03,MSC02,0.5399999999999999
92,motor,mixed,MSC03,MSC02,0.53
93,motor,mem,MSC03,MSC02,0.53
94,mem,mixed,MSC03,MSC02,0.56875
95,mem,motor,MSC03,MSC02,0.4625
96,mixed,motor,MSC03,MSC04,0.475
97,mixed,mem,MSC03,MSC04,0.515
98,motor,mixed,MSC03,MSC04,0.52
99,motor,mem,MSC03,MSC04,0.495
100,mem,mixed,MSC03,MSC04,0.525
101,mem,motor,MSC03,MSC04,0.50625
102,mixed,motor,MSC03,MSC05,0.5250000000000001
103,mixed,mem,MSC03,MSC05,0.5799999999999998
104,motor,mixed,MSC03,MSC05,0.55
105,motor,mem,MSC03,MSC05,0.475
106,mem,mixed,MSC03,MSC05,0.5
107,mem,motor,MSC03,MSC05,0.45625
108,mixed,motor,MSC03,MSC06,0.7666666666666666
109,mixed,mem,MSC03,MSC06,0.57
110,motor,mixed,MSC03,MSC06,0.67
111,motor,mem,MSC03,MSC06,0.5399999999999999
112,mem,mixed,MSC03,MSC06,0.55
113,mem,motor,MSC03,MSC06,0.6388888888888888
114,mixed,motor,MSC03,MSC07,0.42777777777777787
