,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.645
1,mixed,mem,MSC01,MSC02,0.515
2,motor,mixed,MSC01,MSC02,0.475
3,motor,mem,MSC01,MSC02,0.37
4,mem,mixed,MSC01,MSC02,0.5700000000000001
5,mem,motor,MSC01,MSC02,0.5799999999999998
6,mixed,motor,MSC01,MSC03,0.54
7,mixed,mem,MSC01,MSC03,0.475
8,motor,mixed,MSC01,MSC03,0.5199999999999999
9,motor,mem,MSC01,MSC03,0.475
10,mem,mixed,MSC01,MSC03,0.525
11,mem,motor,MSC01,MSC03,0.515
12,mixed,motor,MSC01,MSC04,0.485
13,mixed,mem,MSC01,MSC04,0.5
14,motor,mixed,MSC01,MSC04,0.3950000000000001
15,motor,mem,MSC01,MSC04,0.32
16,mem,mixed,MSC01,MSC04,0.445
17,mem,motor,MSC01,MSC04,0.43000000000000005
18,mixed,motor,MSC01,MSC05,0.6
19,mixed,mem,MSC01,MSC05,0.595
20,motor,mixed,MSC01,MSC05,0.515
21,motor,mem,MSC01,MSC05,0.4250000000000001
22,mem,mixed,MSC01,MSC05,0.5850000000000001
23,mem,motor,MSC01,MSC05,0.615
24,mixed,motor,MSC01,MSC06,0.39999999999999997
25,mixed,mem,MSC01,MSC06,0.375
26,motor,mixed,MSC01,MSC06,0.43000000000000005
27,motor,mem,MSC01,MSC06,0.37499999999999994
28,mem,mixed,MSC01,MSC06,0.31499999999999995
29,mem,motor,MSC01,MSC06,0.2833333333333334
30,mixed,motor,MSC01,MSC07,0.42777777777777787
31,mixed,mem,MSC01,MSC07,0.38
32,motor,mixed,MSC01,MSC07,0.51
33,motor,mem,MSC01,MSC07,0.305
34,mem,mixed,MSC01,MSC07,0.54
35,mem,motor,MSC01,MSC07,0.5
36,mixed,motor,MSC01,MSC10,0.37
37,mixed,mem,MSC01,MSC10,0.40499999999999997
38,motor,mixed,MSC01,MSC10,0.38500000000000006
39,motor,mem,MSC01,MSC10,0.4250000000000001
40,mem,mixed,MSC01,MSC10,0.38499999999999995
41,mem,motor,MSC01,MSC10,0.47000000000000003
42,mixed,motor,MSC02,MSC01,0.43000000000000005
43,mixed,mem,MSC02,MSC01,0.575
44,motor,mixed,MSC02,MSC01,0.6149999999999999
45,motor,mem,MSC02,MSC01,0.6099999999999999
46,mem,mixed,MSC02,MSC01,0.40499999999999997
47,mem,motor,MSC02,MSC01,0.43
48,mixed,motor,MSC02,MSC03,0.575
49,mixed,mem,MSC02,MSC03,0.58125
50,motor,mixed,MSC02,MSC03,0.51
51,motor,mem,MSC02,MSC03,0.4875
52,mem,mixed,MSC02,MSC03,0.5
53,mem,motor,MSC02,MSC03,0.505
54,mixed,motor,MSC02,MSC04,0.745
55,mixed,mem,MSC02,MSC04,0.6900000000000001
56,motor,mixed,MSC02,MSC04,0.66
57,motor,mem,MSC02,MSC04,0.58
58,mem,mixed,MSC02,MSC04,0.5499999999999999
59,mem,motor,MSC02,MSC04,0.5700000000000001
60,mixed,motor,MSC02,MSC05,0.53
61,mixed,mem,MSC02,MSC05,0.595
62,motor,mixed,MSC02,MSC05,0.5999999999999999
63,motor,mem,MSC02,MSC05,0.515
64,mem,mixed,MSC02,MSC05,0.6250000000000001
65,mem,motor,MSC02,MSC05,0.5349999999999999
66,mixed,motor,MSC02,MSC06,0.5555555555555556
67,mixed,mem,MSC02,MSC06,0.675
68,motor,mixed,MSC02,MSC06,0.49000000000000005
69,motor,mem,MSC02,MSC06,0.425
70,mem,mixed,MSC02,MSC06,0.6199999999999999
71,mem,motor,MSC02,MSC06,0.5166666666666666
72,mixed,motor,MSC02,MSC07,0.5777777777777777
73,mixed,mem,MSC02,MSC07,0.59
74,motor,mixed,MSC02,MSC07,0.44000000000000006
75,motor,mem,MSC02,MSC07,0.41500000000000004
76,mem,mixed,MSC02,MSC07,0.45500000000000007
77,mem,motor,MSC02,MSC07,0.46111111111111114
78,mixed,motor,MSC02,MSC10,0.4700000000000001
79,mixed,mem,MSC02,MSC10,0.5449999999999999
80,motor,mixed,MSC02,MSC10,0.475
81,motor,mem,MSC02,MSC10,0.485
82,mem,mixed,MSC02,MSC10,0.525
83,mem,motor,MSC02,MSC10,0.335
84,mixed,motor,MSC03,MSC01,0.5599999999999998
85,mixed,mem,MSC03,MSC01,0.59
86,motor,mixed,MSC03,MSC01,0.5
87,motor,mem,MSC03,MSC01,0.53
88,mem,mixed,MSC03,MSC01,0.48750000000000004
89,mem,motor,MSC03,MSC01,0.46249999999999997
90,mixed,motor,MSC03,MSC02,0.59
91,mixed,mem,MSC03,MSC02,0.4950000000000001
92,motor,mixed,MSC03,MSC02,0.6299999999999999
93,motor,mem,MSC03,MSC02,0.40499999999999997
94,mem,mixed,MSC03,MSC02,0.5624999999999999
95,mem,motor,MSC03,MSC02,0.5125
96,mixed,motor,MSC03,MSC04,0.53
97,mixed,mem,MSC03,MSC04,0.5349999999999999
98,motor,mixed,MSC03,MSC04,0.665
99,motor,mem,MSC03,MSC04,0.4
100,mem,mixed,MSC03,MSC04,0.4375000000000001
101,mem,motor,MSC03,MSC04,0.525
102,mixed,motor,MSC03,MSC05,0.54
103,mixed,mem,MSC03,MSC05,0.5149999999999999
104,motor,mixed,MSC03,MSC05,0.39999999999999997
105,motor,mem,MSC03,MSC05,0.395
106,mem,mixed,MSC03,MSC05,0.51875
107,mem,motor,MSC03,MSC05,0.48750000000000004
108,mixed,motor,MSC03,MSC06,0.5055555555555555
109,mixed,mem,MSC03,MSC06,0.49000000000000005
110,motor,mixed,MSC03,MSC06,0.535
111,motor,mem,MSC03,MSC06,0.575
112,mem,mixed,MSC03,MSC06,0.525
113,mem,motor,MSC03,MSC06,0.40972222222222215
114,mixed,motor,MSC03,MSC07,0.5166666666666666
115,mixed,mem,MSC03,MSC07,0.5549999999999999
116,motor,mixed,MSC03,MSC07,0.6250000000000001
117,motor,mem,MSC03,MSC07,0.6650000000000001
118,mem,mixed,MSC03,MSC07,0.54375
119,mem,motor,MSC03,MSC07,0.5486111111111112
120,mixed,motor,MSC03,MSC10,0.665
121,mixed,mem,MSC03,MSC10,0.52
122,motor,mixed,MSC03,MSC10,0.39
123,motor,mem,MSC03,MSC10,0.39499999999999996
124,mem,mixed,MSC03,MSC10,0.49375
125,mem,motor,MSC03,MSC10,0.48125
126,mixed,motor,MSC04,MSC01,0.48
127,mixed,mem,MSC04,MSC01,0.5
128,motor,mixed,MSC04,MSC01,0.5
129,motor,mem,MSC04,MSC01,0.5
130,mem,mixed,MSC04,MSC01,0.5799999999999998
131,mem,motor,MSC04,MSC01,0.49000000000000005
132,mixed,motor,MSC04,MSC02,0.58
133,mixed,mem,MSC04,MSC02,0.5949999999999999
134,motor,mixed,MSC04,MSC02,0.635
135,motor,mem,MSC04,MSC02,0.55
136,mem,mixed,MSC04,MSC02,0.5299999999999999
137,mem,motor,MSC04,MSC02,0.5399999999999999
138,mixed,motor,MSC04,MSC03,0.655
139,mixed,mem,MSC04,MSC03,0.51875
140,motor,mixed,MSC04,MSC03,0.4800000000000001
141,motor,mem,MSC04,MSC03,0.40625
142,mem,mixed,MSC04,MSC03,0.5349999999999999
143,mem,motor,MSC04,MSC03,0.525
144,mixed,motor,MSC04,MSC05,0.465
145,mixed,mem,MSC04,MSC05,0.4750000000000001
146,motor,mixed,MSC04,MSC05,0.545
147,motor,mem,MSC04,MSC05,0.5599999999999999
148,mem,mixed,MSC04,MSC05,0.585
149,mem,motor,MSC04,MSC05,0.545
150,mixed,motor,MSC04,MSC06,0.48888888888888893
151,mixed,mem,MSC04,MSC06,0.54
152,motor,mixed,MSC04,MSC06,0.685
153,motor,mem,MSC04,MSC06,0.685
154,mem,mixed,MSC04,MSC06,0.5199999999999999
155,mem,motor,MSC04,MSC06,0.43888888888888883
156,mixed,motor,MSC04,MSC07,0.5611111111111111
157,mixed,mem,MSC04,MSC07,0.515
158,motor,mixed,MSC04,MSC07,0.445
159,motor,mem,MSC04,MSC07,0.655
160,mem,mixed,MSC04,MSC07,0.41500000000000004
161,mem,motor,MSC04,MSC07,0.47222222222222215
162,mixed,motor,MSC04,MSC10,0.495
163,mixed,mem,MSC04,MSC10,0.345
164,motor,mixed,MSC04,MSC10,0.6450000000000001
165,motor,mem,MSC04,MSC10,0.51
166,mem,mixed,MSC04,MSC10,0.6399999999999999
167,mem,motor,MSC04,MSC10,0.635
168,mixed,motor,MSC05,MSC01,0.535
169,mixed,mem,MSC05,MSC01,0.53
170,motor,mixed,MSC05,MSC01,0.59
171,motor,mem,MSC05,MSC01,0.605
172,mem,mixed,MSC05,MSC01,0.5399999999999999
173,mem,motor,MSC05,MSC01,0.42000000000000004
174,mixed,motor,MSC05,MSC02,0.575
175,mixed,mem,MSC05,MSC02,0.7249999999999999
176,motor,mixed,MSC05,MSC02,0.55
177,motor,mem,MSC05,MSC02,0.51
178,mem,mixed,MSC05,MSC02,0.725
179,mem,motor,MSC05,MSC02,0.6199999999999999
180,mixed,motor,MSC05,MSC03,0.43
181,mixed,mem,MSC05,MSC03,0.45625
182,motor,mixed,MSC05,MSC03,0.5
183,motor,mem,MSC05,MSC03,0.46875
184,mem,mixed,MSC05,MSC03,0.495
185,mem,motor,MSC05,MSC03,0.525
186,mixed,motor,MSC05,MSC04,0.535
187,mixed,mem,MSC05,MSC04,0.4
188,motor,mixed,MSC05,MSC04,0.41500000000000004
189,motor,mem,MSC05,MSC04,0.45499999999999996
190,mem,mixed,MSC05,MSC04,0.59
191,mem,motor,MSC05,MSC04,0.61
192,mixed,motor,MSC05,MSC06,0.3833333333333334
193,mixed,mem,MSC05,MSC06,0.5900000000000001
194,motor,mixed,MSC05,MSC06,0.43499999999999994
195,motor,mem,MSC05,MSC06,0.575
196,mem,mixed,MSC05,MSC06,0.45
197,mem,motor,MSC05,MSC06,0.37777777777777777
198,mixed,motor,MSC05,MSC07,0.5444444444444444
199,mixed,mem,MSC05,MSC07,0.655
200,motor,mixed,MSC05,MSC07,0.5999999999999999
201,motor,mem,MSC05,MSC07,0.48
202,mem,mixed,MSC05,MSC07,0.46500000000000014
203,mem,motor,MSC05,MSC07,0.5111111111111111
204,mixed,motor,MSC05,MSC10,0.29500000000000004
205,mixed,mem,MSC05,MSC10,0.345
206,motor,mixed,MSC05,MSC10,0.52
207,motor,mem,MSC05,MSC10,0.44000000000000006
208,mem,mixed,MSC05,MSC10,0.5050000000000001
209,mem,motor,MSC05,MSC10,0.31999999999999995
210,mixed,motor,MSC06,MSC01,0.47000000000000003
211,mixed,mem,MSC06,MSC01,0.425
212,motor,mixed,MSC06,MSC01,0.4
213,motor,mem,MSC06,MSC01,0.3111111111111111
214,mem,mixed,MSC06,MSC01,0.355
215,mem,motor,MSC06,MSC01,0.44000000000000006
216,mixed,motor,MSC06,MSC02,0.425
217,mixed,mem,MSC06,MSC02,0.57
218,motor,mixed,MSC06,MSC02,0.6833333333333333
219,motor,mem,MSC06,MSC02,0.7111111111111111
220,mem,mixed,MSC06,MSC02,0.7050000000000001
221,mem,motor,MSC06,MSC02,0.53
222,mixed,motor,MSC06,MSC03,0.545
223,mixed,mem,MSC06,MSC03,0.5625
224,motor,mixed,MSC06,MSC03,0.6277777777777778
225,motor,mem,MSC06,MSC03,0.5277777777777778
226,mem,mixed,MSC06,MSC03,0.5
227,mem,motor,MSC06,MSC03,0.5
228,mixed,motor,MSC06,MSC04,0.5599999999999999
229,mixed,mem,MSC06,MSC04,0.5249999999999999
230,motor,mixed,MSC06,MSC04,0.5888888888888888
231,motor,mem,MSC06,MSC04,0.5444444444444444
232,mem,mixed,MSC06,MSC04,0.5999999999999999
233,mem,motor,MSC06,MSC04,0.6199999999999999
234,mixed,motor,MSC06,MSC05,0.4750000000000001
235,mixed,mem,MSC06,MSC05,0.45499999999999996
236,motor,mixed,MSC06,MSC05,0.4444444444444444
237,motor,mem,MSC06,MSC05,0.4166666666666667
238,mem,mixed,MSC06,MSC05,0.545
239,mem,motor,MSC06,MSC05,0.505
240,mixed,motor,MSC06,MSC07,0.55
241,mixed,mem,MSC06,MSC07,0.665
242,motor,mixed,MSC06,MSC07,0.5777777777777778
243,motor,mem,MSC06,MSC07,0.6166666666666667
244,mem,mixed,MSC06,MSC07,0.53
245,mem,motor,MSC06,MSC07,0.5833333333333334
246,mixed,motor,MSC06,MSC10,0.51
247,mixed,mem,MSC06,MSC10,0.545
248,motor,mixed,MSC06,MSC10,0.6111111111111112
249,motor,mem,MSC06,MSC10,0.5777777777777777
250,mem,mixed,MSC06,MSC10,0.545
251,mem,motor,MSC06,MSC10,0.44499999999999995
252,mixed,motor,MSC07,MSC01,0.5
253,mixed,mem,MSC07,MSC01,0.5000000000000001
254,motor,mixed,MSC07,MSC01,0.48888888888888893
255,motor,mem,MSC07,MSC01,0.5
256,mem,mixed,MSC07,MSC01,0.41
257,mem,motor,MSC07,MSC01,0.465
258,mixed,motor,MSC07,MSC02,0.42000000000000004
259,mixed,mem,MSC07,MSC02,0.39999999999999997
260,motor,mixed,MSC07,MSC02,0.6333333333333333
261,motor,mem,MSC07,MSC02,0.4388888888888889
262,mem,mixed,MSC07,MSC02,0.575
263,mem,motor,MSC07,MSC02,0.445
264,mixed,motor,MSC07,MSC03,0.5
265,mixed,mem,MSC07,MSC03,0.50625
266,motor,mixed,MSC07,MSC03,0.5222222222222223
267,motor,mem,MSC07,MSC03,0.5277777777777778
268,mem,mixed,MSC07,MSC03,0.5449999999999999
269,mem,motor,MSC07,MSC03,0.565
270,mixed,motor,MSC07,MSC04,0.365
271,mixed,mem,MSC07,MSC04,0.29500000000000004
272,motor,mixed,MSC07,MSC04,0.638888888888889
273,motor,mem,MSC07,MSC04,0.48888888888888893
274,mem,mixed,MSC07,MSC04,0.6650000000000001
275,mem,motor,MSC07,MSC04,0.73
276,mixed,motor,MSC07,MSC05,0.425
277,mixed,mem,MSC07,MSC05,0.45499999999999996
278,motor,mixed,MSC07,MSC05,0.4666666666666667
279,motor,mem,MSC07,MSC05,0.45000000000000007
280,mem,mixed,MSC07,MSC05,0.5399999999999999
281,mem,motor,MSC07,MSC05,0.45999999999999996
282,mixed,motor,MSC07,MSC06,0.5666666666666667
283,mixed,mem,MSC07,MSC06,0.4700000000000001
284,motor,mixed,MSC07,MSC06,0.5888888888888889
285,motor,mem,MSC07,MSC06,0.55
286,mem,mixed,MSC07,MSC06,0.6950000000000001
287,mem,motor,MSC07,MSC06,0.6944444444444444
288,mixed,motor,MSC07,MSC10,0.565
289,mixed,mem,MSC07,MSC10,0.6050000000000001
290,motor,mixed,MSC07,MSC10,0.4722222222222222
291,motor,mem,MSC07,MSC10,0.5055555555555555
292,mem,mixed,MSC07,MSC10,0.5850000000000001
293,mem,motor,MSC07,MSC10,0.40499999999999997
294,mixed,motor,MSC10,MSC01,0.49000000000000005
295,mixed,mem,MSC10,MSC01,0.5650000000000001
296,motor,mixed,MSC10,MSC01,0.39
297,motor,mem,MSC10,MSC01,0.5
298,mem,mixed,MSC10,MSC01,0.6299999999999999
