train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.7100000000000001
mixed,mem,MSC01,MSC02,0.33999999999999997
motor,mixed,MSC01,MSC02,0.525
motor,mem,MSC01,MSC02,0.5
mem,mixed,MSC01,MSC02,0.65
mem,motor,MSC01,MSC02,0.5399999999999999
mixed,motor,MSC01,MSC03,0.665
mixed,mem,MSC01,MSC03,0.56
motor,mixed,MSC01,MSC03,0.53
motor,mem,MSC01,MSC03,0.4800000000000001
mem,mixed,MSC01,MSC03,0.535
mem,motor,MSC01,MSC03,0.6599999999999999
mixed,motor,MSC01,MSC04,0.5499999999999999
mixed,mem,MSC01,MSC04,0.5249999999999999
motor,mixed,MSC01,MSC04,0.45500000000000007
motor,mem,MSC01,MSC04,0.505
mem,mixed,MSC01,MSC04,0.41000000000000003
mem,motor,MSC01,MSC04,0.54
mixed,motor,MSC01,MSC05,0.645
mixed,mem,MSC01,MSC05,0.6449999999999999
motor,mixed,MSC01,MSC05,0.4600000000000001
motor,mem,MSC01,MSC05,0.57
mem,mixed,MSC01,MSC05,0.6649999999999999
mem,motor,MSC01,MSC05,0.625
mixed,motor,MSC01,MSC06,0.5650000000000001
mixed,mem,MSC01,MSC06,0.47000000000000003
motor,mixed,MSC01,MSC06,0.52
motor,mem,MSC01,MSC06,0.5
mem,mixed,MSC01,MSC06,0.57
mem,motor,MSC01,MSC06,0.5449999999999999
mixed,motor,MSC01,MSC07,0.35
mixed,mem,MSC01,MSC07,0.545
motor,mixed,MSC01,MSC07,0.47000000000000003
motor,mem,MSC01,MSC07,0.4800000000000001
mem,mixed,MSC01,MSC07,0.4450000000000001
mem,motor,MSC01,MSC07,0.4450000000000001
mixed,motor,MSC01,MSC10,0.6199999999999999
mixed,mem,MSC01,MSC10,0.5449999999999999
motor,mixed,MSC01,MSC10,0.53
motor,mem,MSC01,MSC10,0.495
mem,mixed,MSC01,MSC10,0.525
mem,motor,MSC01,MSC10,0.465
mixed,motor,MSC02,MSC01,0.6
mixed,mem,MSC02,MSC01,0.5
motor,mixed,MSC02,MSC01,0.505
motor,mem,MSC02,MSC01,0.505
mem,mixed,MSC02,MSC01,0.46499999999999997
mem,motor,MSC02,MSC01,0.49000000000000005
mixed,motor,MSC02,MSC03,0.5449999999999999
mixed,mem,MSC02,MSC03,0.5900000000000001
motor,mixed,MSC02,MSC03,0.51
motor,mem,MSC02,MSC03,0.5
mem,mixed,MSC02,MSC03,0.6000000000000001
mem,motor,MSC02,MSC03,0.5700000000000001
mixed,motor,MSC02,MSC04,0.6300000000000001
mixed,mem,MSC02,MSC04,0.495
motor,mixed,MSC02,MSC04,0.5449999999999999
motor,mem,MSC02,MSC04,0.495
mem,mixed,MSC02,MSC04,0.45500000000000007
mem,motor,MSC02,MSC04,0.52
mixed,motor,MSC02,MSC05,0.4750000000000001
mixed,mem,MSC02,MSC05,0.45
motor,mixed,MSC02,MSC05,0.525
motor,mem,MSC02,MSC05,0.5
mem,mixed,MSC02,MSC05,0.355
mem,motor,MSC02,MSC05,0.445
mixed,motor,MSC02,MSC06,0.6100000000000001
mixed,mem,MSC02,MSC06,0.51
motor,mixed,MSC02,MSC06,0.5199999999999999
motor,mem,MSC02,MSC06,0.45
mem,mixed,MSC02,MSC06,0.43500000000000005
mem,motor,MSC02,MSC06,0.41500000000000004
mixed,motor,MSC02,MSC07,0.5449999999999999
mixed,mem,MSC02,MSC07,0.41
motor,mixed,MSC02,MSC07,0.44000000000000006
motor,mem,MSC02,MSC07,0.5
mem,mixed,MSC02,MSC07,0.38
mem,motor,MSC02,MSC07,0.5
mixed,motor,MSC02,MSC10,0.53
mixed,mem,MSC02,MSC10,0.54
motor,mixed,MSC02,MSC10,0.5
motor,mem,MSC02,MSC10,0.5
mem,mixed,MSC02,MSC10,0.665
mem,motor,MSC02,MSC10,0.5599999999999998
mixed,motor,MSC03,MSC01,0.5549999999999999
mixed,mem,MSC03,MSC01,0.315
motor,mixed,MSC03,MSC01,0.51
motor,mem,MSC03,MSC01,0.5399999999999999
mem,mixed,MSC03,MSC01,0.5
mem,motor,MSC03,MSC01,0.5
mixed,motor,MSC03,MSC02,0.5349999999999999
mixed,mem,MSC03,MSC02,0.5900000000000001
motor,mixed,MSC03,MSC02,0.635
motor,mem,MSC03,MSC02,0.6249999999999999
mem,mixed,MSC03,MSC02,0.5
mem,motor,MSC03,MSC02,0.5
mixed,motor,MSC03,MSC04,0.555
mixed,mem,MSC03,MSC04,0.49000000000000005
motor,mixed,MSC03,MSC04,0.495
motor,mem,MSC03,MSC04,0.5549999999999999
mem,mixed,MSC03,MSC04,0.5
mem,motor,MSC03,MSC04,0.5
mixed,motor,MSC03,MSC05,0.5950000000000001
mixed,mem,MSC03,MSC05,0.52
motor,mixed,MSC03,MSC05,0.54
motor,mem,MSC03,MSC05,0.51
mem,mixed,MSC03,MSC05,0.5
mem,motor,MSC03,MSC05,0.5
mixed,motor,MSC03,MSC06,0.5799999999999998
mixed,mem,MSC03,MSC06,0.66
motor,mixed,MSC03,MSC06,0.52
motor,mem,MSC03,MSC06,0.5199999999999999
mem,mixed,MSC03,MSC06,0.5
mem,motor,MSC03,MSC06,0.5
mixed,motor,MSC03,MSC07,0.27499999999999997
mixed,mem,MSC03,MSC07,0.555
motor,mixed,MSC03,MSC07,0.59
motor,mem,MSC03,MSC07,0.43500000000000005
mem,mixed,MSC03,MSC07,0.5
mem,motor,MSC03,MSC07,0.5
mixed,motor,MSC03,MSC10,0.4700000000000001
mixed,mem,MSC03,MSC10,0.5599999999999999
motor,mixed,MSC03,MSC10,0.5549999999999999
motor,mem,MSC03,MSC10,0.5
mem,mixed,MSC03,MSC10,0.5
mem,motor,MSC03,MSC10,0.5
mixed,motor,MSC04,MSC01,0.43499999999999994
mixed,mem,MSC04,MSC01,0.5199999999999999
motor,mixed,MSC04,MSC01,0.53
motor,mem,MSC04,MSC01,0.4600000000000001
mem,mixed,MSC04,MSC01,0.48
mem,motor,MSC04,MSC01,0.45500000000000007
mixed,motor,MSC04,MSC02,0.575
mixed,mem,MSC04,MSC02,0.45500000000000007
motor,mixed,MSC04,MSC02,0.5599999999999999
motor,mem,MSC04,MSC02,0.445
mem,mixed,MSC04,MSC02,0.605
mem,motor,MSC04,MSC02,0.5399999999999999
mixed,motor,MSC04,MSC03,0.8149999999999998
mixed,mem,MSC04,MSC03,0.5249999999999999
motor,mixed,MSC04,MSC03,0.615
motor,mem,MSC04,MSC03,0.52
mem,mixed,MSC04,MSC03,0.45
mem,motor,MSC04,MSC03,0.5349999999999999
mixed,motor,MSC04,MSC05,0.7200000000000001
mixed,mem,MSC04,MSC05,0.365
motor,mixed,MSC04,MSC05,0.4800000000000001
motor,mem,MSC04,MSC05,0.585
mem,mixed,MSC04,MSC05,0.5549999999999999
mem,motor,MSC04,MSC05,0.43500000000000005
mixed,motor,MSC04,MSC06,0.5650000000000001
mixed,mem,MSC04,MSC06,0.5800000000000001
motor,mixed,MSC04,MSC06,0.53
motor,mem,MSC04,MSC06,0.565
mem,mixed,MSC04,MSC06,0.48
mem,motor,MSC04,MSC06,0.465
mixed,motor,MSC04,MSC07,0.195
mixed,mem,MSC04,MSC07,0.595
motor,mixed,MSC04,MSC07,0.495
motor,mem,MSC04,MSC07,0.41500000000000004
mem,mixed,MSC04,MSC07,0.54
mem,motor,MSC04,MSC07,0.5349999999999999
mixed,motor,MSC04,MSC10,0.6
mixed,mem,MSC04,MSC10,0.46000000000000013
motor,mixed,MSC04,MSC10,0.6149999999999999
motor,mem,MSC04,MSC10,0.5449999999999999
mem,mixed,MSC04,MSC10,0.48
mem,motor,MSC04,MSC10,0.6900000000000002
mixed,motor,MSC05,MSC01,0.6850000000000002
mixed,mem,MSC05,MSC01,0.395
motor,mixed,MSC05,MSC01,0.5349999999999999
motor,mem,MSC05,MSC01,0.48500000000000004
mem,mixed,MSC05,MSC01,0.57
mem,motor,MSC05,MSC01,0.48500000000000004
mixed,motor,MSC05,MSC02,0.47000000000000003
mixed,mem,MSC05,MSC02,0.495
motor,mixed,MSC05,MSC02,0.575
motor,mem,MSC05,MSC02,0.5
mem,mixed,MSC05,MSC02,0.525
mem,motor,MSC05,MSC02,0.6599999999999999
mixed,motor,MSC05,MSC03,0.6
mixed,mem,MSC05,MSC03,0.4
motor,mixed,MSC05,MSC03,0.48500000000000004
motor,mem,MSC05,MSC03,0.51
mem,mixed,MSC05,MSC03,0.595
mem,motor,MSC05,MSC03,0.49000000000000005
mixed,motor,MSC05,MSC04,0.475
mixed,mem,MSC05,MSC04,0.5900000000000001
motor,mixed,MSC05,MSC04,0.5499999999999999
motor,mem,MSC05,MSC04,0.525
mem,mixed,MSC05,MSC04,0.585
mem,motor,MSC05,MSC04,0.46499999999999997
mixed,motor,MSC05,MSC06,0.5
mixed,mem,MSC05,MSC06,0.5599999999999999
motor,mixed,MSC05,MSC06,0.5249999999999999
motor,mem,MSC05,MSC06,0.505
mem,mixed,MSC05,MSC06,0.43499999999999994
mem,motor,MSC05,MSC06,0.5549999999999999
