train_sub,test_sub,task,acc
MSC01,MSC02,mixed,0.5700000000000001
MSC01,MSC02,motor,0.41000000000000003
MSC01,MSC02,mem,0.19999999999999998
MSC01,MSC03,mixed,0.37500000000000006
MSC01,MSC03,motor,0.4600000000000001
MSC01,MSC03,mem,0.53
MSC01,MSC04,mixed,0.42000000000000004
MSC01,MSC04,motor,0.40499999999999997
MSC01,MSC04,mem,0.41000000000000003
MSC01,MSC05,mixed,0.55
MSC01,MSC05,motor,0.57
MSC01,MSC05,mem,0.42000000000000004
MSC01,MSC06,mixed,0.545
MSC01,MSC06,motor,0.45500000000000007
MSC01,MSC06,mem,0.495
MSC01,MSC07,mixed,0.53
MSC01,MSC07,motor,0.545
MSC01,MSC07,mem,0.5499999999999999
MSC01,MSC10,mixed,0.505
MSC01,MSC10,motor,0.5650000000000001
MSC01,MSC10,mem,0.45500000000000007
MSC02,MSC01,mixed,0.6300000000000001
MSC02,MSC01,motor,0.45
MSC02,MSC01,mem,0.345
MSC02,MSC03,mixed,0.4750000000000001
MSC02,MSC03,motor,0.48
MSC02,MSC03,mem,0.65
MSC02,MSC04,mixed,0.58
MSC02,MSC04,motor,0.575
MSC02,MSC04,mem,0.5850000000000001
MSC02,MSC05,mixed,0.35500000000000004
MSC02,MSC05,motor,0.6199999999999999
MSC02,MSC05,mem,0.45500000000000007
MSC02,MSC06,mixed,0.655
MSC02,MSC06,motor,0.4450000000000001
MSC02,MSC06,mem,0.54
MSC02,MSC07,mixed,0.49000000000000005
MSC02,MSC07,motor,0.515
MSC02,MSC07,mem,0.655
MSC02,MSC10,mixed,0.375
MSC02,MSC10,motor,0.5399999999999999
MSC02,MSC10,mem,0.43
MSC03,MSC01,mixed,0.43500000000000005
MSC03,MSC01,motor,0.68
MSC03,MSC01,mem,0.45499999999999996
MSC03,MSC02,mixed,0.535
MSC03,MSC02,motor,0.395
MSC03,MSC02,mem,0.45000000000000007
MSC03,MSC04,mixed,0.54
MSC03,MSC04,motor,0.34
MSC03,MSC04,mem,0.47000000000000003
MSC03,MSC05,mixed,0.41000000000000003
MSC03,MSC05,motor,0.465
MSC03,MSC05,mem,0.485
MSC03,MSC06,mixed,0.575
MSC03,MSC06,motor,0.41500000000000004
MSC03,MSC06,mem,0.5700000000000001
MSC03,MSC07,mixed,0.605
MSC03,MSC07,motor,0.48
MSC03,MSC07,mem,0.6599999999999999
MSC03,MSC10,mixed,0.47000000000000003
MSC03,MSC10,motor,0.61
MSC03,MSC10,mem,0.48
MSC04,MSC01,mixed,0.7150000000000001
MSC04,MSC01,motor,0.49000000000000005
MSC04,MSC01,mem,0.685
MSC04,MSC02,mixed,0.5599999999999999
