train_task,test_task,sub,acc
mixed,motor,MSC01,0.635
mixed,mem,MSC01,0.42000000000000004
motor,mixed,MSC01,0.5
motor,mem,MSC01,0.5
mem,mixed,MSC01,0.3950000000000001
mem,motor,MSC01,0.5349999999999999
mixed,motor,MSC02,0.51
mixed,mem,MSC02,0.5449999999999999
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.45
mem,motor,MSC02,0.4499999999999999
mixed,motor,MSC03,0.5900000000000001
mixed,mem,MSC03,0.465
motor,mixed,MSC03,0.5
motor,mem,MSC03,0.5349999999999999
mem,mixed,MSC03,0.5
mem,motor,MSC03,0.5
mixed,motor,MSC04,0.36500000000000005
mixed,mem,MSC04,0.65
motor,mixed,MSC04,0.45499999999999996
motor,mem,MSC04,0.5
mem,mixed,MSC04,0.5650000000000001
mem,motor,MSC04,0.485
mixed,motor,MSC05,0.62
mixed,mem,MSC05,0.52
motor,mixed,MSC05,0.5
motor,mem,MSC05,0.505
mem,mixed,MSC05,0.45499999999999996
mem,motor,MSC05,0.34500000000000003
mixed,motor,MSC06,0.5
mixed,mem,MSC06,0.375
motor,mixed,MSC06,0.505
motor,mem,MSC06,0.505
mem,mixed,MSC06,0.51
mem,motor,MSC06,0.35500000000000004
mixed,motor,MSC07,0.54
mixed,mem,MSC07,0.665
motor,mixed,MSC07,0.5
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.46499999999999997
mem,motor,MSC07,0.43499999999999994
mixed,motor,MSC10,0.54
mixed,mem,MSC10,0.6950000000000001
motor,mixed,MSC10,0.575
motor,mem,MSC10,0.4
mem,mixed,MSC10,0.4900000000000001
mem,motor,MSC10,0.37
