train_task,test_task,acc
mixed,motor,1.0
mixed,mem,0.6950000000000001
motor,mixed,1.0
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.7949999999999999
motor,mem,0.8449999999999998
mem,mixed,0.9649999999999999
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.5
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,0.99
motor,mixed,1.0
motor,mem,1.0
mem,mixed,1.0
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5499999999999999
mem,motor,1.0
mixed,motor,1.0
mixed,mem,1.0
motor,mixed,0.8049999999999999
motor,mem,0.78
mem,mixed,0.9000000000000001
mem,motor,1.0
