train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.48
mixed,mem,MSC01,MSC02,0.505
motor,mixed,MSC01,MSC02,0.48
motor,mem,MSC01,MSC02,0.4750000000000001
mem,mixed,MSC01,MSC02,0.5549999999999999
mem,motor,MSC01,MSC02,0.575
mixed,motor,MSC01,MSC03,0.5800000000000001
mixed,mem,MSC01,MSC03,0.43000000000000005
motor,mixed,MSC01,MSC03,0.5
motor,mem,MSC01,MSC03,0.425
mem,mixed,MSC01,MSC03,0.52
mem,motor,MSC01,MSC03,0.68
mixed,motor,MSC01,MSC04,0.41000000000000003
mixed,mem,MSC01,MSC04,0.6500000000000001
motor,mixed,MSC01,MSC04,0.48999999999999994
motor,mem,MSC01,MSC04,0.5449999999999999
mem,mixed,MSC01,MSC04,0.47000000000000003
mem,motor,MSC01,MSC04,0.4050000000000001
mixed,motor,MSC01,MSC05,0.45500000000000007
mixed,mem,MSC01,MSC05,0.345
motor,mixed,MSC01,MSC05,0.545
motor,mem,MSC01,MSC05,0.315
mem,mixed,MSC01,MSC05,0.515
mem,motor,MSC01,MSC05,0.545
mixed,motor,MSC01,MSC06,0.545
mixed,mem,MSC01,MSC06,0.46499999999999997
motor,mixed,MSC01,MSC06,0.525
motor,mem,MSC01,MSC06,0.65
mem,mixed,MSC01,MSC06,0.535
mem,motor,MSC01,MSC06,0.43499999999999994
mixed,motor,MSC01,MSC07,0.36
mixed,mem,MSC01,MSC07,0.48500000000000004
motor,mixed,MSC01,MSC07,0.515
motor,mem,MSC01,MSC07,0.5549999999999999
mem,mixed,MSC01,MSC07,0.655
mem,motor,MSC01,MSC07,0.4149999999999999
mixed,motor,MSC01,MSC10,0.605
mixed,mem,MSC01,MSC10,0.4800000000000001
motor,mixed,MSC01,MSC10,0.5050000000000001
motor,mem,MSC01,MSC10,0.41000000000000003
mem,mixed,MSC01,MSC10,0.43499999999999994
mem,motor,MSC01,MSC10,0.495
mixed,motor,MSC02,MSC01,0.37499999999999994
mixed,mem,MSC02,MSC01,0.5699999999999998
motor,mixed,MSC02,MSC01,0.36
motor,mem,MSC02,MSC01,0.5399999999999999
mem,mixed,MSC02,MSC01,0.6399999999999999
mem,motor,MSC02,MSC01,0.4450000000000001
mixed,motor,MSC02,MSC03,0.53
mixed,mem,MSC02,MSC03,0.565
motor,mixed,MSC02,MSC03,0.465
motor,mem,MSC02,MSC03,0.48
mem,mixed,MSC02,MSC03,0.4700000000000001
mem,motor,MSC02,MSC03,0.45500000000000007
mixed,motor,MSC02,MSC04,0.545
mixed,mem,MSC02,MSC04,0.5349999999999999
motor,mixed,MSC02,MSC04,0.5799999999999998
motor,mem,MSC02,MSC04,0.5900000000000001
mem,mixed,MSC02,MSC04,0.58
mem,motor,MSC02,MSC04,0.6499999999999999
mixed,motor,MSC02,MSC05,0.58
mixed,mem,MSC02,MSC05,0.5399999999999999
motor,mixed,MSC02,MSC05,0.6
motor,mem,MSC02,MSC05,0.38500000000000006
mem,mixed,MSC02,MSC05,0.4950000000000001
mem,motor,MSC02,MSC05,0.6500000000000001
mixed,motor,MSC02,MSC06,0.315
mixed,mem,MSC02,MSC06,0.41500000000000004
motor,mixed,MSC02,MSC06,0.485
motor,mem,MSC02,MSC06,0.425
mem,mixed,MSC02,MSC06,0.5
mem,motor,MSC02,MSC06,0.4
mixed,motor,MSC02,MSC07,0.33999999999999997
mixed,mem,MSC02,MSC07,0.355
motor,mixed,MSC02,MSC07,0.45
motor,mem,MSC02,MSC07,0.525
mem,mixed,MSC02,MSC07,0.4250000000000001
mem,motor,MSC02,MSC07,0.385
mixed,motor,MSC02,MSC10,0.33999999999999997
mixed,mem,MSC02,MSC10,0.5800000000000001
motor,mixed,MSC02,MSC10,0.5
motor,mem,MSC02,MSC10,0.5
mem,mixed,MSC02,MSC10,0.515
mem,motor,MSC02,MSC10,0.41000000000000003
mixed,motor,MSC03,MSC01,0.6050000000000001
mixed,mem,MSC03,MSC01,0.38
motor,mixed,MSC03,MSC01,0.565
motor,mem,MSC03,MSC01,0.615
mem,mixed,MSC03,MSC01,0.49000000000000005
mem,motor,MSC03,MSC01,0.30999999999999994
mixed,motor,MSC03,MSC02,0.625
mixed,mem,MSC03,MSC02,0.5599999999999999
motor,mixed,MSC03,MSC02,0.645
motor,mem,MSC03,MSC02,0.655
mem,mixed,MSC03,MSC02,0.45
mem,motor,MSC03,MSC02,0.595
mixed,motor,MSC03,MSC04,0.37
mixed,mem,MSC03,MSC04,0.365
motor,mixed,MSC03,MSC04,0.5700000000000001
motor,mem,MSC03,MSC04,0.48
mem,mixed,MSC03,MSC04,0.585
mem,motor,MSC03,MSC04,0.495
mixed,motor,MSC03,MSC05,0.38
mixed,mem,MSC03,MSC05,0.48
motor,mixed,MSC03,MSC05,0.4600000000000001
motor,mem,MSC03,MSC05,0.585
mem,mixed,MSC03,MSC05,0.49000000000000005
mem,motor,MSC03,MSC05,0.58
mixed,motor,MSC03,MSC06,0.305
mixed,mem,MSC03,MSC06,0.5349999999999999
motor,mixed,MSC03,MSC06,0.47000000000000003
motor,mem,MSC03,MSC06,0.5050000000000001
mem,mixed,MSC03,MSC06,0.47000000000000003
mem,motor,MSC03,MSC06,0.44000000000000006
mixed,motor,MSC03,MSC07,0.5250000000000001
mixed,mem,MSC03,MSC07,0.5949999999999999
motor,mixed,MSC03,MSC07,0.39499999999999996
motor,mem,MSC03,MSC07,0.655
mem,mixed,MSC03,MSC07,0.52
mem,motor,MSC03,MSC07,0.5250000000000001
mixed,motor,MSC03,MSC10,0.4
mixed,mem,MSC03,MSC10,0.515
motor,mixed,MSC03,MSC10,0.555
motor,mem,MSC03,MSC10,0.43
mem,mixed,MSC03,MSC10,0.41000000000000003
mem,motor,MSC03,MSC10,0.5599999999999998
mixed,motor,MSC04,MSC01,0.565
mixed,mem,MSC04,MSC01,0.36500000000000005
motor,mixed,MSC04,MSC01,0.6500000000000001
motor,mem,MSC04,MSC01,0.445
mem,mixed,MSC04,MSC01,0.52
mem,motor,MSC04,MSC01,0.5050000000000001
mixed,motor,MSC04,MSC02,0.49000000000000005
mixed,mem,MSC04,MSC02,0.52
motor,mixed,MSC04,MSC02,0.5349999999999999
motor,mem,MSC04,MSC02,0.4
mem,mixed,MSC04,MSC02,0.39
mem,motor,MSC04,MSC02,0.475
mixed,motor,MSC04,MSC03,0.4050000000000001
mixed,mem,MSC04,MSC03,0.445
motor,mixed,MSC04,MSC03,0.44499999999999995
motor,mem,MSC04,MSC03,0.375
mem,mixed,MSC04,MSC03,0.45000000000000007
mem,motor,MSC04,MSC03,0.505
mixed,motor,MSC04,MSC05,0.5
mixed,mem,MSC04,MSC05,0.465
motor,mixed,MSC04,MSC05,0.5850000000000001
motor,mem,MSC04,MSC05,0.52
mem,mixed,MSC04,MSC05,0.5549999999999999
mem,motor,MSC04,MSC05,0.5000000000000001
mixed,motor,MSC04,MSC06,0.6450000000000001
mixed,mem,MSC04,MSC06,0.52
motor,mixed,MSC04,MSC06,0.605
motor,mem,MSC04,MSC06,0.43499999999999994
mem,mixed,MSC04,MSC06,0.505
mem,motor,MSC04,MSC06,0.585
mixed,motor,MSC04,MSC07,0.39
mixed,mem,MSC04,MSC07,0.5700000000000001
motor,mixed,MSC04,MSC07,0.5700000000000001
motor,mem,MSC04,MSC07,0.475
mem,mixed,MSC04,MSC07,0.45
mem,motor,MSC04,MSC07,0.44499999999999995
mixed,motor,MSC04,MSC10,0.7150000000000001
mixed,mem,MSC04,MSC10,0.5249999999999999
motor,mixed,MSC04,MSC10,0.32999999999999996
