train_sub,test_sub,task,acc
MSC01,MSC02,mixed,0.515
MSC01,MSC02,motor,0.6449999999999999
MSC01,MSC02,mem,0.48
MSC01,MSC03,mixed,0.425
MSC01,MSC03,motor,0.6050000000000001
MSC01,MSC03,mem,0.445
MSC01,MSC04,mixed,0.52
MSC01,MSC04,motor,0.51
MSC01,MSC04,mem,0.6900000000000002
MSC01,MSC05,mixed,0.51
MSC01,MSC05,motor,0.5449999999999999
MSC01,MSC05,mem,0.7150000000000001
MSC01,MSC06,mixed,0.44000000000000006
MSC01,MSC06,motor,0.5399999999999999
MSC01,MSC06,mem,0.6100000000000001
MSC01,MSC07,mixed,0.6349999999999999
MSC01,MSC07,motor,0.48
MSC01,MSC07,mem,0.465
MSC01,MSC10,mixed,0.585
MSC01,MSC10,motor,0.4600000000000001
MSC01,MSC10,mem,0.55
MSC02,MSC01,mixed,0.525
MSC02,MSC01,motor,0.53
MSC02,MSC01,mem,0.525
MSC02,MSC03,mixed,0.505
MSC02,MSC03,motor,0.5299999999999999
MSC02,MSC03,mem,0.445
MSC02,MSC04,mixed,0.575
MSC02,MSC04,motor,0.5
MSC02,MSC04,mem,0.6500000000000001
MSC02,MSC05,mixed,0.5
MSC02,MSC05,motor,0.58
MSC02,MSC05,mem,0.445
MSC02,MSC06,mixed,0.44000000000000006
MSC02,MSC06,motor,0.51
MSC02,MSC06,mem,0.43499999999999994
MSC02,MSC07,mixed,0.5850000000000001
MSC02,MSC07,motor,0.5
MSC02,MSC07,mem,0.57
MSC02,MSC10,mixed,0.4600000000000001
MSC02,MSC10,motor,0.5
MSC02,MSC10,mem,0.485
MSC03,MSC01,mixed,0.53
MSC03,MSC01,motor,0.5999999999999999
MSC03,MSC01,mem,0.5
MSC03,MSC02,mixed,0.565
MSC03,MSC02,motor,0.45500000000000007
MSC03,MSC02,mem,0.5
MSC03,MSC04,mixed,0.5349999999999999
MSC03,MSC04,motor,0.59
MSC03,MSC04,mem,0.5
MSC03,MSC05,mixed,0.5149999999999999
MSC03,MSC05,motor,0.5
MSC03,MSC05,mem,0.5
MSC03,MSC06,mixed,0.5449999999999999
MSC03,MSC06,motor,0.51
MSC03,MSC06,mem,0.5
MSC03,MSC07,mixed,0.475
MSC03,MSC07,motor,0.5449999999999999
MSC03,MSC07,mem,0.5
MSC03,MSC10,mixed,0.43000000000000005
MSC03,MSC10,motor,0.4700000000000001
MSC03,MSC10,mem,0.5
MSC04,MSC01,mixed,0.59
MSC04,MSC01,motor,0.5199999999999999
MSC04,MSC01,mem,0.49000000000000005
MSC04,MSC02,mixed,0.5499999999999999
MSC04,MSC02,motor,0.53
MSC04,MSC02,mem,0.505
MSC04,MSC03,mixed,0.39
MSC04,MSC03,motor,0.48500000000000004
MSC04,MSC03,mem,0.565
MSC04,MSC05,mixed,0.6900000000000001
MSC04,MSC05,motor,0.52
MSC04,MSC05,mem,0.41000000000000003
MSC04,MSC06,mixed,0.45000000000000007
MSC04,MSC06,motor,0.65
MSC04,MSC06,mem,0.49000000000000005
MSC04,MSC07,mixed,0.515
MSC04,MSC07,motor,0.33
MSC04,MSC07,mem,0.5549999999999999
MSC04,MSC10,mixed,0.5
MSC04,MSC10,motor,0.545
MSC04,MSC10,mem,0.365
MSC05,MSC01,mixed,0.49000000000000005
MSC05,MSC01,motor,0.5199999999999999
MSC05,MSC01,mem,0.66
MSC05,MSC02,mixed,0.525
MSC05,MSC02,motor,0.505
MSC05,MSC02,mem,0.4950000000000001
MSC05,MSC03,mixed,0.6249999999999998
MSC05,MSC03,motor,0.5
MSC05,MSC03,mem,0.535
MSC05,MSC04,mixed,0.5849999999999999
MSC05,MSC04,motor,0.5
MSC05,MSC04,mem,0.665
MSC05,MSC06,mixed,0.505
MSC05,MSC06,motor,0.59
MSC05,MSC06,mem,0.4200000000000001
MSC05,MSC07,mixed,0.37
MSC05,MSC07,motor,0.495
MSC05,MSC07,mem,0.30000000000000004
MSC05,MSC10,mixed,0.495
MSC05,MSC10,motor,0.5
MSC05,MSC10,mem,0.52
MSC06,MSC01,mixed,0.5349999999999999
MSC06,MSC01,motor,0.505
MSC06,MSC01,mem,0.39000000000000007
MSC06,MSC02,mixed,0.52
MSC06,MSC02,motor,0.505
MSC06,MSC02,mem,0.5999999999999999
MSC06,MSC03,mixed,0.5000000000000001
MSC06,MSC03,motor,0.5
MSC06,MSC03,mem,0.65
MSC06,MSC04,mixed,0.445
MSC06,MSC04,motor,0.515
MSC06,MSC04,mem,0.605
MSC06,MSC05,mixed,0.39
MSC06,MSC05,motor,0.495
