train_task,test_task,sub,acc
mixed,motor,MSC01,0.43499999999999994
mixed,mem,MSC01,0.44499999999999995
motor,mixed,MSC01,0.5
motor,mem,MSC01,0.5
mem,mixed,MSC01,0.47000000000000003
mem,motor,MSC01,0.615
mixed,motor,MSC02,0.53
mixed,mem,MSC02,0.495
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.41
mem,motor,MSC02,0.505
mixed,motor,MSC03,0.5199999999999999
mixed,mem,MSC03,0.5449999999999999
motor,mixed,MSC03,0.5
motor,mem,MSC03,0.5
mem,mixed,MSC03,0.5
mem,motor,MSC03,0.5
mixed,motor,MSC04,0.73
mixed,mem,MSC04,0.65
motor,mixed,MSC04,0.5599999999999999
motor,mem,MSC04,0.5
mem,mixed,MSC04,0.71
mem,motor,MSC04,0.525
mixed,motor,MSC05,0.655
mixed,mem,MSC05,0.58
motor,mixed,MSC05,0.5
motor,mem,MSC05,0.5
mem,mixed,MSC05,0.5049999999999999
mem,motor,MSC05,0.44000000000000006
mixed,motor,MSC06,0.6000000000000001
mixed,mem,MSC06,0.425
motor,mixed,MSC06,0.5
motor,mem,MSC06,0.5
mem,mixed,MSC06,0.36
mem,motor,MSC06,0.40499999999999997
mixed,motor,MSC07,0.5
mixed,mem,MSC07,0.5650000000000001
motor,mixed,MSC07,0.5
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.525
mem,motor,MSC07,0.48
mixed,motor,MSC10,0.38999999999999996
mixed,mem,MSC10,0.4999999999999999
motor,mixed,MSC10,0.5449999999999999
motor,mem,MSC10,0.5
mem,mixed,MSC10,0.5850000000000001
mem,motor,MSC10,0.595
