train_task,test_task,train_sub,test_sub,acc
mixed,motor,MSC01,MSC02,0.525
mixed,mem,MSC01,MSC02,0.865
motor,mixed,MSC01,MSC02,0.7100000000000001
motor,mem,MSC01,MSC02,0.71
mem,mixed,MSC01,MSC02,0.8
mem,motor,MSC01,MSC02,0.5999999999999999
mixed,motor,MSC01,MSC03,0.6900000000000001
mixed,mem,MSC01,MSC03,0.7849999999999999
motor,mixed,MSC01,MSC03,0.575
motor,mem,MSC01,MSC03,0.8
mem,mixed,MSC01,MSC03,0.655
mem,motor,MSC01,MSC03,0.795
mixed,motor,MSC01,MSC04,0.6900000000000002
mixed,mem,MSC01,MSC04,0.7050000000000001
motor,mixed,MSC01,MSC04,0.7799999999999999
motor,mem,MSC01,MSC04,0.7649999999999999
mem,mixed,MSC01,MSC04,0.7899999999999999
mem,motor,MSC01,MSC04,0.7700000000000001
mixed,motor,MSC01,MSC05,0.68
mixed,mem,MSC01,MSC05,0.6049999999999999
motor,mixed,MSC01,MSC05,0.7749999999999999
motor,mem,MSC01,MSC05,0.6700000000000002
mem,mixed,MSC01,MSC05,0.67
mem,motor,MSC01,MSC05,0.8049999999999999
mixed,motor,MSC01,MSC06,0.8800000000000001
mixed,mem,MSC01,MSC06,0.835
motor,mixed,MSC01,MSC06,0.615
motor,mem,MSC01,MSC06,0.6450000000000001
mem,mixed,MSC01,MSC06,0.5499999999999999
mem,motor,MSC01,MSC06,0.77
mixed,motor,MSC01,MSC07,0.58
mixed,mem,MSC01,MSC07,0.595
motor,mixed,MSC01,MSC07,0.8600000000000001
motor,mem,MSC01,MSC07,0.7549999999999999
mem,mixed,MSC01,MSC07,0.9049999999999999
mem,motor,MSC01,MSC07,0.795
mixed,motor,MSC01,MSC10,0.7300000000000001
mixed,mem,MSC01,MSC10,0.6950000000000001
motor,mixed,MSC01,MSC10,0.64
motor,mem,MSC01,MSC10,0.82
mem,mixed,MSC01,MSC10,0.7100000000000001
mem,motor,MSC01,MSC10,0.6450000000000001
mixed,motor,MSC02,MSC01,0.67
mixed,mem,MSC02,MSC01,0.64
motor,mixed,MSC02,MSC01,0.5
motor,mem,MSC02,MSC01,0.5
mem,mixed,MSC02,MSC01,0.545
mem,motor,MSC02,MSC01,0.625
mixed,motor,MSC02,MSC03,0.8300000000000001
mixed,mem,MSC02,MSC03,0.635
motor,mixed,MSC02,MSC03,0.5949999999999999
motor,mem,MSC02,MSC03,0.5499999999999999
mem,mixed,MSC02,MSC03,0.835
mem,motor,MSC02,MSC03,0.875
mixed,motor,MSC02,MSC04,0.76
mixed,mem,MSC02,MSC04,0.74
motor,mixed,MSC02,MSC04,0.5
motor,mem,MSC02,MSC04,0.5
mem,mixed,MSC02,MSC04,0.71
mem,motor,MSC02,MSC04,0.715
mixed,motor,MSC02,MSC05,0.755
mixed,mem,MSC02,MSC05,0.755
motor,mixed,MSC02,MSC05,0.5149999999999999
motor,mem,MSC02,MSC05,0.5
mem,mixed,MSC02,MSC05,0.9100000000000001
mem,motor,MSC02,MSC05,0.8549999999999999
mixed,motor,MSC02,MSC06,0.725
mixed,mem,MSC02,MSC06,0.765
motor,mixed,MSC02,MSC06,0.6199999999999999
motor,mem,MSC02,MSC06,0.5449999999999999
mem,mixed,MSC02,MSC06,1.0
mem,motor,MSC02,MSC06,0.9100000000000001
mixed,motor,MSC02,MSC07,0.5849999999999999
mixed,mem,MSC02,MSC07,0.615
motor,mixed,MSC02,MSC07,0.5
motor,mem,MSC02,MSC07,0.5
mem,mixed,MSC02,MSC07,0.6599999999999999
mem,motor,MSC02,MSC07,0.595
mixed,motor,MSC02,MSC10,0.595
mixed,mem,MSC02,MSC10,0.59
motor,mixed,MSC02,MSC10,0.5
motor,mem,MSC02,MSC10,0.5399999999999999
mem,mixed,MSC02,MSC10,0.82
mem,motor,MSC02,MSC10,0.7100000000000001
mixed,motor,MSC03,MSC01,0.6049999999999999
