train_sub,test_sub,task,acc
MSC01,MSC02,mixed,0.76
MSC01,MSC02,motor,0.725
MSC01,MSC02,mem,0.9049999999999999
MSC01,MSC03,mixed,0.565
MSC01,MSC03,motor,0.925
MSC01,MSC03,mem,0.8549999999999999
MSC01,MSC04,mixed,0.8400000000000001
MSC01,MSC04,motor,0.915
MSC01,MSC04,mem,0.8699999999999999
MSC01,MSC05,mixed,0.63
MSC01,MSC05,motor,0.8850000000000001
MSC01,MSC05,mem,1.0
MSC01,MSC06,mixed,0.8150000000000002
MSC01,MSC06,motor,0.7150000000000001
MSC01,MSC06,mem,0.9000000000000001
MSC01,MSC07,mixed,0.525
MSC01,MSC07,motor,0.9549999999999998
MSC01,MSC07,mem,0.575
MSC01,MSC10,mixed,0.65
MSC01,MSC10,motor,0.915
MSC01,MSC10,mem,0.8900000000000002
MSC02,MSC01,mixed,0.6900000000000002
MSC02,MSC01,motor,0.5449999999999999
MSC02,MSC01,mem,0.97
MSC02,MSC03,mixed,0.8949999999999999
MSC02,MSC03,motor,0.7699999999999999
MSC02,MSC03,mem,0.74
MSC02,MSC04,mixed,0.63
MSC02,MSC04,motor,0.635
MSC02,MSC04,mem,0.9949999999999999
MSC02,MSC05,mixed,0.8149999999999998
MSC02,MSC05,motor,0.62
MSC02,MSC05,mem,0.915
MSC02,MSC06,mixed,0.8400000000000001
MSC02,MSC06,motor,0.5999999999999999
MSC02,MSC06,mem,0.9349999999999999
MSC02,MSC07,mixed,0.7849999999999999
MSC02,MSC07,motor,0.6100000000000001
MSC02,MSC07,mem,0.9
MSC02,MSC10,mixed,0.675
MSC02,MSC10,motor,0.6000000000000001
MSC02,MSC10,mem,0.86
MSC03,MSC01,mixed,0.5149999999999999
MSC03,MSC01,motor,0.6199999999999999
MSC03,MSC01,mem,0.7899999999999999
MSC03,MSC02,mixed,0.725
MSC03,MSC02,motor,0.975
MSC03,MSC02,mem,0.6249999999999999
MSC03,MSC04,mixed,0.66
MSC03,MSC04,motor,0.8499999999999999
MSC03,MSC04,mem,0.86
MSC03,MSC05,mixed,0.8550000000000001
MSC03,MSC05,motor,0.9650000000000001
MSC03,MSC05,mem,0.9549999999999998
MSC03,MSC06,mixed,0.52
MSC03,MSC06,motor,0.7749999999999999
MSC03,MSC06,mem,0.9949999999999999
MSC03,MSC07,mixed,0.5399999999999999
MSC03,MSC07,motor,0.635
MSC03,MSC07,mem,0.9249999999999998
MSC03,MSC10,mixed,0.51
MSC03,MSC10,motor,0.75
MSC03,MSC10,mem,0.9
MSC04,MSC01,mixed,0.585
MSC04,MSC01,motor,0.9949999999999999
MSC04,MSC01,mem,0.68
MSC04,MSC02,mixed,0.9299999999999999
MSC04,MSC02,motor,0.975
MSC04,MSC02,mem,0.8550000000000001
MSC04,MSC03,mixed,0.55
