,train_sub,test_sub,task,acc,Features
0,MSC01,MSC02,mixed,0.475,10
1,MSC01,MSC02,motor,0.5,10
2,MSC01,MSC02,mem,0.5499999999999999,10
3,MSC01,MSC03,mixed,0.4550000000000001,10
4,MSC01,MSC03,motor,0.5,10
5,MSC01,MSC03,mem,0.5549999999999999,10
6,MSC01,MSC04,mixed,0.53,10
7,MSC01,MSC04,motor,0.5,10
8,MSC01,MSC04,mem,0.5900000000000001,10
9,MSC01,MSC05,mixed,0.52,10
10,MSC01,MSC05,motor,0.51,10
11,MSC01,MSC05,mem,0.5349999999999999,10
12,MSC01,MSC06,mixed,0.5,10
13,MSC01,MSC06,motor,0.575,10
14,MSC01,MSC06,mem,0.8700000000000001,10
15,MSC01,MSC07,mixed,0.5449999999999999,10
16,MSC01,MSC07,motor,0.5149999999999999,10
17,MSC01,MSC07,mem,0.72,10
18,MSC01,MSC10,mixed,0.6300000000000001,10
19,MSC01,MSC10,motor,0.59,10
20,MSC01,MSC10,mem,0.54,10
21,MSC02,MSC01,mixed,0.5,10
22,MSC02,MSC01,motor,0.615,10
23,MSC02,MSC01,mem,0.54,10
24,MSC02,MSC03,mixed,0.61,10
25,MSC02,MSC03,motor,0.5249999999999999,10
26,MSC02,MSC03,mem,0.52,10
27,MSC02,MSC04,mixed,0.5050000000000001,10
28,MSC02,MSC04,motor,0.505,10
29,MSC02,MSC04,mem,0.595,10
30,MSC02,MSC05,mixed,0.635,10
31,MSC02,MSC05,motor,0.6400000000000001,10
32,MSC02,MSC05,mem,0.82,10
33,MSC02,MSC06,mixed,0.5149999999999999,10
34,MSC02,MSC06,motor,0.36,10
35,MSC02,MSC06,mem,0.525,10
36,MSC02,MSC07,mixed,0.4500000000000001,10
37,MSC02,MSC07,motor,0.6299999999999999,10
38,MSC02,MSC07,mem,0.38,10
39,MSC02,MSC10,mixed,0.455,10
40,MSC02,MSC10,motor,0.665,10
41,MSC02,MSC10,mem,0.52,10
42,MSC03,MSC01,mixed,0.4500000000000001,10
43,MSC03,MSC01,motor,0.51,10
44,MSC03,MSC01,mem,0.6499999999999999,10
45,MSC03,MSC02,mixed,0.6900000000000002,10
46,MSC03,MSC02,motor,0.5449999999999999,10
47,MSC03,MSC02,mem,0.66,10
48,MSC03,MSC04,mixed,0.41,10
49,MSC03,MSC04,motor,0.5299999999999999,10
50,MSC03,MSC04,mem,0.6549999999999999,10
51,MSC03,MSC05,mixed,0.53,10
52,MSC03,MSC05,motor,0.485,10
53,MSC03,MSC05,mem,0.7699999999999999,10
54,MSC03,MSC06,mixed,0.5549999999999999,10
55,MSC03,MSC06,motor,0.5850000000000001,10
56,MSC03,MSC06,mem,0.595,10
57,MSC03,MSC07,mixed,0.36,10
58,MSC03,MSC07,motor,0.635,10
59,MSC03,MSC07,mem,0.6449999999999999,10
60,MSC03,MSC10,mixed,0.5,10
61,MSC03,MSC10,motor,0.595,10
62,MSC03,MSC10,mem,0.42,10
63,MSC04,MSC01,mixed,0.495,10
64,MSC04,MSC01,motor,0.4149999999999999,10
65,MSC04,MSC01,mem,0.565,10
66,MSC04,MSC02,mixed,0.605,10
67,MSC04,MSC02,motor,0.42,10
68,MSC04,MSC02,mem,0.6950000000000001,10
69,MSC04,MSC03,mixed,0.475,10
70,MSC04,MSC03,motor,0.465,10
71,MSC04,MSC03,mem,0.7300000000000001,10
72,MSC04,MSC05,mixed,0.53,10
73,MSC04,MSC05,motor,0.4450000000000001,10
74,MSC04,MSC05,mem,0.7350000000000001,10
75,MSC04,MSC06,mixed,0.51,10
76,MSC04,MSC06,motor,0.385,10
77,MSC04,MSC06,mem,0.58,10
78,MSC04,MSC07,mixed,0.5849999999999999,10
79,MSC04,MSC07,motor,0.45,10
80,MSC04,MSC07,mem,0.635,10
81,MSC04,MSC10,mixed,0.655,10
82,MSC04,MSC10,motor,0.29999999999999993,10
83,MSC04,MSC10,mem,0.605,10
84,MSC05,MSC01,mixed,0.35,10
85,MSC05,MSC01,motor,0.665,10
86,MSC05,MSC01,mem,0.5,10
87,MSC05,MSC02,mixed,0.54,10
88,MSC05,MSC02,motor,0.5650000000000001,10
89,MSC05,MSC02,mem,0.865,10
90,MSC05,MSC03,mixed,0.655,10
91,MSC05,MSC03,motor,0.5449999999999999,10
92,MSC05,MSC03,mem,0.75,10
93,MSC05,MSC04,mixed,0.5999999999999999,10
94,MSC05,MSC04,motor,0.575,10
95,MSC05,MSC04,mem,0.565,10
96,MSC05,MSC06,mixed,0.53,10
97,MSC05,MSC06,motor,0.39,10
98,MSC05,MSC06,mem,0.605,10
99,MSC05,MSC07,mixed,0.545,10
100,MSC05,MSC07,motor,0.385,10
101,MSC05,MSC07,mem,0.5399999999999999,10
102,MSC05,MSC10,mixed,0.495,10
103,MSC05,MSC10,motor,0.31,10
104,MSC05,MSC10,mem,0.53,10
105,MSC06,MSC01,mixed,0.4,10
106,MSC06,MSC01,motor,0.485,10
107,MSC06,MSC01,mem,0.8099999999999999,10
108,MSC06,MSC02,mixed,0.5,10
109,MSC06,MSC02,motor,0.5,10
110,MSC06,MSC02,mem,0.6950000000000001,10
111,MSC06,MSC03,mixed,0.495,10
112,MSC06,MSC03,motor,0.5,10
113,MSC06,MSC03,mem,0.52,10
114,MSC06,MSC04,mixed,0.51,10
115,MSC06,MSC04,motor,0.31499999999999995,10
116,MSC06,MSC04,mem,0.595,10
117,MSC06,MSC05,mixed,0.4650000000000002,10
118,MSC06,MSC05,motor,0.29999999999999993,10
119,MSC06,MSC05,mem,0.6,10
120,MSC06,MSC07,mixed,0.35,10
121,MSC06,MSC07,motor,0.5700000000000001,10
122,MSC06,MSC07,mem,0.305,10
123,MSC06,MSC10,mixed,0.4350000000000001,10
124,MSC06,MSC10,motor,0.5349999999999999,10
125,MSC06,MSC10,mem,0.5149999999999999,10
126,MSC07,MSC01,mixed,0.51,10
127,MSC07,MSC01,motor,0.505,10
128,MSC07,MSC01,mem,0.64,10
129,MSC07,MSC02,mixed,0.305,10
130,MSC07,MSC02,motor,0.6449999999999999,10
131,MSC07,MSC02,mem,0.3349999999999999,10
132,MSC07,MSC03,mixed,0.4500000000000001,10
133,MSC07,MSC03,motor,0.5449999999999999,10
134,MSC07,MSC03,mem,0.635,10
135,MSC07,MSC04,mixed,0.625,10
136,MSC07,MSC04,motor,0.4900000000000001,10
137,MSC07,MSC04,mem,0.7300000000000001,10
138,MSC07,MSC05,mixed,0.51,10
139,MSC07,MSC05,motor,0.28500000000000003,10
140,MSC07,MSC05,mem,0.5050000000000001,10
141,MSC07,MSC06,mixed,0.395,10
142,MSC07,MSC06,motor,0.575,10
143,MSC07,MSC06,mem,0.39,10
144,MSC07,MSC10,mixed,0.6950000000000001,10
145,MSC07,MSC10,motor,0.5849999999999999,10
146,MSC07,MSC10,mem,0.29,10
147,MSC10,MSC01,mixed,0.535,10
148,MSC10,MSC01,motor,0.5850000000000001,10
149,MSC10,MSC01,mem,0.5599999999999999,10
150,MSC10,MSC02,mixed,0.51,10
151,MSC10,MSC02,motor,0.5149999999999999,10
152,MSC10,MSC02,mem,0.5,10
153,MSC10,MSC03,mixed,0.3,10
154,MSC10,MSC03,motor,0.5549999999999999,10
155,MSC10,MSC03,mem,0.385,10
156,MSC10,MSC04,mixed,0.7849999999999999,10
157,MSC10,MSC04,motor,0.51,10
158,MSC10,MSC04,mem,0.505,10
159,MSC10,MSC05,mixed,0.4,10
160,MSC10,MSC05,motor,0.5299999999999999,10
161,MSC10,MSC05,mem,0.5,10
162,MSC10,MSC06,mixed,0.4999999999999999,10
163,MSC10,MSC06,motor,0.5599999999999999,10
164,MSC10,MSC06,mem,0.5549999999999999,10
165,MSC10,MSC07,mixed,0.665,10
166,MSC10,MSC07,motor,0.665,10
167,MSC10,MSC07,mem,0.3650000000000001,10
0,MSC01,MSC02,mixed,0.545,20
1,MSC01,MSC02,motor,0.6450000000000001,20
2,MSC01,MSC02,mem,0.7549999999999999,20
3,MSC01,MSC03,mixed,0.4750000000000001,20
4,MSC01,MSC03,motor,0.6399999999999999,20
5,MSC01,MSC03,mem,0.5799999999999998,20
6,MSC01,MSC04,mixed,0.51,20
7,MSC01,MSC04,motor,0.7699999999999999,20
8,MSC01,MSC04,mem,0.8549999999999999,20
9,MSC01,MSC05,mixed,0.5,20
10,MSC01,MSC05,motor,0.575,20
11,MSC01,MSC05,mem,0.7949999999999999,20
12,MSC01,MSC06,mixed,0.5,20
13,MSC01,MSC06,motor,0.6000000000000001,20
14,MSC01,MSC06,mem,0.6049999999999999,20
15,MSC01,MSC07,mixed,0.75,20
16,MSC01,MSC07,motor,0.735,20
17,MSC01,MSC07,mem,0.485,20
18,MSC01,MSC10,mixed,0.4600000000000001,20
19,MSC01,MSC10,motor,0.725,20
20,MSC01,MSC10,mem,0.745,20
21,MSC02,MSC01,mixed,0.4800000000000001,20
22,MSC02,MSC01,motor,0.68,20
23,MSC02,MSC01,mem,0.76,20
24,MSC02,MSC03,mixed,0.5250000000000001,20
25,MSC02,MSC03,motor,0.705,20
26,MSC02,MSC03,mem,0.63,20
27,MSC02,MSC04,mixed,0.7050000000000001,20
28,MSC02,MSC04,motor,0.78,20
29,MSC02,MSC04,mem,0.7849999999999999,20
30,MSC02,MSC05,mixed,0.55,20
31,MSC02,MSC05,motor,0.7849999999999999,20
32,MSC02,MSC05,mem,0.6099999999999999,20
33,MSC02,MSC06,mixed,0.705,20
34,MSC02,MSC06,motor,0.6399999999999999,20
35,MSC02,MSC06,mem,0.5549999999999999,20
36,MSC02,MSC07,mixed,0.7899999999999999,20
37,MSC02,MSC07,motor,0.6500000000000001,20
38,MSC02,MSC07,mem,0.7250000000000001,20
39,MSC02,MSC10,mixed,0.645,20
