train_task,test_task,sub,acc
mixed,motor,MSC01,0.9949999999999999
mixed,mem,MSC01,0.95
motor,mixed,MSC01,0.9200000000000002
motor,mem,MSC01,0.74
mem,mixed,MSC01,0.95
mem,motor,MSC01,1.0
mixed,motor,MSC02,0.8099999999999999
mixed,mem,MSC02,0.885
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.8150000000000001
mem,motor,MSC02,0.835
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.7649999999999999
motor,mixed,MSC03,0.5700000000000001
motor,mem,MSC03,0.5899999999999999
mem,mixed,MSC03,0.655
mem,motor,MSC03,0.905
mixed,motor,MSC04,0.95
mixed,mem,MSC04,1.0
motor,mixed,MSC04,0.6950000000000001
motor,mem,MSC04,0.7200000000000001
mem,mixed,MSC04,0.9099999999999999
mem,motor,MSC04,0.825
mixed,motor,MSC05,0.945
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.565
motor,mem,MSC05,0.78
mem,mixed,MSC05,0.845
mem,motor,MSC05,0.9200000000000002
mixed,motor,MSC06,0.95
mixed,mem,MSC06,0.9549999999999998
motor,mixed,MSC06,0.665
motor,mem,MSC06,0.835
mem,mixed,MSC06,0.8249999999999998
mem,motor,MSC06,0.97
mixed,motor,MSC07,0.8
mixed,mem,MSC07,0.8499999999999999
motor,mixed,MSC07,0.525
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.835
mem,motor,MSC07,0.8249999999999998
mixed,motor,MSC10,0.9099999999999999
mixed,mem,MSC10,0.96
motor,mixed,MSC10,0.63
motor,mem,MSC10,0.735
mem,mixed,MSC10,0.86
mem,motor,MSC10,0.8049999999999999
