,train_task,test_task,sub,acc,Features
0,mixed,motor,MSC01,0.6699999999999999,10
1,mixed,mem,MSC01,0.6500000000000001,10
2,motor,mixed,MSC01,0.5899999999999999,10
3,motor,mem,MSC01,0.53,10
4,mem,mixed,MSC01,0.4999999999999999,10
5,mem,motor,MSC01,0.505,10
6,mixed,motor,MSC02,0.52,10
7,mixed,mem,MSC02,0.7049999999999998,10
8,motor,mixed,MSC02,0.5,10
9,motor,mem,MSC02,0.5999999999999999,10
10,mem,mixed,MSC02,0.63,10
11,mem,motor,MSC02,0.48,10
12,mixed,motor,MSC03,0.52,10
13,mixed,mem,MSC03,0.5850000000000001,10
14,motor,mixed,MSC03,0.465,10
15,motor,mem,MSC03,0.66,10
16,mem,mixed,MSC03,0.635,10
17,mem,motor,MSC03,0.6950000000000001,10
18,mixed,motor,MSC04,0.675,10
19,mixed,mem,MSC04,0.665,10
20,motor,mixed,MSC04,0.85,10
21,motor,mem,MSC04,0.49,10
22,mem,mixed,MSC04,0.5299999999999999,10
23,mem,motor,MSC04,0.3700000000000001,10
24,mixed,motor,MSC05,0.605,10
25,mixed,mem,MSC05,0.6299999999999999,10
26,motor,mixed,MSC05,0.655,10
27,motor,mem,MSC05,0.7450000000000002,10
28,mem,mixed,MSC05,0.6500000000000001,10
29,mem,motor,MSC05,0.745,10
30,mixed,motor,MSC06,0.5199999999999999,10
31,mixed,mem,MSC06,0.6700000000000002,10
32,motor,mixed,MSC06,0.5399999999999999,10
33,motor,mem,MSC06,0.89,10
34,mem,mixed,MSC06,0.5499999999999999,10
35,mem,motor,MSC06,0.7150000000000001,10
36,mixed,motor,MSC07,0.73,10
37,mixed,mem,MSC07,0.71,10
38,motor,mixed,MSC07,0.5999999999999999,10
39,motor,mem,MSC07,0.575,10
40,mem,mixed,MSC07,0.6599999999999999,10
41,mem,motor,MSC07,0.4400000000000001,10
42,mixed,motor,MSC10,0.5999999999999999,10
43,mixed,mem,MSC10,0.4,10
44,motor,mixed,MSC10,0.5,10
45,motor,mem,MSC10,0.53,10
46,mem,mixed,MSC10,0.59,10
47,mem,motor,MSC10,0.7000000000000001,10
0,mixed,motor,MSC01,0.8049999999999999,20
1,mixed,mem,MSC01,0.7100000000000001,20
2,motor,mixed,MSC01,0.66,20
3,motor,mem,MSC01,0.68,20
4,mem,mixed,MSC01,0.7150000000000001,20
5,mem,motor,MSC01,0.8799999999999999,20
6,mixed,motor,MSC02,0.6799999999999999,20
7,mixed,mem,MSC02,0.7349999999999999,20
8,motor,mixed,MSC02,0.56,20
9,motor,mem,MSC02,0.72,20
10,mem,mixed,MSC02,0.6450000000000001,20
11,mem,motor,MSC02,0.6950000000000001,20
12,mixed,motor,MSC03,0.6899999999999998,20
13,mixed,mem,MSC03,0.705,20
14,motor,mixed,MSC03,0.445,20
15,motor,mem,MSC03,0.4350000000000001,20
16,mem,mixed,MSC03,0.6000000000000001,20
17,mem,motor,MSC03,0.585,20
18,mixed,motor,MSC04,0.755,20
19,mixed,mem,MSC04,0.685,20
20,motor,mixed,MSC04,0.5800000000000001,20
21,motor,mem,MSC04,0.7699999999999998,20
22,mem,mixed,MSC04,0.635,20
23,mem,motor,MSC04,0.8800000000000001,20
24,mixed,motor,MSC05,1.0,20
25,mixed,mem,MSC05,0.99,20
26,motor,mixed,MSC05,0.7200000000000001,20
27,motor,mem,MSC05,0.7300000000000001,20
28,mem,mixed,MSC05,0.9000000000000001,20
29,mem,motor,MSC05,1.0,20
30,mixed,motor,MSC06,0.615,20
31,mixed,mem,MSC06,0.5149999999999999,20
32,motor,mixed,MSC06,0.59,20
33,motor,mem,MSC06,0.665,20
34,mem,mixed,MSC06,0.635,20
35,mem,motor,MSC06,0.64,20
36,mixed,motor,MSC07,0.5499999999999999,20
37,mixed,mem,MSC07,0.8150000000000001,20
38,motor,mixed,MSC07,0.4149999999999999,20
39,motor,mem,MSC07,0.535,20
40,mem,mixed,MSC07,0.8550000000000002,20
41,mem,motor,MSC07,0.6400000000000001,20
42,mixed,motor,MSC10,0.875,20
43,mixed,mem,MSC10,0.885,20
44,motor,mixed,MSC10,0.8450000000000001,20
45,motor,mem,MSC10,0.8000000000000002,20
46,mem,mixed,MSC10,0.8450000000000001,20
47,mem,motor,MSC10,0.8300000000000001,20
0,mixed,motor,MSC01,0.7499999999999999,30
1,mixed,mem,MSC01,0.6450000000000001,30
2,motor,mixed,MSC01,0.9,30
3,motor,mem,MSC01,0.745,30
4,mem,mixed,MSC01,0.7899999999999999,30
5,mem,motor,MSC01,0.76,30
6,mixed,motor,MSC02,0.74,30
7,mixed,mem,MSC02,0.885,30
8,motor,mixed,MSC02,0.64,30
