Task,f1,train,acc,MCC,Analysis
rest,0.9166666666666666,MSC01,0.84,0.8232845688140846,Same Person
mem,0.8666666666666666,MSC01,0.84,0.8232845688140846,Same Person
sem,0.8666666666666668,MSC01,0.84,0.8232845688140846,Same Person
mot,0.5,MSC01,0.84,0.8232845688140846,Same Person
glass,0.9,MSC01,0.84,0.8232845688140846,Same Person
rest,0.7186696487486792,MSC01,0.5820289855072464,0.5182355406755356,Different Person
mem,0.6314882468121613,MSC01,0.5820289855072464,0.5182355406755356,Different Person
sem,0.3910481717420355,MSC01,0.5820289855072464,0.5182355406755356,Different Person
mot,0.014285714285714285,MSC01,0.5820289855072464,0.5182355406755356,Different Person
glass,0.7412690457559227,MSC01,0.5820289855072464,0.5182355406755356,Different Person
rest,0.8999999999999998,MSC02,0.78,0.7652019894044558,Same Person
mem,0.8666666666666668,MSC02,0.78,0.7652019894044558,Same Person
sem,0.7333333333333333,MSC02,0.78,0.7652019894044558,Same Person
mot,0.26666666666666666,MSC02,0.78,0.7652019894044558,Same Person
glass,0.7666666666666666,MSC02,0.78,0.7652019894044558,Same Person
rest,0.8136762158815631,MSC02,0.4165217391304348,0.36159463155850236,Different Person
mem,0.4406733709488978,MSC02,0.4165217391304348,0.36159463155850236,Different Person
sem,0.14614754543701913,MSC02,0.4165217391304348,0.36159463155850236,Different Person
mot,0.005555555555555555,MSC02,0.4165217391304348,0.36159463155850236,Different Person
glass,0.11665762133728697,MSC02,0.4165217391304348,0.36159463155850236,Different Person
rest,0.9166666666666666,MSC03,0.85,0.8368071071637795,Same Person
mem,0.875,MSC03,0.85,0.8368071071637795,Same Person
sem,0.625,MSC03,0.85,0.8368071071637795,Same Person
mot,0.6666666666666667,MSC03,0.85,0.8368071071637795,Same Person
glass,0.9375,MSC03,0.85,0.8368071071637795,Same Person
rest,0.4495071984596517,MSC03,0.42399135446685876,0.36846588614107845,Different Person
mem,0.5085785824768072,MSC03,0.42399135446685876,0.36846588614107845,Different Person
sem,0.0035211267605633804,MSC03,0.42399135446685876,0.36846588614107845,Different Person
mot,0.025,MSC03,0.42399135446685876,0.36846588614107845,Different Person
glass,0.7175835768869067,MSC03,0.42399135446685876,0.36846588614107845,Different Person
rest,0.9666666666666668,MSC04,0.9,0.8952847075210474,Same Person
mem,0.9333333333333332,MSC04,0.9,0.8952847075210474,Same Person
sem,0.8666666666666668,MSC04,0.9,0.8952847075210474,Same Person
mot,0.6,MSC04,0.9,0.8952847075210474,Same Person
glass,0.9666666666666666,MSC04,0.9,0.8952847075210474,Same Person
rest,0.7424697868243237,MSC04,0.6301449275362319,0.5724892735819436,Different Person
mem,0.711978073188502,MSC04,0.6301449275362319,0.5724892735819436,Different Person
sem,0.33181973092549744,MSC04,0.6301449275362319,0.5724892735819436,Different Person
mot,0.21903762852567737,MSC04,0.6301449275362319,0.5724892735819436,Different Person
glass,0.7760327648962921,MSC04,0.6301449275362319,0.5724892735819436,Different Person
rest,0.9166666666666666,MSC05,0.86,0.8550461379877671,Same Person
mem,0.9333333333333332,MSC05,0.86,0.8550461379877671,Same Person
sem,0.8,MSC05,0.86,0.8550461379877671,Same Person
mot,0.5666666666666667,MSC05,0.86,0.8550461379877671,Same Person
glass,0.8666666666666668,MSC05,0.86,0.8550461379877671,Same Person
rest,0.6537311044506705,MSC05,0.5327536231884058,0.4518337241492721,Different Person
mem,0.5974188715521558,MSC05,0.5327536231884058,0.4518337241492721,Different Person
sem,0.525303461016241,MSC05,0.5327536231884058,0.4518337241492721,Different Person
mot,0.02,MSC05,0.5327536231884058,0.4518337241492721,Different Person
glass,0.5285039227904691,MSC05,0.5327536231884058,0.4518337241492721,Different Person
rest,0.8703703703703705,MSC06,0.8444444444444444,0.8364821715742699,Same Person
mem,0.9629629629629629,MSC06,0.8444444444444444,0.8364821715742699,Same Person
sem,0.5555555555555556,MSC06,0.8444444444444444,0.8364821715742699,Same Person
mot,0.6296296296296295,MSC06,0.8444444444444444,0.8364821715742699,Same Person
glass,0.9629629629629631,MSC06,0.8444444444444444,0.8364821715742699,Same Person
rest,0.6841844590644262,MSC06,0.5456292026897214,0.4860430727651512,Different Person
mem,0.5896513649454757,MSC06,0.5456292026897214,0.4860430727651512,Different Person
sem,0.4432964198716787,MSC06,0.5456292026897214,0.4860430727651512,Different Person
mot,0.003129890453834116,MSC06,0.5456292026897214,0.4860430727651512,Different Person
glass,0.6480893815289179,MSC06,0.5456292026897214,0.4860430727651512,Different Person
rest,0.9629629629629631,MSC07,0.8444444444444444,0.8389401533197411,Same Person
mem,0.8703703703703703,MSC07,0.8444444444444444,0.8389401533197411,Same Person
sem,0.8148148148148148,MSC07,0.8444444444444444,0.8389401533197411,Same Person
mot,0.3333333333333333,MSC07,0.8444444444444444,0.8389401533197411,Same Person
glass,1.0,MSC07,0.8444444444444444,0.8389401533197411,Same Person
rest,0.6359916553244231,MSC07,0.5279383429672447,0.4522268106710968,Different Person
mem,0.6442446891689133,MSC07,0.5279383429672447,0.4522268106710968,Different Person
sem,0.11317905264072052,MSC07,0.5279383429672447,0.4522268106710968,Different Person
mot,0.028089422719302457,MSC07,0.5279383429672447,0.4522268106710968,Different Person
glass,0.6745874550531976,MSC07,0.5279383429672447,0.4522268106710968,Different Person
rest,0.8666666666666668,MSC10,0.74,0.7215330416211319,Same Person
mem,0.6833333333333333,MSC10,0.74,0.7215330416211319,Same Person
sem,0.36666666666666664,MSC10,0.74,0.7215330416211319,Same Person
mot,0.5333333333333333,MSC10,0.74,0.7215330416211319,Same Person
glass,0.9,MSC10,0.74,0.7215330416211319,Same Person
rest,0.6012728372225451,MSC10,0.5350724637681159,0.4593449325717203,Different Person
mem,0.617800489839105,MSC10,0.5350724637681159,0.4593449325717203,Different Person
sem,0.366066652947535,MSC10,0.5350724637681159,0.4593449325717203,Different Person
mot,0.06694803524342403,MSC10,0.5350724637681159,0.4593449325717203,Different Person
glass,0.6964504538887459,MSC10,0.5350724637681159,0.4593449325717203,Different Person
