train_sub,test_sub,cv_acc,cv_sen,cv_spec,acc,ds_sen,ds_spec
MSC01,MSC02,0.95,1.0,0.9,0.545,1.0,0.09
MSC01,MSC03,0.9875,1.0,0.975,0.5549999999999999,0.9842857142857143,0.12571428571428572
MSC01,MSC04,0.9875,1.0,0.975,0.7024999999999999,0.9949999999999999,0.41
MSC01,MSC05,0.9875,1.0,0.975,0.6625,0.9650000000000001,0.36
MSC01,MSC06,0.95,1.0,0.9,0.8064285714285715,0.985,0.6278571428571429
MSC01,MSC07,0.9875,1.0,0.975,0.51,1.0,0.02
MSC01,MSC10,0.9625,1.0,0.925,0.55,0.9949999999999999,0.10500000000000001
MSC02,MSC01,0.975,1.0,0.95,0.9175000000000001,0.8699999999999999,0.9650000000000001
MSC02,MSC03,0.9875,1.0,0.975,0.7946428571428571,0.9842857142857143,0.6050000000000001
MSC02,MSC04,0.9875,1.0,0.975,0.905,0.9650000000000001,0.845
MSC02,MSC05,0.9875,1.0,0.975,0.9199999999999999,0.9800000000000001,0.86
MSC02,MSC06,0.975,1.0,0.95,0.8817857142857143,0.9414285714285715,0.822142857142857
MSC02,MSC07,0.975,1.0,0.95,0.7260714285714286,0.9800000000000001,0.47214285714285714
MSC02,MSC10,0.975,1.0,0.95,0.775,0.79,0.76
MSC03,MSC01,0.9375,1.0,0.875,0.8125,0.74,0.885
MSC03,MSC02,0.975,1.0,0.95,0.6824999999999999,0.99,0.375
MSC03,MSC04,0.975,0.975,0.975,0.8150000000000001,0.8600000000000001,0.7699999999999999
MSC03,MSC05,0.9875,1.0,0.975,0.8549999999999999,0.9949999999999999,0.7150000000000001
MSC03,MSC06,0.975,0.975,0.975,0.8060714285714285,0.7471428571428571,0.865
MSC03,MSC07,0.9625,0.975,0.95,0.7714285714285714,0.7007142857142857,0.8421428571428571
MSC03,MSC10,0.95,1.0,0.9,0.8400000000000001,0.805,0.875
MSC04,MSC01,0.9875,1.0,0.975,0.6,1.0,0.2
MSC04,MSC02,0.9875,1.0,0.975,0.545,0.985,0.10500000000000001
MSC04,MSC03,0.9875,1.0,0.975,0.589642857142857,1.0,0.17928571428571427
MSC04,MSC05,0.9875,1.0,0.975,0.8825,0.9949999999999999,0.7700000000000001
MSC04,MSC06,0.9875,1.0,0.975,0.7657142857142858,1.0,0.5314285714285714
MSC04,MSC07,0.9875,1.0,0.975,0.6157142857142857,1.0,0.23142857142857146
MSC04,MSC10,0.9875,1.0,0.975,0.6525,1.0,0.30500000000000005
MSC05,MSC01,0.9875,1.0,0.975,0.6875,0.96,0.41500000000000004
MSC05,MSC02,0.9875,1.0,0.975,0.5700000000000001,0.99,0.15000000000000002
MSC05,MSC03,0.9875,1.0,0.975,0.7471428571428571,0.9885714285714287,0.5057142857142857
MSC05,MSC04,0.9875,1.0,0.975,0.8424999999999999,0.9400000000000001,0.7449999999999999
MSC05,MSC06,0.9875,1.0,0.975,0.7967857142857142,0.9564285714285715,0.6371428571428571
MSC05,MSC07,0.9875,1.0,0.975,0.6739285714285714,0.9685714285714286,0.3792857142857143
MSC05,MSC10,0.9875,1.0,0.975,0.7350000000000001,0.9549999999999998,0.515
MSC06,MSC01,0.9375,0.975,0.9,0.7949999999999999,0.9850000000000001,0.605
MSC06,MSC02,0.9625,1.0,0.925,0.8649999999999999,0.925,0.805
MSC06,MSC03,0.9625,1.0,0.925,0.7192857142857143,0.9842857142857142,0.4542857142857143
MSC06,MSC04,0.9625,1.0,0.925,0.875,1.0,0.75
MSC06,MSC05,0.9625,0.975,0.95,0.9325000000000001,0.9550000000000001,0.9099999999999999
MSC06,MSC07,0.9625,0.975,0.95,0.5775,1.0,0.15499999999999997
MSC06,MSC10,0.9625,0.975,0.95,0.6075,1.0,0.215
MSC07,MSC01,0.975,0.975,0.975,0.7825000000000001,1.0,0.565
MSC07,MSC02,0.975,0.975,0.975,0.7799999999999999,0.945,0.615
MSC07,MSC03,0.9875,1.0,0.975,0.6553571428571429,0.8464285714285715,0.46428571428571425
MSC07,MSC04,0.975,0.975,0.975,0.8550000000000001,0.9199999999999999,0.79
MSC07,MSC05,0.9625,0.975,0.95,0.885,0.885,0.885
MSC07,MSC06,0.9875,1.0,0.975,0.8196428571428571,0.7164285714285714,0.9228571428571428
MSC07,MSC10,0.9875,1.0,0.975,0.7725000000000001,0.8700000000000001,0.675
MSC10,MSC01,0.95,0.975,0.925,0.545,1.0,0.09
MSC10,MSC02,0.9625,0.975,0.95,0.5675,0.9549999999999998,0.18
MSC10,MSC03,0.9625,0.975,0.95,0.5771428571428572,0.9942857142857143,0.15999999999999998
MSC10,MSC04,0.9375,0.975,0.9,0.6799999999999999,0.99,0.37
MSC10,MSC05,0.95,0.975,0.925,0.6675,1.0,0.335
MSC10,MSC06,0.9625,0.975,0.95,0.7678571428571429,0.9949999999999999,0.5407142857142857
MSC10,MSC07,0.9625,0.975,0.95,0.6878571428571428,0.8921428571428571,0.48357142857142854
