train_sub,test_sub,task,acc,spec,sen
MSC01,MSC02,glass,0.565,1.0,0.13
MSC01,MSC02,semantic,0.85,0.9700000000000001,0.7299999999999999
MSC01,MSC02,motor,0.9199999999999999,0.9000000000000001,0.9400000000000001
MSC01,MSC02,mem,0.8999999999999998,0.8,1.0
MSC01,MSC03,glass,0.505,1.0,0.01
MSC01,MSC03,semantic,0.7449999999999999,1.0,0.49000000000000005
MSC01,MSC03,motor,0.925,1.0,0.8500000000000002
MSC01,MSC03,mem,0.78,0.5599999999999999,1.0
MSC01,MSC04,glass,0.6249999999999999,1.0,0.25000000000000006
MSC01,MSC04,semantic,0.665,1.0,0.32999999999999996
MSC01,MSC04,motor,0.99,1.0,0.9800000000000001
MSC01,MSC04,mem,0.8950000000000001,0.7999999999999999,0.99
MSC01,MSC05,glass,0.5449999999999999,1.0,0.09
MSC01,MSC05,semantic,0.575,1.0,0.15
MSC01,MSC05,motor,0.875,1.0,0.75
MSC01,MSC05,mem,0.9649999999999999,1.0,0.93
MSC01,MSC06,glass,0.5,1.0,0.0
MSC01,MSC06,semantic,0.5499999999999999,1.0,0.09999999999999999
MSC01,MSC06,motor,0.7549999999999999,1.0,0.51
MSC01,MSC06,mem,0.9549999999999998,1.0,0.9100000000000001
MSC01,MSC07,glass,0.9550000000000001,1.0,0.9099999999999999
MSC01,MSC07,semantic,1.0,1.0,1.0
MSC01,MSC07,motor,0.975,0.95,1.0
MSC01,MSC07,mem,0.745,0.49000000000000005,1.0
MSC01,MSC10,glass,0.575,1.0,0.15000000000000002
MSC01,MSC10,semantic,0.625,1.0,0.24999999999999994
MSC01,MSC10,motor,0.975,0.99,0.96
MSC01,MSC10,mem,0.9400000000000001,0.89,0.99
MSC02,MSC01,glass,0.5,1.0,0.0
MSC02,MSC01,semantic,0.51,1.0,0.02
MSC02,MSC01,motor,0.5,1.0,0.0
MSC02,MSC01,mem,0.9600000000000002,0.9200000000000002,1.0
MSC02,MSC03,glass,0.5,1.0,0.0
MSC02,MSC03,semantic,0.505,1.0,0.01
MSC02,MSC03,motor,0.71,1.0,0.42000000000000004
MSC02,MSC03,mem,0.76,0.52,1.0
MSC02,MSC04,glass,0.505,1.0,0.01
MSC02,MSC04,semantic,0.5,1.0,0.0
MSC02,MSC04,motor,0.57,1.0,0.13999999999999999
MSC02,MSC04,mem,0.9850000000000001,0.97,1.0
MSC02,MSC05,glass,0.51,1.0,0.02
MSC02,MSC05,semantic,0.5,1.0,0.0
MSC02,MSC05,motor,0.5599999999999999,1.0,0.12
MSC02,MSC05,mem,0.9499999999999998,0.9,1.0
MSC02,MSC06,glass,0.5,1.0,0.0
MSC02,MSC06,semantic,0.565,1.0,0.13000000000000006
MSC02,MSC06,motor,0.5499999999999999,1.0,0.09999999999999999
MSC02,MSC06,mem,0.96,0.99,0.93
MSC02,MSC07,glass,0.62,1.0,0.24
MSC02,MSC07,semantic,0.675,0.99,0.35999999999999993
