train_task,test_task,sub,acc,spec,sen
glass,semantic,MSC01,0.945,0.99,0.9000000000000001
glass,motor,MSC01,0.9400000000000001,1.0,0.8800000000000001
glass,mem,MSC01,0.825,1.0,0.65
semantic,glass,MSC01,0.875,1.0,0.7500000000000001
semantic,motor,MSC01,0.8500000000000002,1.0,0.7
semantic,mem,MSC01,0.72,1.0,0.44000000000000006
motor,glass,MSC01,0.825,1.0,0.6499999999999999
motor,semantic,MSC01,0.945,1.0,0.89
motor,mem,MSC01,0.6500000000000001,1.0,0.29999999999999993
mem,glass,MSC01,0.975,1.0,0.95
mem,semantic,MSC01,1.0,1.0,1.0
mem,motor,MSC01,0.9349999999999999,0.8700000000000001,1.0
glass,semantic,MSC02,0.8699999999999999,0.9200000000000002,0.8200000000000001
glass,motor,MSC02,0.58,0.99,0.17
glass,mem,MSC02,0.615,0.99,0.24000000000000005
semantic,glass,MSC02,0.6900000000000001,0.99,0.39
semantic,motor,MSC02,0.495,0.99,0.0
semantic,mem,MSC02,0.51,1.0,0.02
motor,glass,MSC02,0.575,1.0,0.15
motor,semantic,MSC02,0.53,1.0,0.06
motor,mem,MSC02,0.5,1.0,0.0
mem,glass,MSC02,0.9349999999999999,0.99,0.8800000000000001
mem,semantic,MSC02,0.82,1.0,0.6399999999999999
mem,motor,MSC02,0.8099999999999999,1.0,0.62
glass,semantic,MSC03,0.7999999999999999,1.0,0.6
glass,motor,MSC03,0.9949999999999999,1.0,0.99
glass,mem,MSC03,0.7,1.0,0.4
semantic,glass,MSC03,0.8099999999999999,1.0,0.6199999999999999
semantic,motor,MSC03,0.875,1.0,0.75
semantic,mem,MSC03,0.68,1.0,0.36
motor,glass,MSC03,0.7449999999999999,1.0,0.48999999999999994
motor,semantic,MSC03,0.605,1.0,0.21000000000000002
motor,mem,MSC03,0.5999999999999999,1.0,0.19999999999999998
mem,glass,MSC03,0.6500000000000001,0.99,0.30999999999999994
mem,semantic,MSC03,0.7949999999999999,1.0,0.5899999999999999
mem,motor,MSC03,0.9349999999999999,0.99,0.8800000000000001
glass,semantic,MSC04,0.9949999999999999,1.0,0.99
glass,motor,MSC04,0.905,1.0,0.8099999999999999
glass,mem,MSC04,0.8850000000000001,1.0,0.77
semantic,glass,MSC04,0.845,1.0,0.6900000000000001
semantic,motor,MSC04,0.5499999999999999,1.0,0.10000000000000002
semantic,mem,MSC04,0.77,1.0,0.5399999999999999
motor,glass,MSC04,0.985,0.9800000000000001,0.99
motor,semantic,MSC04,0.85,1.0,0.7
motor,mem,MSC04,0.795,1.0,0.59
mem,glass,MSC04,0.9949999999999999,1.0,0.99
mem,semantic,MSC04,0.945,0.99,0.9000000000000001
mem,motor,MSC04,0.9550000000000001,1.0,0.9100000000000001
glass,semantic,MSC05,0.99,1.0,0.9800000000000001
glass,motor,MSC05,0.89,1.0,0.7799999999999999
glass,mem,MSC05,0.985,1.0,0.9700000000000001
semantic,glass,MSC05,0.8950000000000001,1.0,0.7899999999999999
semantic,motor,MSC05,0.835,1.0,0.67
semantic,mem,MSC05,0.985,1.0,0.9700000000000001
motor,glass,MSC05,0.8049999999999999,1.0,0.6099999999999999
motor,semantic,MSC05,0.74,1.0,0.48
motor,mem,MSC05,0.99,1.0,0.9800000000000001
mem,glass,MSC05,0.96,1.0,0.9200000000000002
mem,semantic,MSC05,0.9350000000000002,1.0,0.8700000000000001
mem,motor,MSC05,0.9949999999999999,1.0,0.99
glass,semantic,MSC06,0.9055555555555556,0.9888888888888889,0.8222222222222223
glass,motor,MSC06,0.7666666666666666,1.0,0.5333333333333333
glass,mem,MSC06,0.9000000000000001,1.0,0.7999999999999999
semantic,glass,MSC06,0.7666666666666666,1.0,0.5333333333333333
semantic,motor,MSC06,0.86,1.0,0.72
semantic,mem,MSC06,0.9400000000000001,1.0,0.8800000000000001
motor,glass,MSC06,0.7222222222222221,1.0,0.4444444444444445
motor,semantic,MSC06,0.745,1.0,0.49000000000000005
motor,mem,MSC06,0.765,1.0,0.53
mem,glass,MSC06,0.8222222222222222,0.8555555555555555,0.7888888888888889
mem,semantic,MSC06,0.8950000000000001,1.0,0.7899999999999999
mem,motor,MSC06,0.97,1.0,0.9400000000000001
glass,semantic,MSC07,0.9949999999999999,1.0,0.99
glass,motor,MSC07,0.575,1.0,0.15000000000000002
glass,mem,MSC07,0.7999999999999999,1.0,0.6
semantic,glass,MSC07,0.945,1.0,0.8900000000000002
semantic,motor,MSC07,0.5499999999999999,1.0,0.09999999999999999
semantic,mem,MSC07,0.6950000000000001,1.0,0.39
motor,glass,MSC07,0.525,1.0,0.05
motor,semantic,MSC07,0.5499999999999999,1.0,0.09999999999999999
motor,mem,MSC07,0.5,1.0,0.0
mem,glass,MSC07,0.99,0.9800000000000001,1.0
mem,semantic,MSC07,0.99,1.0,0.9800000000000001
mem,motor,MSC07,0.75,1.0,0.5
glass,semantic,MSC10,0.9199999999999999,1.0,0.8400000000000001
glass,motor,MSC10,0.85,1.0,0.7000000000000001
glass,mem,MSC10,0.89,1.0,0.78
semantic,glass,MSC10,0.9,1.0,0.8
semantic,motor,MSC10,0.7050000000000001,1.0,0.41
semantic,mem,MSC10,0.85,1.0,0.7
motor,glass,MSC10,0.7200000000000001,1.0,0.43999999999999995
motor,semantic,MSC10,0.655,1.0,0.31
motor,mem,MSC10,0.775,1.0,0.55
mem,glass,MSC10,0.875,0.99,0.76
mem,semantic,MSC10,0.9400000000000001,1.0,0.8800000000000001
mem,motor,MSC10,0.915,1.0,0.8300000000000001
