Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC08,MSC09,MSC10
MSC01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC02,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MSC03,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
MSC04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC08,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
MSC09,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
MSC10,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
