train_sub,test_sub,cv_acc,cv_sen,cv_spec,acc,ds_sen,ds_spec
MSC01,MSC02,0.975,1.0,0.95,0.8375,0.9949999999999999,0.6799999999999999
MSC01,MSC03,0.975,1.0,0.95,0.7875000000000001,0.95,0.625
MSC01,MSC04,0.975,1.0,0.95,0.8450000000000001,0.97,0.72
MSC01,MSC05,0.975,1.0,0.95,0.8949999999999999,1.0,0.79
MSC01,MSC06,0.975,1.0,0.95,0.9199999999999999,0.85,0.99
MSC01,MSC07,0.975,1.0,0.95,0.6074999999999999,1.0,0.21500000000000002
MSC01,MSC10,0.975,1.0,0.95,0.6875,0.975,0.4
MSC02,MSC01,0.9625,1.0,0.925,0.9125,0.8699999999999999,0.9550000000000001
MSC02,MSC03,0.9625,1.0,0.925,0.825,0.9800000000000001,0.6700000000000002
MSC02,MSC04,0.9625,1.0,0.925,0.9174999999999999,0.9799999999999999,0.8550000000000001
MSC02,MSC05,0.9625,1.0,0.925,0.925,0.97,0.8800000000000001
MSC02,MSC06,0.9625,1.0,0.925,0.8939285714285715,0.9385714285714284,0.8492857142857142
MSC02,MSC07,0.9625,1.0,0.925,0.7274999999999999,0.99,0.465
MSC02,MSC10,0.9625,1.0,0.925,0.8,0.8399999999999999,0.76
MSC03,MSC01,0.975,0.95,1.0,0.6449999999999999,0.9650000000000001,0.32500000000000007
MSC03,MSC02,0.975,0.95,1.0,0.5925,1.0,0.185
MSC03,MSC04,0.975,0.95,1.0,0.755,0.96,0.55
MSC03,MSC05,0.975,0.95,1.0,0.7775000000000001,1.0,0.555
MSC03,MSC06,0.975,0.95,1.0,0.7878571428571428,0.9035714285714285,0.6721428571428572
MSC03,MSC07,0.975,0.95,1.0,0.735,0.9399999999999998,0.53
MSC03,MSC10,0.975,0.95,1.0,0.7175,0.9199999999999999,0.515
MSC04,MSC01,0.975,1.0,0.95,0.9125,0.8950000000000001,0.93
MSC04,MSC02,0.975,1.0,0.95,0.8775000000000001,0.9550000000000001,0.7999999999999999
MSC04,MSC03,0.975,1.0,0.95,0.8425,0.9949999999999999,0.69
MSC04,MSC05,0.975,1.0,0.95,0.95,0.9450000000000001,0.9550000000000001
MSC04,MSC06,0.975,1.0,0.95,0.9299999999999999,0.985,0.875
MSC04,MSC07,0.975,1.0,0.95,0.75,0.9400000000000001,0.5599999999999999
MSC04,MSC10,0.975,1.0,0.95,0.82,0.9650000000000001,0.675
MSC05,MSC01,0.9875,1.0,0.975,0.8074999999999999,0.915,0.7000000000000001
MSC05,MSC02,0.9875,1.0,0.975,0.6950000000000001,0.945,0.445
MSC05,MSC03,0.9875,1.0,0.975,0.8825000000000001,0.9450000000000001,0.8200000000000001
MSC05,MSC04,0.9875,1.0,0.975,0.8150000000000001,0.735,0.8950000000000001
MSC05,MSC06,0.9875,1.0,0.975,0.8528571428571429,0.8821428571428571,0.8235714285714286
MSC05,MSC07,0.9875,1.0,0.975,0.7174999999999999,0.835,0.6
MSC05,MSC10,0.9875,1.0,0.975,0.8075000000000001,0.9,0.7149999999999999
MSC06,MSC01,0.975,1.0,0.95,0.7849999999999999,0.985,0.5850000000000001
MSC06,MSC02,0.975,1.0,0.95,0.8200000000000001,0.875,0.765
MSC06,MSC03,0.975,1.0,0.95,0.7525000000000001,0.9800000000000001,0.525
MSC06,MSC04,0.975,1.0,0.95,0.8975,0.99,0.805
MSC06,MSC05,0.975,1.0,0.95,0.9349999999999999,0.915,0.9550000000000001
MSC06,MSC07,0.975,1.0,0.95,0.6175,1.0,0.23500000000000001
MSC06,MSC10,0.975,1.0,0.95,0.65,0.9800000000000001,0.32
MSC07,MSC01,0.975,0.975,0.975,0.7825,1.0,0.5650000000000001
MSC07,MSC02,0.975,0.975,0.975,0.7150000000000001,0.9099999999999999,0.52
MSC07,MSC03,0.975,0.975,0.975,0.6725,0.845,0.5
MSC07,MSC04,0.975,0.975,0.975,0.8625,0.9200000000000002,0.8049999999999999
MSC07,MSC05,0.975,0.975,0.975,0.8899999999999999,0.9,0.8800000000000001
MSC07,MSC06,0.975,0.975,0.975,0.8203571428571428,0.7257142857142858,0.915
MSC07,MSC10,0.975,0.975,0.975,0.7525,0.8550000000000001,0.65
MSC10,MSC01,0.9625,0.975,0.95,0.8325000000000001,0.8400000000000001,0.825
MSC10,MSC02,0.9625,0.975,0.95,0.835,0.745,0.925
MSC10,MSC03,0.9625,0.975,0.95,0.8425,0.9049999999999999,0.7799999999999999
MSC10,MSC04,0.9625,0.975,0.95,0.8675,0.9350000000000002,0.8
MSC10,MSC05,0.9625,0.975,0.95,0.9125,0.95,0.875
MSC10,MSC06,0.9625,0.975,0.95,0.8603571428571429,0.7207142857142856,1.0
MSC10,MSC07,0.9625,0.975,0.95,0.7175,0.5599999999999999,0.875
