train_sub,test_sub,task,acc,spec,sen
MSC01,MSC02,glass,0.5499999999999999,1.0,0.09999999999999999
MSC01,MSC02,semantic,0.8900000000000002,1.0,0.7799999999999999
MSC01,MSC02,motor,0.89,0.9000000000000001,0.8800000000000001
MSC01,MSC02,mem,0.9100000000000001,1.0,0.82
MSC01,MSC03,glass,0.5,1.0,0.0
MSC01,MSC03,semantic,0.7249999999999999,1.0,0.45
MSC01,MSC03,motor,0.905,1.0,0.8099999999999999
MSC01,MSC03,mem,0.99,1.0,0.9800000000000001
MSC01,MSC04,glass,0.5950000000000001,1.0,0.19
MSC01,MSC04,semantic,0.655,1.0,0.30999999999999994
MSC01,MSC04,motor,0.99,1.0,0.9800000000000001
MSC01,MSC04,mem,0.8499999999999999,1.0,0.7000000000000001
MSC01,MSC05,glass,0.5449999999999999,1.0,0.09
MSC01,MSC05,semantic,0.5849999999999999,1.0,0.16999999999999998
MSC01,MSC05,motor,0.8699999999999999,1.0,0.74
MSC01,MSC05,mem,0.885,1.0,0.77
MSC01,MSC06,glass,0.5,1.0,0.0
MSC01,MSC06,semantic,0.5499999999999999,1.0,0.09999999999999999
MSC01,MSC06,motor,0.7499999999999999,1.0,0.5
MSC01,MSC06,mem,0.6850000000000002,1.0,0.36999999999999994
MSC01,MSC07,glass,0.9350000000000002,1.0,0.8699999999999999
MSC01,MSC07,semantic,1.0,1.0,1.0
MSC01,MSC07,motor,0.9800000000000001,0.9700000000000001,0.99
MSC01,MSC07,mem,0.9949999999999999,0.99,1.0
MSC01,MSC10,glass,0.5449999999999999,1.0,0.09
MSC01,MSC10,semantic,0.5700000000000001,1.0,0.13999999999999999
MSC01,MSC10,motor,0.985,1.0,0.97
MSC01,MSC10,mem,0.95,1.0,0.9000000000000001
MSC02,MSC01,glass,0.6900000000000001,1.0,0.38
MSC02,MSC01,semantic,0.8299999999999998,1.0,0.6599999999999999
MSC02,MSC01,motor,0.755,1.0,0.51
MSC02,MSC01,mem,1.0,1.0,1.0
MSC02,MSC03,glass,0.6249999999999999,1.0,0.25000000000000006
MSC02,MSC03,semantic,0.7100000000000001,1.0,0.42000000000000004
MSC02,MSC03,motor,0.8700000000000001,1.0,0.74
MSC02,MSC03,mem,0.985,0.97,1.0
MSC02,MSC04,glass,0.645,1.0,0.29
MSC02,MSC04,semantic,0.6500000000000001,1.0,0.29999999999999993
MSC02,MSC04,motor,0.8900000000000002,1.0,0.7799999999999999
MSC02,MSC04,mem,0.9949999999999999,1.0,0.99
MSC02,MSC05,glass,0.595,1.0,0.19
MSC02,MSC05,semantic,0.6050000000000002,1.0,0.21000000000000002
MSC02,MSC05,motor,0.85,1.0,0.7000000000000001
MSC02,MSC05,mem,1.0,1.0,1.0
MSC02,MSC06,glass,0.5833333333333334,1.0,0.16666666666666666
MSC02,MSC06,semantic,0.6800000000000002,1.0,0.35999999999999993
MSC02,MSC06,motor,0.745,1.0,0.49000000000000005
MSC02,MSC06,mem,0.95,1.0,0.9000000000000001
MSC02,MSC07,glass,0.85,0.97,0.7300000000000001
MSC02,MSC07,semantic,0.905,0.93,0.8800000000000001
MSC02,MSC07,motor,0.925,1.0,0.85
MSC02,MSC07,mem,0.975,0.95,1.0
MSC02,MSC10,glass,0.505,1.0,0.01
MSC02,MSC10,semantic,0.615,1.0,0.22999999999999998
MSC02,MSC10,motor,0.7849999999999999,1.0,0.57
MSC02,MSC10,mem,0.9150000000000003,1.0,0.8299999999999998
MSC03,MSC01,glass,0.5249999999999999,1.0,0.05
MSC03,MSC01,semantic,0.5549999999999999,1.0,0.10999999999999999
MSC03,MSC01,motor,0.8499999999999999,1.0,0.7000000000000001
MSC03,MSC01,mem,0.665,0.32999999999999996,1.0
MSC03,MSC02,glass,0.715,1.0,0.43
MSC03,MSC02,semantic,0.6300000000000001,1.0,0.25999999999999995
MSC03,MSC02,motor,1.0,1.0,1.0
MSC03,MSC02,mem,0.6799999999999999,0.36,1.0
MSC03,MSC04,glass,0.68,1.0,0.36
MSC03,MSC04,semantic,0.5599999999999999,1.0,0.12000000000000002
MSC03,MSC04,motor,0.9549999999999998,1.0,0.9100000000000001
MSC03,MSC04,mem,0.915,0.8300000000000001,1.0
MSC03,MSC05,glass,0.645,1.0,0.29
MSC03,MSC05,semantic,0.735,1.0,0.47000000000000003
MSC03,MSC05,motor,0.9450000000000001,1.0,0.8900000000000002
MSC03,MSC05,mem,0.9349999999999999,0.89,0.9800000000000001
MSC03,MSC06,glass,0.5611111111111111,1.0,0.12222222222222223
MSC03,MSC06,semantic,0.5,1.0,0.0
MSC03,MSC06,motor,0.8800000000000002,1.0,0.76
MSC03,MSC06,mem,0.985,0.9800000000000001,0.99
MSC03,MSC07,glass,0.5549999999999999,1.0,0.11000000000000001
MSC03,MSC07,semantic,0.505,1.0,0.01
MSC03,MSC07,motor,0.8949999999999999,1.0,0.7900000000000001
MSC03,MSC07,mem,0.7100000000000001,0.9100000000000001,0.51
MSC03,MSC10,glass,0.505,1.0,0.01
MSC03,MSC10,semantic,0.505,1.0,0.01
MSC03,MSC10,motor,0.9099999999999999,1.0,0.82
MSC03,MSC10,mem,0.9400000000000001,0.8800000000000001,1.0
MSC04,MSC01,glass,0.64,1.0,0.27999999999999997
MSC04,MSC01,semantic,0.9100000000000001,1.0,0.82
MSC04,MSC01,motor,1.0,1.0,1.0
MSC04,MSC01,mem,0.9949999999999999,1.0,0.99
MSC04,MSC02,glass,0.615,1.0,0.23000000000000004
MSC04,MSC02,semantic,0.7849999999999999,1.0,0.5699999999999998
MSC04,MSC02,motor,0.99,1.0,0.9800000000000001
MSC04,MSC02,mem,0.925,1.0,0.85
MSC04,MSC03,glass,0.615,1.0,0.23000000000000004
MSC04,MSC03,semantic,0.82,1.0,0.64
MSC04,MSC03,motor,0.97,0.9400000000000001,1.0
MSC04,MSC03,mem,0.985,0.9800000000000001,0.99
MSC04,MSC05,glass,0.5849999999999999,1.0,0.16999999999999998
MSC04,MSC05,semantic,0.5549999999999999,1.0,0.11000000000000001
MSC04,MSC05,motor,0.9550000000000001,1.0,0.9100000000000001
MSC04,MSC05,mem,0.875,1.0,0.7499999999999999
MSC04,MSC06,glass,0.8333333333333333,1.0,0.6666666666666666
MSC04,MSC06,semantic,0.66,1.0,0.31999999999999995
MSC04,MSC06,motor,0.89,1.0,0.7800000000000001
MSC04,MSC06,mem,0.9800000000000001,1.0,0.9600000000000002
MSC04,MSC07,glass,0.73,0.8900000000000002,0.57
MSC04,MSC07,semantic,0.9299999999999999,1.0,0.86
MSC04,MSC07,motor,0.9850000000000001,1.0,0.97
MSC04,MSC07,mem,0.95,0.9400000000000001,0.96
MSC04,MSC10,glass,0.7849999999999999,0.99,0.5799999999999998
MSC04,MSC10,semantic,0.72,1.0,0.44000000000000006
MSC04,MSC10,motor,0.97,1.0,0.9400000000000001
MSC04,MSC10,mem,0.9949999999999999,0.99,1.0
MSC05,MSC01,glass,0.7499999999999999,1.0,0.5000000000000001
MSC05,MSC01,semantic,0.9400000000000001,1.0,0.8800000000000001
MSC05,MSC01,motor,0.9100000000000001,1.0,0.8200000000000001
MSC05,MSC01,mem,1.0,1.0,1.0
MSC05,MSC02,glass,0.7849999999999999,0.78,0.7899999999999999
