train_sub,test_sub,cv_acc,cv_sen,cv_spec,acc,ds_sen,ds_spec
MSC01,MSC02,1.0,1.0,1.0,0.5250000000000001,1.0,0.05000000000000001
MSC01,MSC03,1.0,1.0,1.0,0.5170833333333335,0.9799999999999999,0.054166666666666675
MSC01,MSC04,1.0,1.0,1.0,0.6187499999999999,1.0,0.2375
MSC01,MSC05,1.0,1.0,1.0,0.5774999999999999,1.0,0.15500000000000003
MSC01,MSC06,1.0,1.0,1.0,0.755,0.9974999999999999,0.5125
MSC01,MSC07,1.0,1.0,1.0,0.5041666666666667,1.0,0.008333333333333333
MSC01,MSC10,1.0,1.0,1.0,0.51375,0.9974999999999999,0.030000000000000006
MSC02,MSC01,0.9875,1.0,0.975,0.9262499999999998,0.9224999999999998,0.9299999999999999
MSC02,MSC03,0.9875,1.0,0.975,0.75,0.9949999999999999,0.5049999999999999
MSC02,MSC04,0.9875,1.0,0.975,0.915,0.9924999999999999,0.8375
MSC02,MSC05,0.9875,1.0,0.975,0.9387500000000001,0.985,0.8925000000000001
MSC02,MSC06,0.9875,1.0,0.975,0.8862500000000001,0.9574999999999999,0.8149999999999998
MSC02,MSC07,0.9875,1.0,0.975,0.7429166666666667,0.9974999999999999,0.4883333333333334
MSC02,MSC10,0.9875,1.0,0.975,0.7975,0.8275,0.7675
MSC03,MSC01,0.96875,1.0,0.9375,0.8609375000000001,0.79375,0.9281249999999999
MSC03,MSC02,0.96875,1.0,0.9375,0.7109375,0.99375,0.428125
MSC03,MSC04,0.96875,1.0,0.9375,0.8265625000000001,0.8781249999999999,0.775
MSC03,MSC05,0.96875,1.0,0.9375,0.8359374999999999,1.0,0.6718750000000001
MSC03,MSC06,0.96875,1.0,0.9375,0.817578125,0.7804687499999999,0.8546875
MSC03,MSC07,0.96875,1.0,0.9375,0.79375,0.7593750000000001,0.8281249999999999
MSC03,MSC10,0.96875,1.0,0.9375,0.846875,0.821875,0.8718750000000001
MSC04,MSC01,0.9875,1.0,0.975,0.605,1.0,0.21000000000000002
MSC04,MSC02,0.9875,1.0,0.975,0.5275000000000001,1.0,0.05500000000000001
MSC04,MSC03,0.9875,1.0,0.975,0.58375,1.0,0.16749999999999998
MSC04,MSC05,0.9875,1.0,0.975,0.9175000000000001,1.0,0.835
MSC04,MSC06,0.9875,1.0,0.975,0.6612500000000001,1.0,0.3225
MSC04,MSC07,0.9875,1.0,0.975,0.6449999999999999,1.0,0.29
MSC04,MSC10,0.9875,1.0,0.975,0.6475000000000001,1.0,0.295
MSC05,MSC01,0.9875,1.0,0.975,0.6625,0.9625,0.36249999999999993
MSC05,MSC02,0.9875,1.0,0.975,0.605,0.9899999999999999,0.22000000000000003
MSC05,MSC03,0.9875,1.0,0.975,0.7633333333333333,0.9924999999999999,0.5341666666666667
MSC05,MSC04,0.9875,1.0,0.975,0.84375,0.9075,0.7799999999999999
MSC05,MSC06,0.9875,1.0,0.975,0.7766666666666666,0.95,0.6033333333333333
MSC05,MSC07,0.9875,1.0,0.975,0.6929166666666666,0.9324999999999999,0.4533333333333333
MSC05,MSC10,0.9875,1.0,0.975,0.7725000000000002,0.9599999999999997,0.5850000000000001
MSC06,MSC01,0.9722222222222222,1.0,0.9444444444444444,0.8756172839506173,0.973456790123457,0.7777777777777778
MSC06,MSC02,0.9722222222222222,1.0,0.9444444444444444,0.8731481481481482,0.8061728395061729,0.9401234567901233
MSC06,MSC03,0.9722222222222222,1.0,0.9444444444444444,0.7895061728395061,0.947530864197531,0.6314814814814815
MSC06,MSC04,0.9722222222222222,1.0,0.9444444444444444,0.9453703703703703,1.0,0.8907407407407408
MSC06,MSC05,0.9722222222222222,1.0,0.9444444444444444,0.9274691358024693,0.8771604938271604,0.9777777777777779
MSC06,MSC07,0.9722222222222222,1.0,0.9444444444444444,0.6719135802469135,0.9938271604938271,0.3499999999999999
MSC06,MSC10,0.9722222222222222,1.0,0.9444444444444444,0.7290123456790124,0.9728395061728394,0.48518518518518516
MSC07,MSC01,0.9861111111111112,1.0,0.9722222222222222,0.791358024691358,1.0,0.5827160493827159
MSC07,MSC02,0.9861111111111112,1.0,0.9722222222222222,0.8293209876543209,0.9530864197530864,0.7055555555555555
MSC07,MSC03,0.9861111111111112,1.0,0.9722222222222222,0.669753086419753,0.8364197530864197,0.5030864197530864
MSC07,MSC04,0.9861111111111112,1.0,0.9722222222222222,0.8953703703703706,0.9123456790123458,0.878395061728395
MSC07,MSC05,0.9861111111111112,1.0,0.9722222222222222,0.9200617283950616,0.9166666666666666,0.9234567901234567
MSC07,MSC06,0.9861111111111112,1.0,0.9722222222222222,0.8274691358024691,0.6969135802469135,0.9580246913580248
MSC07,MSC10,0.9861111111111112,1.0,0.9722222222222222,0.7854938271604939,0.8641975308641977,0.7067901234567902
MSC10,MSC01,0.9625,0.975,0.95,0.54375,1.0,0.0875
MSC10,MSC02,0.9625,0.975,0.95,0.54875,1.0,0.0975
MSC10,MSC03,0.9625,0.975,0.95,0.5225000000000001,1.0,0.045
MSC10,MSC04,0.9625,0.975,0.95,0.61625,0.9974999999999999,0.23500000000000001
MSC10,MSC05,0.9625,0.975,0.95,0.6075,1.0,0.21500000000000002
MSC10,MSC06,0.9625,0.975,0.95,0.6941666666666666,1.0,0.3883333333333333
MSC10,MSC07,0.9625,0.975,0.95,0.6695833333333333,0.9774999999999998,0.3616666666666667
