,train_sub,Analysis,acc,Network_A,Network_B
0,MSC01,Same Subject,0.7874999999999999,unassign,unassign
1,MSC02,Same Subject,0.8499999999999999,unassign,unassign
2,MSC03,Same Subject,0.828125,unassign,unassign
3,MSC04,Same Subject,0.9375,unassign,unassign
4,MSC05,Same Subject,0.75,unassign,unassign
5,MSC06,Same Subject,0.8194444444444445,unassign,unassign
6,MSC07,Same Subject,0.8888888888888891,unassign,unassign
7,MSC10,Same Subject,0.7874999999999999,unassign,unassign
8,MSC01,Different Subject,0.5448603769648074,unassign,unassign
9,MSC02,Different Subject,0.563993079705105,unassign,unassign
10,MSC03,Different Subject,0.54975171848194,unassign,unassign
11,MSC04,Different Subject,0.5529499930449299,unassign,unassign
12,MSC05,Different Subject,0.5047845666991237,unassign,unassign
13,MSC06,Different Subject,0.5740501821198024,unassign,unassign
14,MSC07,Different Subject,0.5558608058608059,unassign,unassign
15,MSC10,Different Subject,0.5445501808318264,unassign,unassign
0,MSC01,Same Subject,0.9249999999999999,default,default
1,MSC02,Same Subject,0.8875000000000001,default,default
2,MSC03,Same Subject,0.859375,default,default
3,MSC04,Same Subject,0.9124999999999999,default,default
4,MSC05,Same Subject,0.9749999999999999,default,default
5,MSC06,Same Subject,0.9861111111111109,default,default
6,MSC07,Same Subject,0.9305555555555555,default,default
7,MSC10,Same Subject,0.9500000000000001,default,default
8,MSC01,Different Subject,0.6501266981963185,default,default
9,MSC02,Different Subject,0.5719354221727639,default,default
10,MSC03,Different Subject,0.5874811633514165,default,default
11,MSC04,Different Subject,0.6497559349932767,default,default
12,MSC05,Different Subject,0.6568772314183706,default,default
13,MSC06,Different Subject,0.6356786087798747,default,default
14,MSC07,Different Subject,0.7127543752543753,default,default
15,MSC10,Different Subject,0.5639148931237539,default,default
0,MSC01,Same Subject,0.9625000000000001,visual,visual
1,MSC02,Same Subject,0.9625000000000001,visual,visual
2,MSC03,Same Subject,0.953125,visual,visual
3,MSC04,Same Subject,0.9375,visual,visual
4,MSC05,Same Subject,0.9249999999999999,visual,visual
5,MSC06,Same Subject,0.875,visual,visual
6,MSC07,Same Subject,0.9027777777777778,visual,visual
7,MSC10,Same Subject,0.9249999999999999,visual,visual
8,MSC01,Different Subject,0.5992368549172348,visual,visual
9,MSC02,Different Subject,0.5612175430055177,visual,visual
10,MSC03,Different Subject,0.6186079282004915,visual,visual
11,MSC04,Different Subject,0.5586538461538463,visual,visual
12,MSC05,Different Subject,0.5586044651550981,visual,visual
13,MSC06,Different Subject,0.6884326877997765,visual,visual
14,MSC07,Different Subject,0.6523911273911275,visual,visual
15,MSC10,Different Subject,0.6098189942968423,visual,visual
0,MSC01,Same Subject,0.9625000000000001,fp,fp
1,MSC02,Same Subject,0.8499999999999999,fp,fp
