train_sub,test_sub,cv_acc,acc
MSC01,MSC02,0.975,0.5175
MSC01,MSC03,0.975,0.5075
MSC01,MSC04,0.975,0.635
MSC01,MSC05,0.975,0.5800000000000001
MSC01,MSC06,0.975,0.7582142857142856
MSC01,MSC07,0.975,0.5050000000000001
MSC01,MSC10,0.975,0.5175000000000001
MSC02,MSC01,0.9875,0.9199999999999999
MSC02,MSC03,0.9875,0.7725000000000001
MSC02,MSC04,0.9875,0.8850000000000001
MSC02,MSC05,0.9875,0.905
MSC02,MSC06,0.9875,0.8578571428571428
MSC02,MSC07,0.9875,0.7224999999999999
MSC02,MSC10,0.9875,0.7825
MSC03,MSC01,0.975,0.5824999999999999
MSC03,MSC02,0.975,0.5875
MSC03,MSC04,0.975,0.7049999999999998
MSC03,MSC05,0.975,0.7474999999999999
MSC03,MSC06,0.975,0.7171428571428571
MSC03,MSC07,0.975,0.695
MSC03,MSC10,0.975,0.6449999999999999
MSC04,MSC01,0.975,0.6050000000000001
MSC04,MSC02,0.975,0.535
MSC04,MSC03,0.975,0.5925
MSC04,MSC05,0.975,0.8724999999999999
MSC04,MSC06,0.975,0.677142857142857
MSC04,MSC07,0.975,0.6225
MSC04,MSC10,0.975,0.6625
MSC05,MSC01,0.9875,0.66
MSC05,MSC02,0.9875,0.5975
MSC05,MSC03,0.9875,0.77
MSC05,MSC04,0.9875,0.8200000000000001
MSC05,MSC06,0.9875,0.7707142857142857
MSC05,MSC07,0.9875,0.6799999999999999
MSC05,MSC10,0.9875,0.7725
MSC06,MSC01,0.975,0.6725
MSC06,MSC02,0.975,0.7525
MSC06,MSC03,0.975,0.65
MSC06,MSC04,0.975,0.8325000000000001
MSC06,MSC05,0.975,0.905
MSC06,MSC07,0.975,0.565
MSC06,MSC10,0.975,0.6
MSC07,MSC01,1.0,0.6599999999999999
MSC07,MSC02,1.0,0.59
MSC07,MSC03,1.0,0.6174999999999999
MSC07,MSC04,1.0,0.8300000000000001
MSC07,MSC05,1.0,0.8150000000000001
MSC07,MSC06,1.0,0.8464285714285713
MSC07,MSC10,1.0,0.6900000000000001
MSC10,MSC01,0.9625,0.5425000000000001
MSC10,MSC02,0.9625,0.5625
MSC10,MSC03,0.9625,0.5475
MSC10,MSC04,0.9625,0.645
MSC10,MSC05,0.9625,0.625
MSC10,MSC06,0.9625,0.6957142857142857
MSC10,MSC07,0.9625,0.67
