train_sub,test_sub,cv_acc,acc,numComponent
MSC01,MSC02,0.975,0.5774999999999999,100
MSC01,MSC03,0.9625,0.5971428571428572,100
MSC01,MSC04,0.9875,0.7250000000000001,100
MSC01,MSC05,0.975,0.7274999999999999,100
MSC01,MSC06,0.95,0.7564285714285715,100
MSC01,MSC07,0.9875,0.5900000000000001,100
MSC01,MSC10,0.95,0.5900000000000001,100
MSC02,MSC01,0.9875,0.8825,100
MSC02,MSC03,0.925,0.7267857142857143,100
MSC02,MSC04,0.9875,0.8524999999999998,100
MSC02,MSC05,0.95,0.8550000000000001,100
MSC02,MSC06,0.9875,0.8553571428571429,100
MSC02,MSC07,0.95,0.6721428571428572,100
MSC02,MSC10,0.9875,0.7424999999999999,100
MSC03,MSC01,0.95,0.6925,100
MSC03,MSC02,0.975,0.7325,100
MSC03,MSC04,0.975,0.72,100
MSC03,MSC05,0.95,0.8725000000000002,100
MSC03,MSC06,0.975,0.6867857142857143,100
MSC03,MSC07,0.975,0.6864285714285714,100
MSC03,MSC10,0.9375,0.7675,100
MSC04,MSC01,0.9875,0.59,100
MSC04,MSC02,0.9625,0.5674999999999999,100
MSC04,MSC03,0.9875,0.6060714285714286,100
MSC04,MSC05,0.975,0.8775000000000001,100
MSC04,MSC06,0.975,0.7632142857142858,100
MSC04,MSC07,0.9625,0.5821428571428571,100
MSC04,MSC10,0.9875,0.635,100
MSC05,MSC01,0.9875,0.6125,100
MSC05,MSC02,0.9875,0.5125,100
MSC05,MSC03,0.9875,0.6185714285714285,100
MSC05,MSC04,0.9875,0.7325000000000002,100
MSC05,MSC06,0.9875,0.6549999999999999,100
MSC05,MSC07,0.9875,0.6307142857142857,100
MSC05,MSC10,0.9875,0.6025,100
MSC06,MSC01,0.975,0.8075000000000001,100
MSC06,MSC02,0.9625,0.8425,100
MSC06,MSC03,0.975,0.7228571428571429,100
MSC06,MSC04,0.9375,0.8699999999999999,100
MSC06,MSC05,0.9875,0.915,100
MSC06,MSC07,0.9625,0.5925,100
MSC06,MSC10,0.95,0.6275000000000001,100
MSC07,MSC01,0.975,0.78,100
MSC07,MSC02,0.975,0.6875,100
MSC07,MSC03,0.9625,0.6107142857142857,100
MSC07,MSC04,0.9375,0.765,100
MSC07,MSC05,0.95,0.8,100
MSC07,MSC06,0.9625,0.7775000000000001,100
MSC07,MSC10,0.9625,0.6975,100
MSC10,MSC01,0.9125,0.5599999999999999,100
MSC10,MSC02,0.9,0.5675,100
MSC10,MSC03,0.9125,0.6139285714285714,100
MSC10,MSC04,0.9,0.7074999999999999,100
MSC10,MSC05,0.9,0.6950000000000001,100
MSC10,MSC06,0.9125,0.79,100
MSC10,MSC07,0.9,0.6692857142857143,100
MSC01,MSC02,0.975,0.58,113
MSC01,MSC03,0.975,0.61,113
MSC01,MSC04,0.975,0.7225000000000001,113
MSC01,MSC05,0.975,0.735,113
MSC01,MSC06,0.9375,0.7810714285714286,113
MSC01,MSC07,0.9875,0.5635714285714285,113
MSC01,MSC10,0.975,0.575,113
MSC02,MSC01,0.9875,0.8875,113
MSC02,MSC03,0.95,0.7335714285714285,113
MSC02,MSC04,0.975,0.8549999999999999,113
MSC02,MSC05,0.95,0.8525,113
MSC02,MSC06,0.975,0.8699999999999999,113
MSC02,MSC07,0.975,0.6889285714285716,113
MSC02,MSC10,0.975,0.7350000000000001,113
MSC03,MSC01,0.9625,0.6725000000000001,113
MSC03,MSC02,0.975,0.7200000000000001,113
MSC03,MSC04,0.975,0.7425,113
MSC03,MSC05,0.95,0.8724999999999999,113
MSC03,MSC06,0.9375,0.6957142857142856,113
MSC03,MSC07,0.9875,0.6889285714285714,113
MSC03,MSC10,0.975,0.7850000000000001,113
MSC04,MSC01,0.975,0.5874999999999999,113
MSC04,MSC02,0.975,0.58,113
MSC04,MSC03,0.975,0.6164285714285714,113
MSC04,MSC05,0.9875,0.8949999999999999,113
MSC04,MSC06,0.9875,0.7339285714285714,113
MSC04,MSC07,0.9875,0.5871428571428571,113
MSC04,MSC10,0.975,0.6399999999999999,113
MSC05,MSC01,0.9875,0.6124999999999999,113
MSC05,MSC02,0.9875,0.5149999999999999,113
MSC05,MSC03,0.9875,0.6357142857142858,113
MSC05,MSC04,0.9875,0.735,113
MSC05,MSC06,0.9875,0.6757142857142858,113
MSC05,MSC07,0.9875,0.6292857142857142,113
MSC05,MSC10,0.9875,0.605,113
MSC06,MSC01,0.95,0.805,113
MSC06,MSC02,0.975,0.8375,113
MSC06,MSC03,0.975,0.7232142857142857,113
MSC06,MSC04,0.9375,0.875,113
MSC06,MSC05,0.9625,0.8949999999999999,113
MSC06,MSC07,0.95,0.5817857142857144,113
MSC06,MSC10,0.9375,0.6125,113
MSC07,MSC01,0.975,0.7425,113
MSC07,MSC02,0.9375,0.6649999999999999,113
MSC07,MSC03,0.975,0.6174999999999999,113
MSC07,MSC04,0.975,0.7825,113
MSC07,MSC05,0.95,0.78,113
MSC07,MSC06,0.9625,0.8010714285714287,113
MSC07,MSC10,0.9375,0.715,113
MSC10,MSC01,0.9125,0.5675,113
MSC10,MSC02,0.9125,0.5475000000000001,113
MSC10,MSC03,0.9125,0.5978571428571429,113
MSC10,MSC04,0.9125,0.7150000000000001,113
MSC10,MSC05,0.9,0.68,113
MSC10,MSC06,0.9,0.7821428571428571,113
MSC10,MSC07,0.9,0.6564285714285714,113
MSC01,MSC02,0.975,0.5700000000000001,128
MSC01,MSC03,0.975,0.5989285714285714,128
MSC01,MSC04,0.95,0.735,128
MSC01,MSC05,0.9625,0.72,128
MSC01,MSC06,0.95,0.8214285714285714,128
MSC01,MSC07,0.95,0.625357142857143,128
MSC01,MSC10,0.9875,0.575,128
MSC02,MSC01,0.975,0.8625,128
MSC02,MSC03,0.9875,0.7078571428571429,128
MSC02,MSC04,0.9875,0.8524999999999998,128
MSC02,MSC05,0.9875,0.865,128
MSC02,MSC06,0.9875,0.8589285714285714,128
MSC02,MSC07,0.9875,0.6853571428571428,128
MSC02,MSC10,0.925,0.74,128
MSC03,MSC01,0.95,0.6825,128
MSC03,MSC02,0.9875,0.7325,128
MSC03,MSC04,0.975,0.7225,128
MSC03,MSC05,0.975,0.85,128
MSC03,MSC06,0.95,0.6717857142857142,128
MSC03,MSC07,0.9375,0.6960714285714285,128
MSC03,MSC10,0.9375,0.785,128
MSC04,MSC01,0.9625,0.5925,128
MSC04,MSC02,0.9875,0.5675000000000001,128
MSC04,MSC03,0.9875,0.5896428571428572,128
MSC04,MSC05,0.9875,0.885,128
MSC04,MSC06,0.95,0.7467857142857143,128
MSC04,MSC07,0.9625,0.5953571428571429,128
MSC04,MSC10,0.975,0.625,128
MSC05,MSC01,0.9875,0.6174999999999999,128
MSC05,MSC02,0.9875,0.5125,128
MSC05,MSC03,0.9875,0.6239285714285714,128
MSC05,MSC04,0.9875,0.73,128
MSC05,MSC06,0.9875,0.6832142857142857,128
MSC05,MSC07,0.9875,0.6182142857142857,128
MSC05,MSC10,0.9875,0.6075,128
MSC06,MSC01,0.9875,0.79,128
MSC06,MSC02,0.9625,0.8049999999999999,128
MSC06,MSC03,0.95,0.7078571428571429,128
MSC06,MSC04,0.9625,0.885,128
MSC06,MSC05,0.975,0.9199999999999999,128
MSC06,MSC07,0.975,0.6067857142857143,128
MSC06,MSC10,0.9625,0.61,128
MSC07,MSC01,0.975,0.78,128
MSC07,MSC02,0.975,0.6775,128
MSC07,MSC03,0.95,0.6121428571428572,128
MSC07,MSC04,0.975,0.7725000000000001,128
MSC07,MSC05,0.9625,0.7975,128
MSC07,MSC06,0.9625,0.7696428571428571,128
MSC07,MSC10,0.975,0.7025,128
MSC10,MSC01,0.925,0.57,128
MSC10,MSC02,0.9,0.5449999999999999,128
MSC10,MSC03,0.9125,0.5967857142857143,128
MSC10,MSC04,0.8875,0.7175,128
MSC10,MSC05,0.9125,0.6875,128
MSC10,MSC06,0.9125,0.7799999999999999,128
MSC10,MSC07,0.9125,0.6582142857142858,128
MSC01,MSC02,0.9875,0.5825,146
MSC01,MSC03,0.9875,0.5582142857142858,146
MSC01,MSC04,0.9875,0.7375,146
MSC01,MSC05,0.975,0.7374999999999999,146
MSC01,MSC06,0.9875,0.8064285714285715,146
MSC01,MSC07,0.9875,0.6100000000000001,146
MSC01,MSC10,0.975,0.585,146
MSC02,MSC01,0.9875,0.8699999999999999,146
MSC02,MSC03,0.9875,0.7178571428571427,146
MSC02,MSC04,0.9625,0.86,146
MSC02,MSC05,0.95,0.8675,146
MSC02,MSC06,0.975,0.8810714285714285,146
MSC02,MSC07,0.975,0.6835714285714285,146
MSC02,MSC10,0.975,0.74,146
MSC03,MSC01,0.9375,0.6775,146
MSC03,MSC02,0.95,0.7300000000000001,146
MSC03,MSC04,0.95,0.7475,146
MSC03,MSC05,0.9375,0.86,146
MSC03,MSC06,0.95,0.677142857142857,146
MSC03,MSC07,0.95,0.6946428571428571,146
MSC03,MSC10,0.975,0.785,146
MSC04,MSC01,0.9875,0.5925,146
MSC04,MSC02,0.975,0.545,146
MSC04,MSC03,0.9875,0.6053571428571429,146
MSC04,MSC05,0.9625,0.8775000000000001,146
MSC04,MSC06,0.9625,0.7592857142857143,146
MSC04,MSC07,0.95,0.5935714285714286,146
MSC04,MSC10,0.975,0.64,146
MSC05,MSC01,0.9875,0.6050000000000001,146
MSC05,MSC02,0.9875,0.5174999999999998,146
MSC05,MSC03,0.9875,0.6517857142857142,146
MSC05,MSC04,0.9875,0.7275,146
MSC05,MSC06,0.9875,0.6607142857142857,146
MSC05,MSC07,0.9875,0.6332142857142856,146
MSC05,MSC10,0.9875,0.59,146
MSC06,MSC01,0.975,0.805,146
MSC06,MSC02,0.95,0.8275,146
MSC06,MSC03,0.95,0.7146428571428571,146
MSC06,MSC04,0.95,0.8899999999999999,146
MSC06,MSC05,0.9375,0.8875,146
MSC06,MSC07,0.9875,0.5921428571428571,146
MSC06,MSC10,0.9625,0.6049999999999999,146
MSC07,MSC01,0.9625,0.745,146
MSC07,MSC02,0.9625,0.675,146
MSC07,MSC03,0.9625,0.6117857142857142,146
MSC07,MSC04,0.9625,0.7699999999999999,146
MSC07,MSC05,0.9625,0.8225000000000001,146
MSC07,MSC06,0.95,0.7621428571428572,146
MSC07,MSC10,0.95,0.725,146
MSC10,MSC01,0.9125,0.5599999999999999,146
MSC10,MSC02,0.9,0.55,146
MSC10,MSC03,0.9,0.5928571428571427,146
MSC10,MSC04,0.9,0.7074999999999999,146
MSC10,MSC05,0.925,0.675,146
MSC10,MSC06,0.9,0.775,146
MSC10,MSC07,0.8875,0.6760714285714287,146
MSC01,MSC02,0.9625,0.5725,166
MSC01,MSC03,0.9625,0.5867857142857142,166
MSC01,MSC04,0.9875,0.7274999999999999,166
MSC01,MSC05,0.975,0.7625,166
MSC01,MSC06,0.975,0.8132142857142857,166
MSC01,MSC07,0.975,0.5821428571428571,166
MSC01,MSC10,0.9625,0.585,166
MSC02,MSC01,0.925,0.8525,166
MSC02,MSC03,0.975,0.7292857142857143,166
MSC02,MSC04,0.975,0.86,166
MSC02,MSC05,0.9625,0.8775000000000001,166
MSC02,MSC06,0.925,0.8478571428571428,166
MSC02,MSC07,0.9875,0.6842857142857143,166
MSC02,MSC10,0.925,0.7474999999999999,166
MSC03,MSC01,0.95,0.6925000000000001,166
MSC03,MSC02,0.95,0.7224999999999999,166
MSC03,MSC04,0.925,0.7375,166
MSC03,MSC05,0.95,0.8649999999999999,166
MSC03,MSC06,0.95,0.6721428571428572,166
MSC03,MSC07,0.95,0.6921428571428571,166
MSC03,MSC10,0.975,0.7275,166
MSC04,MSC01,0.975,0.6024999999999999,166
MSC04,MSC02,0.95,0.5575000000000001,166
MSC04,MSC03,0.9875,0.5964285714285713,166
MSC04,MSC05,0.975,0.8825,166
MSC04,MSC06,0.975,0.7449999999999999,166
MSC04,MSC07,0.975,0.5682142857142857,166
MSC04,MSC10,0.9625,0.6325000000000001,166
MSC05,MSC01,0.9875,0.6199999999999999,166
MSC05,MSC02,0.9875,0.5075,166
MSC05,MSC03,0.9875,0.6367857142857142,166
MSC05,MSC04,0.9875,0.735,166
MSC05,MSC06,0.9875,0.6767857142857142,166
MSC05,MSC07,0.9875,0.6332142857142856,166
MSC05,MSC10,0.9875,0.6050000000000001,166
MSC06,MSC01,0.9375,0.7924999999999999,166
MSC06,MSC02,0.9625,0.8550000000000001,166
MSC06,MSC03,0.9875,0.7042857142857143,166
MSC06,MSC04,0.975,0.875,166
MSC06,MSC05,0.9625,0.9225000000000001,166
MSC06,MSC07,0.975,0.5953571428571428,166
MSC06,MSC10,0.975,0.62,166
MSC07,MSC01,0.9625,0.73,166
MSC07,MSC02,0.9625,0.6799999999999999,166
MSC07,MSC03,0.95,0.6089285714285714,166
MSC07,MSC04,0.95,0.7899999999999999,166
MSC07,MSC05,0.95,0.8400000000000001,166
MSC07,MSC06,0.9625,0.7992857142857142,166
MSC07,MSC10,0.95,0.6825,166
MSC10,MSC01,0.9,0.5475,166
MSC10,MSC02,0.9,0.5625,166
MSC10,MSC03,0.9125,0.5967857142857143,166
MSC10,MSC04,0.9125,0.7174999999999999,166
MSC10,MSC05,0.9125,0.6825,166
MSC10,MSC06,0.8875,0.7910714285714284,166
MSC10,MSC07,0.9,0.6449999999999999,166
MSC01,MSC02,0.975,0.585,188
MSC01,MSC03,0.9875,0.6114285714285714,188
MSC01,MSC04,0.9625,0.7125,188
MSC01,MSC05,0.975,0.7150000000000001,188
MSC01,MSC06,0.975,0.8128571428571428,188
MSC01,MSC07,0.975,0.5853571428571428,188
MSC01,MSC10,0.975,0.5900000000000001,188
MSC02,MSC01,0.9875,0.8875,188
MSC02,MSC03,0.9875,0.7014285714285714,188
MSC02,MSC04,0.925,0.85,188
MSC02,MSC05,0.975,0.86,188
MSC02,MSC06,0.975,0.8846428571428572,188
MSC02,MSC07,0.975,0.6746428571428571,188
MSC02,MSC10,0.925,0.7575000000000001,188
MSC03,MSC01,0.925,0.6950000000000001,188
MSC03,MSC02,0.95,0.7274999999999999,188
MSC03,MSC04,0.95,0.7375,188
MSC03,MSC05,0.975,0.8400000000000001,188
MSC03,MSC06,0.9375,0.6725000000000001,188
MSC03,MSC07,0.95,0.6900000000000001,188
MSC03,MSC10,0.975,0.7375,188
MSC04,MSC01,0.975,0.6,188
MSC04,MSC02,0.975,0.5599999999999999,188
MSC04,MSC03,0.9875,0.615,188
MSC04,MSC05,0.9625,0.8575000000000002,188
MSC04,MSC06,0.975,0.7360714285714286,188
MSC04,MSC07,0.975,0.5824999999999999,188
MSC04,MSC10,0.975,0.6300000000000001,188
MSC05,MSC01,0.9875,0.6224999999999999,188
MSC05,MSC02,0.9875,0.5175,188
MSC05,MSC03,0.9875,0.6257142857142857,188
MSC05,MSC04,0.9875,0.7350000000000001,188
MSC05,MSC06,0.9875,0.6674999999999999,188
MSC05,MSC07,0.9875,0.6228571428571429,188
MSC05,MSC10,0.9875,0.595,188
MSC06,MSC01,0.9625,0.8025,188
MSC06,MSC02,0.975,0.85,188
MSC06,MSC03,0.95,0.7053571428571429,188
MSC06,MSC04,0.975,0.8675,188
MSC06,MSC05,0.975,0.9,188
MSC06,MSC07,0.95,0.5871428571428571,188
MSC06,MSC10,0.95,0.63,188
MSC07,MSC01,0.95,0.7449999999999999,188
MSC07,MSC02,0.9625,0.6775,188
MSC07,MSC03,0.975,0.6142857142857143,188
MSC07,MSC04,0.95,0.79,188
MSC07,MSC05,0.975,0.8125,188
MSC07,MSC06,0.95,0.7975,188
MSC07,MSC10,0.9625,0.71,188
MSC10,MSC01,0.9,0.5574999999999999,188
MSC10,MSC02,0.9,0.5675000000000001,188
MSC10,MSC03,0.9,0.5946428571428571,188
MSC10,MSC04,0.9125,0.7150000000000001,188
MSC10,MSC05,0.9375,0.6925000000000001,188
MSC10,MSC06,0.9125,0.7617857142857143,188
MSC10,MSC07,0.9,0.6592857142857143,188
MSC01,MSC02,0.975,0.5725,214
MSC01,MSC03,0.975,0.584642857142857,214
MSC01,MSC04,0.9875,0.73,214
MSC01,MSC05,0.9875,0.72,214
