train_sub,test_sub,cv_acc,acc,var
MSC01,MSC02,0.825,0.5525,0.05
MSC01,MSC03,0.85,0.5667857142857142,0.05
MSC01,MSC04,0.8375,0.6775,0.05
MSC01,MSC05,0.825,0.515,0.05
MSC01,MSC06,0.825,0.5332142857142858,0.05
MSC01,MSC07,0.8375,0.6971428571428572,0.05
MSC01,MSC10,0.85,0.7,0.05
MSC02,MSC01,0.6875,0.5449999999999999,0.05
MSC02,MSC03,0.65,0.40428571428571425,0.05
MSC02,MSC04,0.675,0.6375,0.05
MSC02,MSC05,0.6625,0.4425,0.05
MSC02,MSC06,0.6875,0.6825,0.05
MSC02,MSC07,0.675,0.5053571428571428,0.05
MSC02,MSC10,0.675,0.5225,0.05
MSC03,MSC01,0.4625,0.49000000000000005,0.05
MSC03,MSC02,0.5,0.48,0.05
MSC03,MSC04,0.525,0.48,0.05
MSC03,MSC05,0.4,0.6425,0.05
MSC03,MSC06,0.4875,0.5110714285714286,0.05
MSC03,MSC07,0.5625,0.4149999999999999,0.05
MSC03,MSC10,0.55,0.39499999999999996,0.05
MSC04,MSC01,0.925,0.665,0.05
MSC04,MSC02,0.925,0.6375,0.05
MSC04,MSC03,0.8875,0.5767857142857142,0.05
MSC04,MSC05,0.9,0.6699999999999999,0.05
MSC04,MSC06,0.925,0.7889285714285715,0.05
MSC04,MSC07,0.95,0.5510714285714287,0.05
MSC04,MSC10,0.8875,0.6425,0.05
MSC05,MSC01,0.9625,0.74,0.05
MSC05,MSC02,0.975,0.595,0.05
MSC05,MSC03,0.975,0.8314285714285713,0.05
MSC05,MSC04,0.975,0.7175,0.05
MSC05,MSC06,0.975,0.7653571428571428,0.05
MSC05,MSC07,0.975,0.6471428571428571,0.05
MSC05,MSC10,0.975,0.7025,0.05
MSC06,MSC01,0.7375,0.5,0.05
MSC06,MSC02,0.7,0.5,0.05
MSC06,MSC03,0.7375,0.5,0.05
MSC06,MSC04,0.7375,0.5075,0.05
MSC06,MSC05,0.7625,0.5,0.05
MSC06,MSC07,0.775,0.5,0.05
MSC06,MSC10,0.7625,0.505,0.05
MSC07,MSC01,0.375,0.5,0.05
MSC07,MSC02,0.3875,0.4875,0.05
MSC07,MSC03,0.425,0.5103571428571427,0.05
