train_sub,test_sub,cv_acc,cv_sen,cv_spec,acc,ds_sen,ds_spec
MSC01,MSC02,1.0,1.0,1.0,0.5,0.0,1.0
MSC01,MSC03,1.0,1.0,1.0,0.525,0.05,1.0
MSC01,MSC04,1.0,1.0,1.0,0.5,0.0,1.0
MSC01,MSC05,1.0,1.0,1.0,0.5,0.0,1.0
MSC01,MSC07,1.0,1.0,1.0,0.5125,0.025,1.0
MSC01,MSC10,1.0,1.0,1.0,0.5,0.0,1.0
MSC02,MSC01,1.0,1.0,1.0,0.5,0.0,1.0
MSC02,MSC03,1.0,1.0,1.0,0.525,0.05,1.0
MSC02,MSC04,1.0,1.0,1.0,0.5,0.0,1.0
MSC02,MSC05,1.0,1.0,1.0,0.5,0.0,1.0
MSC02,MSC07,1.0,1.0,1.0,0.5125,0.025,1.0
MSC02,MSC10,1.0,1.0,1.0,0.5,0.0,1.0
MSC03,MSC01,1.0,1.0,1.0,0.51,0.02,1.0
MSC03,MSC02,1.0,1.0,1.0,0.5,0.0,1.0
MSC03,MSC04,1.0,1.0,1.0,0.5,0.0,1.0
MSC03,MSC05,1.0,1.0,1.0,0.5,0.0,1.0
MSC03,MSC07,1.0,1.0,1.0,0.5125,0.025,1.0
MSC03,MSC10,1.0,1.0,1.0,0.5,0.0,1.0
MSC04,MSC01,1.0,1.0,1.0,0.5375,0.075,1.0
MSC04,MSC02,1.0,1.0,1.0,0.5,0.0,1.0
MSC04,MSC03,1.0,1.0,1.0,0.525,0.05,1.0
MSC04,MSC05,1.0,1.0,1.0,0.5,0.0,1.0
MSC04,MSC07,1.0,1.0,1.0,0.5125,0.025,1.0
MSC04,MSC10,1.0,1.0,1.0,0.5,0.0,1.0
MSC05,MSC01,1.0,1.0,1.0,0.575,0.15,1.0
MSC05,MSC02,1.0,1.0,1.0,0.5,0.0,1.0
MSC05,MSC03,1.0,1.0,1.0,0.525,0.05,1.0
MSC05,MSC04,1.0,1.0,1.0,0.5,0.0,1.0
MSC05,MSC07,1.0,1.0,1.0,0.5125,0.025,1.0
MSC05,MSC10,1.0,1.0,1.0,0.5,0.0,1.0
MSC07,MSC01,1.0,1.0,1.0,0.5,0.0,1.0
MSC07,MSC02,1.0,1.0,1.0,0.5,0.0,1.0
MSC07,MSC03,1.0,1.0,1.0,0.525,0.05,1.0
MSC07,MSC04,1.0,1.0,1.0,0.5,0.0,1.0
MSC07,MSC05,1.0,1.0,1.0,0.5,0.0,1.0
MSC07,MSC10,1.0,1.0,1.0,0.5,0.0,1.0
MSC10,MSC01,1.0,1.0,1.0,0.5125,0.025,1.0
MSC10,MSC02,1.0,1.0,1.0,0.5,0.0,1.0
MSC10,MSC03,1.0,1.0,1.0,0.525,0.05,1.0
MSC10,MSC04,1.0,1.0,1.0,0.5,0.0,1.0
MSC10,MSC05,1.0,1.0,1.0,0.5,0.0,1.0
MSC10,MSC07,1.0,1.0,1.0,0.5125,0.025,1.0
