,train_sub,Analysis,acc,Network_A,Network_B
0,MSC01,Same Subject,0.932142857142857,unassign,default
1,MSC02,Same Subject,0.9357142857142857,unassign,default
2,MSC03,Same Subject,0.8839285714285715,unassign,default
3,MSC04,Same Subject,0.9767857142857143,unassign,default
4,MSC05,Same Subject,0.9339285714285712,unassign,default
5,MSC06,Same Subject,0.8250000000000001,unassign,default
6,MSC07,Same Subject,0.925,unassign,default
7,MSC10,Same Subject,0.9232142857142857,unassign,default
8,MSC01,Different Subject,0.6023979591836734,unassign,default
9,MSC02,Different Subject,0.6419387755102041,unassign,default
10,MSC03,Different Subject,0.5399999999999999,unassign,default
11,MSC04,Different Subject,0.6137755102040815,unassign,default
12,MSC05,Different Subject,0.6775000000000001,unassign,default
13,MSC06,Different Subject,0.649030612244898,unassign,default
14,MSC07,Different Subject,0.6515306122448979,unassign,default
15,MSC10,Different Subject,0.6191836734693876,unassign,default
0,MSC01,Same Subject,0.8875000000000001,unassign,visual
1,MSC02,Same Subject,0.9178571428571428,unassign,visual
2,MSC03,Same Subject,0.9482142857142856,unassign,visual
3,MSC04,Same Subject,0.9071428571428573,unassign,visual
4,MSC05,Same Subject,0.932142857142857,unassign,visual
5,MSC06,Same Subject,0.8232142857142858,unassign,visual
6,MSC07,Same Subject,0.8410714285714286,unassign,visual
7,MSC10,Same Subject,0.7571428571428571,unassign,visual
8,MSC01,Different Subject,0.6420918367346938,unassign,visual
9,MSC02,Different Subject,0.5966326530612245,unassign,visual
10,MSC03,Different Subject,0.6248979591836735,unassign,visual
11,MSC04,Different Subject,0.5773979591836734,unassign,visual
12,MSC05,Different Subject,0.6547448979591837,unassign,visual
13,MSC06,Different Subject,0.618469387755102,unassign,visual
14,MSC07,Different Subject,0.5916326530612245,unassign,visual
15,MSC10,Different Subject,0.5781632653061225,unassign,visual
0,MSC01,Same Subject,0.9607142857142856,unassign,fp
1,MSC02,Same Subject,0.9267857142857144,unassign,fp
2,MSC03,Same Subject,0.7142857142857143,unassign,fp
3,MSC04,Same Subject,0.9517857142857143,unassign,fp
4,MSC05,Same Subject,0.9160714285714285,unassign,fp
5,MSC06,Same Subject,0.9303571428571429,unassign,fp
6,MSC07,Same Subject,0.8375,unassign,fp
7,MSC10,Same Subject,0.8428571428571427,unassign,fp
8,MSC01,Different Subject,0.5139795918367346,unassign,fp
9,MSC02,Different Subject,0.5131632653061224,unassign,fp
10,MSC03,Different Subject,0.5248979591836734,unassign,fp
11,MSC04,Different Subject,0.5937244897959183,unassign,fp
12,MSC05,Different Subject,0.620765306122449,unassign,fp
13,MSC06,Different Subject,0.615561224489796,unassign,fp
14,MSC07,Different Subject,0.5833673469387755,unassign,fp
15,MSC10,Different Subject,0.5511224489795918,unassign,fp
0,MSC01,Same Subject,0.9142857142857144,unassign,dan
1,MSC02,Same Subject,0.9392857142857144,unassign,dan
2,MSC03,Same Subject,0.8535714285714286,unassign,dan
3,MSC04,Same Subject,0.932142857142857,unassign,dan
