train,task,same_subT,same_subR,diff_subT,diff_subR
MSC01,semantic,0.9,1.0,0.1407766990291262,0.998
MSC02,semantic,0.9,1.0,0.019417475728155338,0.999
MSC03,semantic,0.8,1.0,0.0028846153846153848,1.0
MSC04,semantic,0.9,1.0,0.08737864077669903,1.0
MSC05,semantic,0.9,1.0,0.28446601941747574,1.0
MSC06,semantic,0.9,1.0,0.17729468599033815,0.993
MSC07,semantic,1.0,1.0,0.004368932038834951,1.0
MSC10,semantic,0.8,1.0,0.26926829268292685,0.999
MSC01,glass,0.8,1.0,0.21407766990291263,1.0
MSC02,glass,0.6,1.0,0.013592233009708738,1.0
MSC03,glass,0.8,1.0,0.027403846153846154,1.0
MSC04,glass,0.9,1.0,0.4009708737864078,0.989
MSC05,glass,0.9,1.0,0.07864077669902912,1.0
MSC06,glass,0.5555555555555556,1.0,0.0853462157809984,1.0
MSC07,glass,0.8,1.0,0.02367149758454106,1.0
MSC10,glass,0.7,1.0,0.42475728155339804,0.97
MSC01,motor,1.0,1.0,0.5004830917874397,0.984
MSC02,motor,0.9,1.0,0.007246376811594203,1.0
MSC03,motor,0.9,1.0,0.10334928229665072,1.0
MSC04,motor,1.0,1.0,0.3917874396135266,0.989
MSC05,motor,1.0,1.0,0.08743961352657005,0.995
MSC06,motor,1.0,1.0,0.12393162393162394,1.0
MSC07,motor,1.0,1.0,0.18625872249060654,0.991111111111111
MSC10,motor,0.9,1.0,0.2207729468599034,0.99
MSC01,mem,1.0,1.0,0.7903846153846154,0.836
MSC02,mem,1.0,1.0,0.9028846153846154,0.91
MSC03,mem,0.875,1.0,0.15504807692307693,0.99875
MSC04,mem,1.0,1.0,0.7076923076923077,0.896
MSC05,mem,1.0,1.0,0.8081730769230769,0.917
MSC06,mem,1.0,1.0,0.7110047846889952,0.9369999999999999
MSC07,mem,1.0,1.0,0.7177884615384615,0.851
MSC10,mem,0.9,1.0,0.7256038647342995,0.795
