train_sub,test_sub,task,acc,spec,sen
MSC01,MSC02,glass,0.5650000000000001,1.0,0.13
MSC01,MSC02,semantic,0.8699999999999999,0.9800000000000001,0.7599999999999999
MSC01,MSC02,motor,0.925,0.9000000000000001,0.95
MSC01,MSC02,mem,0.8949999999999999,0.7899999999999999,1.0
MSC01,MSC03,glass,0.5149999999999999,1.0,0.030000000000000006
MSC01,MSC03,semantic,0.7999999999999998,1.0,0.6000000000000001
MSC01,MSC03,motor,0.925,1.0,0.8500000000000002
MSC01,MSC03,mem,0.77,0.5399999999999999,1.0
MSC01,MSC04,glass,0.65,1.0,0.3
MSC01,MSC04,semantic,0.6950000000000001,1.0,0.39
MSC01,MSC04,motor,0.9949999999999999,1.0,0.99
MSC01,MSC04,mem,0.89,0.78,1.0
MSC01,MSC05,glass,0.5499999999999999,1.0,0.09999999999999999
MSC01,MSC05,semantic,0.615,1.0,0.23000000000000004
MSC01,MSC05,motor,0.8850000000000001,1.0,0.7699999999999999
MSC01,MSC05,mem,0.9800000000000001,1.0,0.96
MSC01,MSC06,glass,0.5,1.0,0.0
MSC01,MSC06,semantic,0.5499999999999999,1.0,0.09999999999999999
MSC01,MSC06,motor,0.7599999999999999,1.0,0.52
MSC01,MSC06,mem,0.96,1.0,0.9200000000000002
MSC01,MSC07,glass,0.95,1.0,0.9
MSC01,MSC07,semantic,1.0,1.0,1.0
MSC01,MSC07,motor,0.9650000000000001,0.9400000000000001,0.99
MSC01,MSC07,mem,0.7300000000000001,0.45999999999999996,1.0
MSC01,MSC10,glass,0.57,1.0,0.14000000000000004
MSC01,MSC10,semantic,0.645,1.0,0.29
MSC01,MSC10,motor,0.985,1.0,0.97
MSC01,MSC10,mem,0.9400000000000001,0.89,0.99
MSC02,MSC01,glass,0.5,1.0,0.0
MSC02,MSC01,semantic,0.505,1.0,0.01
MSC02,MSC01,motor,0.5,1.0,0.0
MSC02,MSC01,mem,0.975,0.95,1.0
MSC02,MSC03,glass,0.5,1.0,0.0
MSC02,MSC03,semantic,0.51,1.0,0.02
MSC02,MSC03,motor,0.725,1.0,0.45
MSC02,MSC03,mem,0.7849999999999999,0.5700000000000001,1.0
MSC02,MSC04,glass,0.505,1.0,0.01
MSC02,MSC04,semantic,0.5,1.0,0.0
MSC02,MSC04,motor,0.5799999999999998,1.0,0.16
MSC02,MSC04,mem,0.9850000000000001,0.97,1.0
MSC02,MSC05,glass,0.505,1.0,0.01
MSC02,MSC05,semantic,0.5,1.0,0.0
MSC02,MSC05,motor,0.575,1.0,0.15000000000000002
MSC02,MSC05,mem,0.96,0.9199999999999999,1.0
MSC02,MSC06,glass,0.5,1.0,0.0
MSC02,MSC06,semantic,0.585,1.0,0.16999999999999998
MSC02,MSC06,motor,0.5499999999999999,1.0,0.09999999999999999
MSC02,MSC06,mem,0.9650000000000001,1.0,0.93
MSC02,MSC07,glass,0.61,1.0,0.22000000000000003
MSC02,MSC07,semantic,0.6650000000000001,0.99,0.33999999999999997
MSC02,MSC07,motor,0.5,1.0,0.0
MSC02,MSC07,mem,0.9,0.8,1.0
MSC02,MSC10,glass,0.5,1.0,0.0
MSC02,MSC10,semantic,0.5,1.0,0.0
MSC02,MSC10,motor,0.53,1.0,0.06
MSC02,MSC10,mem,0.975,0.99,0.96
MSC03,MSC01,glass,0.5,1.0,0.0
MSC03,MSC01,semantic,0.5,1.0,0.0
MSC03,MSC01,motor,0.7050000000000001,1.0,0.41
MSC03,MSC01,mem,0.51,0.02,1.0
MSC03,MSC02,glass,0.5,1.0,0.0
MSC03,MSC02,semantic,0.5,1.0,0.0
MSC03,MSC02,motor,0.9799999999999999,1.0,0.96
MSC03,MSC02,mem,0.57,0.14000000000000004,1.0
MSC03,MSC04,glass,0.5,1.0,0.0
MSC03,MSC04,semantic,0.5,1.0,0.0
MSC03,MSC04,motor,0.9349999999999999,1.0,0.8700000000000001
MSC03,MSC04,mem,0.8599999999999998,0.7200000000000001,1.0
MSC03,MSC05,glass,0.5549999999999999,1.0,0.10999999999999999
MSC03,MSC05,semantic,0.5399999999999998,1.0,0.08
MSC03,MSC05,motor,0.9000000000000001,1.0,0.7999999999999999
MSC03,MSC05,mem,0.8799999999999999,0.76,1.0
MSC03,MSC06,glass,0.5,1.0,0.0
MSC03,MSC06,semantic,0.5,1.0,0.0
MSC03,MSC06,motor,0.8049999999999999,1.0,0.61
MSC03,MSC06,mem,0.9400000000000001,0.8800000000000001,1.0
MSC03,MSC07,glass,0.5499999999999999,1.0,0.09999999999999999
MSC03,MSC07,semantic,0.5,1.0,0.0
MSC03,MSC07,motor,0.7750000000000001,1.0,0.55
MSC03,MSC07,mem,0.89,0.8800000000000001,0.9
MSC03,MSC10,glass,0.5,1.0,0.0
MSC03,MSC10,semantic,0.5,1.0,0.0
MSC03,MSC10,motor,0.74,1.0,0.48
MSC03,MSC10,mem,0.9,0.7999999999999999,1.0
MSC04,MSC01,glass,0.65,1.0,0.3
MSC04,MSC01,semantic,0.8300000000000001,1.0,0.6599999999999999
MSC04,MSC01,motor,1.0,1.0,1.0
MSC04,MSC01,mem,0.96,0.9200000000000002,1.0
MSC04,MSC02,glass,0.625,1.0,0.25
MSC04,MSC02,semantic,0.7500000000000001,1.0,0.5
MSC04,MSC02,motor,0.9850000000000001,1.0,0.97
MSC04,MSC02,mem,0.95,0.9700000000000001,0.93
MSC04,MSC03,glass,0.6449999999999999,1.0,0.29000000000000004
MSC04,MSC03,semantic,0.7849999999999999,1.0,0.5700000000000001
MSC04,MSC03,motor,0.9549999999999998,0.9100000000000001,1.0
MSC04,MSC03,mem,0.7750000000000001,0.55,1.0
MSC04,MSC05,glass,0.5850000000000001,1.0,0.16999999999999998
MSC04,MSC05,semantic,0.52,1.0,0.04
MSC04,MSC05,motor,0.9600000000000002,1.0,0.9200000000000002
MSC04,MSC05,mem,0.9550000000000001,1.0,0.9099999999999999
MSC04,MSC06,glass,0.8611111111111109,1.0,0.7222222222222223
MSC04,MSC06,semantic,0.62,1.0,0.24000000000000005
MSC04,MSC06,motor,0.9099999999999999,1.0,0.82
MSC04,MSC06,mem,1.0,1.0,1.0
MSC04,MSC07,glass,0.735,0.9100000000000001,0.5599999999999998
MSC04,MSC07,semantic,0.905,1.0,0.8099999999999999
MSC04,MSC07,motor,0.9800000000000001,0.99,0.97
MSC04,MSC07,mem,0.8800000000000001,0.76,1.0
MSC04,MSC10,glass,0.7949999999999999,1.0,0.5899999999999999
MSC04,MSC10,semantic,0.6649999999999999,1.0,0.33
MSC04,MSC10,motor,0.97,0.99,0.95
MSC04,MSC10,mem,0.9550000000000001,0.9099999999999999,1.0
MSC05,MSC01,glass,0.5499999999999999,1.0,0.09999999999999999
MSC05,MSC01,semantic,0.8600000000000001,1.0,0.72
MSC05,MSC01,motor,0.635,1.0,0.26999999999999996
MSC05,MSC01,mem,0.9949999999999999,0.99,1.0
MSC05,MSC02,glass,0.705,1.0,0.41
MSC05,MSC02,semantic,0.8099999999999998,1.0,0.6199999999999999
MSC05,MSC02,motor,0.9200000000000002,1.0,0.8400000000000001
MSC05,MSC02,mem,0.7250000000000001,0.45,1.0
MSC05,MSC03,glass,0.595,1.0,0.18999999999999997
MSC05,MSC03,semantic,0.905,1.0,0.8099999999999999
MSC05,MSC03,motor,0.845,1.0,0.6900000000000001
MSC05,MSC03,mem,0.93,0.9800000000000001,0.8800000000000001
MSC05,MSC04,glass,0.505,1.0,0.01
MSC05,MSC04,semantic,0.675,1.0,0.35
MSC05,MSC04,motor,0.7150000000000001,1.0,0.4299999999999999
MSC05,MSC04,mem,0.835,0.9800000000000001,0.6900000000000001
MSC05,MSC06,glass,0.5944444444444444,1.0,0.18888888888888894
MSC05,MSC06,semantic,0.685,1.0,0.37
MSC05,MSC06,motor,0.755,1.0,0.51
MSC05,MSC06,mem,0.9949999999999999,1.0,0.99
MSC05,MSC07,glass,0.5449999999999999,1.0,0.09
MSC05,MSC07,semantic,0.77,1.0,0.5399999999999999
MSC05,MSC07,motor,0.685,0.9800000000000001,0.38999999999999996
MSC05,MSC07,mem,0.8950000000000001,0.9100000000000001,0.8800000000000001
MSC05,MSC10,glass,0.505,1.0,0.01
MSC05,MSC10,semantic,0.535,1.0,0.07
MSC05,MSC10,motor,0.7050000000000001,1.0,0.41
MSC05,MSC10,mem,0.9000000000000001,0.9000000000000001,0.9000000000000001
MSC06,MSC01,glass,0.5611111111111111,1.0,0.12222222222222223
MSC06,MSC01,semantic,0.7750000000000001,1.0,0.5499999999999999
MSC06,MSC01,motor,0.585,0.17,1.0
MSC06,MSC01,mem,0.9600000000000002,0.9200000000000002,1.0
MSC06,MSC02,glass,0.5055555555555555,1.0,0.011111111111111112
MSC06,MSC02,semantic,0.75,0.99,0.51
MSC06,MSC02,motor,0.6400000000000001,0.35,0.93
MSC06,MSC02,mem,0.9399999999999998,0.96,0.9200000000000002
MSC06,MSC03,glass,0.5,1.0,0.0
MSC06,MSC03,semantic,0.8150000000000001,0.99,0.64
MSC06,MSC03,motor,0.64,0.29,0.99
MSC06,MSC03,mem,0.925,0.86,0.99
MSC06,MSC04,glass,0.6388888888888888,1.0,0.2777777777777778
MSC06,MSC04,semantic,0.7300000000000001,1.0,0.45999999999999996
MSC06,MSC04,motor,0.755,0.51,1.0
MSC06,MSC04,mem,0.9850000000000001,0.9800000000000001,0.99
MSC06,MSC05,glass,0.55,1.0,0.09999999999999999
MSC06,MSC05,semantic,0.7699999999999999,1.0,0.5399999999999999
MSC06,MSC05,motor,0.99,1.0,0.9800000000000001
MSC06,MSC05,mem,0.9800000000000001,1.0,0.96
MSC06,MSC07,glass,0.5611111111111111,1.0,0.12222222222222223
MSC06,MSC07,semantic,0.875,0.97,0.78
MSC06,MSC07,motor,0.645,0.29000000000000004,1.0
MSC06,MSC07,mem,0.885,0.77,1.0
MSC06,MSC10,glass,0.5555555555555556,1.0,0.1111111111111111
MSC06,MSC10,semantic,0.755,0.99,0.52
MSC06,MSC10,motor,0.6100000000000001,0.22000000000000003,1.0
MSC06,MSC10,mem,0.9550000000000001,0.9099999999999999,1.0
MSC07,MSC01,glass,0.57,1.0,0.13999999999999999
MSC07,MSC01,semantic,0.6900000000000002,1.0,0.37999999999999995
MSC07,MSC01,motor,0.55,0.1,1.0
MSC07,MSC01,mem,0.915,0.8300000000000001,1.0
MSC07,MSC02,glass,0.5,1.0,0.0
MSC07,MSC02,semantic,0.5650000000000001,1.0,0.13000000000000006
MSC07,MSC02,motor,0.5999999999999999,0.20000000000000004,1.0
MSC07,MSC02,mem,0.78,0.58,0.9800000000000001
MSC07,MSC03,glass,0.5,1.0,0.0
MSC07,MSC03,semantic,0.5,1.0,0.0
MSC07,MSC03,motor,0.645,0.31,0.9800000000000001
MSC07,MSC03,mem,0.79,0.5800000000000001,1.0
MSC07,MSC04,glass,0.5,1.0,0.0
MSC07,MSC04,semantic,0.57,1.0,0.14
MSC07,MSC04,motor,0.7400000000000001,0.48,1.0
MSC07,MSC04,mem,0.925,0.9400000000000001,0.9100000000000001
MSC07,MSC05,glass,0.5,1.0,0.0
MSC07,MSC05,semantic,0.5,1.0,0.0
MSC07,MSC05,motor,0.795,0.6,0.99
MSC07,MSC05,mem,0.9850000000000001,1.0,0.97
MSC07,MSC06,glass,0.5,1.0,0.0
