train,task,same_subT,same_subR,diff_subT,diff_subR
MSC01,semantic,0.9,1.0,0.48142857142857143,0.9971428571428571
MSC02,semantic,0.9,1.0,0.07714285714285714,0.9985714285714286
MSC03,semantic,0.8,1.0,0.011428571428571429,1.0
MSC04,semantic,0.9,1.0,0.45,1.0
MSC05,semantic,0.9,1.0,0.49714285714285716,1.0
MSC06,semantic,0.9,1.0,0.5714285714285714,0.9914285714285714
MSC07,semantic,1.0,1.0,0.1057142857142857,1.0
MSC10,semantic,0.8,1.0,0.5385714285714286,0.9985714285714286
MSC01,glass,0.8,1.0,0.2318840579710145,1.0
MSC02,glass,0.6,1.0,0.034782608695652174,1.0
MSC03,glass,0.8,1.0,0.030434782608695653,1.0
MSC04,glass,0.9,1.0,0.4072463768115942,0.9871428571428572
MSC05,glass,0.9,1.0,0.14202898550724638,1.0
MSC06,glass,0.5555555555555556,1.0,0.10634920634920635,1.0
MSC07,glass,0.8,1.0,0.020289855072463767,1.0
MSC10,glass,0.7,1.0,0.2985507246376812,0.9814285714285714
MSC01,motor,1.0,1.0,0.861764705882353,0.9771428571428572
MSC02,motor,0.9,1.0,0.13529411764705884,1.0
MSC03,motor,0.9,1.0,0.6882352941176471,1.0
MSC04,motor,1.0,1.0,0.9544117647058824,0.9842857142857143
MSC05,motor,1.0,1.0,0.5205882352941176,0.9971428571428571
MSC06,motor,1.0,1.0,0.5893719806763285,1.0
MSC07,motor,1.0,1.0,0.7665056360708534,0.9873015873015873
MSC10,motor,0.9,1.0,0.7647058823529412,0.9857142857142858
MSC01,mem,1.0,1.0,0.9808823529411765,0.78
MSC02,mem,1.0,1.0,0.9838235294117648,0.8857142857142857
MSC03,mem,0.875,1.0,0.5160714285714286,1.0
MSC04,mem,1.0,1.0,0.9764705882352942,0.8728571428571429
MSC05,mem,1.0,1.0,0.9088235294117647,0.8871428571428571
MSC06,mem,1.0,1.0,0.9794117647058824,0.9142857142857143
MSC07,mem,1.0,1.0,0.9779411764705882,0.8285714285714285
MSC10,mem,0.9,1.0,0.9397058823529412,0.8071428571428572
