,train_task,test_task,sub,acc
0,glass,semantic,MSC01,0.95
1,glass,motor,MSC01,0.93
2,glass,mem,MSC01,0.73
3,semantic,glass,MSC01,0.85
4,semantic,motor,MSC01,0.735
5,semantic,mem,MSC01,0.6550000000000001
6,motor,glass,MSC01,0.7649999999999999
7,motor,semantic,MSC01,0.9000000000000001
8,motor,mem,MSC01,0.6500000000000001
9,mem,glass,MSC01,0.905
10,mem,semantic,MSC01,1.0
11,mem,motor,MSC01,1.0
12,glass,semantic,MSC02,0.845
13,glass,motor,MSC02,0.5900000000000001
14,glass,mem,MSC02,0.5599999999999999
15,semantic,glass,MSC02,0.645
16,semantic,motor,MSC02,0.5
17,semantic,mem,MSC02,0.5
18,motor,glass,MSC02,0.5
19,motor,semantic,MSC02,0.5
20,motor,mem,MSC02,0.5
21,mem,glass,MSC02,0.745
22,mem,semantic,MSC02,0.8299999999999998
23,mem,motor,MSC02,0.63
24,glass,semantic,MSC03,0.7749999999999999
25,glass,motor,MSC03,0.905
26,glass,mem,MSC03,0.605
27,semantic,glass,MSC03,0.68
28,semantic,motor,MSC03,0.6800000000000002
29,semantic,mem,MSC03,0.625
30,motor,glass,MSC03,0.68
31,motor,semantic,MSC03,0.5499999999999999
32,motor,mem,MSC03,0.5849999999999999
33,mem,glass,MSC03,0.5449999999999999
34,mem,semantic,MSC03,0.7649999999999999
35,mem,motor,MSC03,0.8750000000000002
36,glass,semantic,MSC04,0.97
37,glass,motor,MSC04,0.9
38,glass,mem,MSC04,0.8499999999999999
39,semantic,glass,MSC04,0.82
40,semantic,motor,MSC04,0.5149999999999999
41,semantic,mem,MSC04,0.725
42,motor,glass,MSC04,0.925
43,motor,semantic,MSC04,0.5599999999999998
44,motor,mem,MSC04,0.6549999999999999
45,mem,glass,MSC04,0.99
46,mem,semantic,MSC04,0.95
47,mem,motor,MSC04,0.8999999999999998
48,glass,semantic,MSC05,0.9100000000000001
49,glass,motor,MSC05,0.8499999999999999
50,glass,mem,MSC05,0.9350000000000002
51,semantic,glass,MSC05,0.89
52,semantic,motor,MSC05,0.7150000000000001
53,semantic,mem,MSC05,0.8450000000000001
54,motor,glass,MSC05,0.74
55,motor,semantic,MSC05,0.635
56,motor,mem,MSC05,0.7899999999999999
57,mem,glass,MSC05,0.905
58,mem,semantic,MSC05,0.89
59,mem,motor,MSC05,1.0
60,glass,semantic,MSC06,0.8555555555555555
61,glass,motor,MSC06,0.7055555555555555
62,glass,mem,MSC06,0.9055555555555556
63,semantic,glass,MSC06,0.7666666666666666
64,semantic,motor,MSC06,0.645
65,semantic,mem,MSC06,0.8200000000000001
66,motor,glass,MSC06,0.55
67,motor,semantic,MSC06,0.7
68,motor,mem,MSC06,0.745
69,mem,glass,MSC06,0.8444444444444444
70,mem,semantic,MSC06,0.8399999999999999
71,mem,motor,MSC06,0.9099999999999999
72,glass,semantic,MSC07,1.0
73,glass,motor,MSC07,0.5900000000000001
74,glass,mem,MSC07,0.675
75,semantic,glass,MSC07,0.9200000000000002
76,semantic,motor,MSC07,0.5499999999999999
77,semantic,mem,MSC07,0.585
78,motor,glass,MSC07,0.5
79,motor,semantic,MSC07,0.5449999999999999
80,motor,mem,MSC07,0.5
81,mem,glass,MSC07,0.95
82,mem,semantic,MSC07,0.925
83,mem,motor,MSC07,0.7849999999999999
84,glass,semantic,MSC10,0.8950000000000001
85,glass,motor,MSC10,0.8699999999999999
86,glass,mem,MSC10,0.825
87,semantic,glass,MSC10,0.8850000000000001
88,semantic,motor,MSC10,0.6900000000000001
89,semantic,mem,MSC10,0.7999999999999999
90,motor,glass,MSC10,0.61
91,motor,semantic,MSC10,0.5999999999999999
92,motor,mem,MSC10,0.635
93,mem,glass,MSC10,0.8499999999999999
94,mem,semantic,MSC10,0.8499999999999999
95,mem,motor,MSC10,0.9100000000000001
