train,test_task,same_subT,diffT
MSC01,semantic,1.0,1.0
MSC02,semantic,1.0,1.0
MSC03,semantic,0.9375,1.0
MSC04,semantic,1.0,1.0
MSC05,semantic,1.0,1.0
MSC06,semantic,0.9444444444444444,1.0
MSC07,semantic,1.0,1.0
MSC10,semantic,1.0,0.88
MSC01,glass,1.0,1.0
MSC02,glass,1.0,0.99
MSC03,glass,1.0,0.9
MSC04,glass,1.0,1.0
MSC05,glass,1.0,0.91
MSC06,glass,1.0,0.8641975308641975
MSC07,glass,1.0,1.0
MSC10,glass,0.975,1.0
MSC01,motor,1.0,1.0
MSC02,motor,1.0,0.91
MSC03,motor,1.0,1.0
MSC04,motor,1.0,0.91
MSC05,motor,1.0,1.0
MSC06,motor,0.9444444444444444,1.0
MSC07,motor,1.0,0.7654320987654321
MSC10,motor,0.975,0.98
MSC01,mem,0.975,0.91
MSC02,mem,0.975,0.89
MSC03,mem,1.0,0.765625
MSC04,mem,1.0,0.91
MSC05,mem,1.0,1.0
MSC06,mem,0.9166666666666666,1.0
MSC07,mem,0.9722222222222222,0.7333333333333333
MSC10,mem,0.975,0.99
