train,train_task,Same Rest,Different Rest,Same Task,Different Task
MSC01,semantic,1.0,1.0,0.9,0.6966666666666667
MSC02,semantic,1.0,1.0,0.9,0.21
MSC03,semantic,1.0,1.0,0.9,0.7035714285714286
MSC04,semantic,1.0,1.0,0.9,0.5866666666666667
MSC05,semantic,1.0,1.0,1.0,0.7266666666666667
MSC06,semantic,1.0,0.99,1.0,0.775
MSC07,semantic,1.0,1.0,1.0,0.48620689655172417
MSC10,semantic,1.0,0.92,0.9,0.7266666666666667
MSC01,glass,1.0,0.92,0.8,0.86
MSC02,glass,1.0,1.0,0.8,0.6733333333333333
MSC03,glass,1.0,0.99,0.9,0.7071428571428572
MSC04,glass,1.0,1.0,0.9,0.9433333333333334
MSC05,glass,1.0,1.0,0.9,0.8966666666666667
MSC06,glass,1.0,0.9111111111111111,0.7777777777777778,0.9501915708812261
MSC07,glass,1.0,1.0,0.9,0.7413793103448276
MSC10,glass,0.9,0.9400000000000001,0.8,0.8366666666666667
MSC01,motor,1.0,0.9,1.0,0.7333333333333333
MSC02,motor,1.0,1.0,0.9,0.08
MSC03,motor,1.0,1.0,1.0,0.40714285714285714
MSC04,motor,1.0,1.0,1.0,0.6933333333333334
MSC05,motor,1.0,1.0,1.0,0.57
MSC06,motor,1.0,1.0,1.0,0.5095785440613027
MSC07,motor,1.0,1.0,1.0,0.09259259259259259
MSC10,motor,1.0,1.0,1.0,0.48333333333333334
MSC01,mem,1.0,0.8400000000000001,1.0,0.9733333333333334
MSC02,mem,1.0,1.0,1.0,0.79
MSC03,mem,1.0,0.7125,1.0,0.9
MSC04,mem,1.0,0.9,1.0,0.9033333333333333
MSC05,mem,1.0,1.0,1.0,0.9666666666666667
MSC06,mem,1.0,0.89,1.0,0.8892857142857143
MSC07,mem,1.0,0.7,1.0,0.8620689655172413
MSC10,mem,0.9,0.98,1.0,0.8866666666666667
