train_task,test_task,sub,acc
glass,semantic,MSC01,0.9000000000000001
glass,motor,MSC01,0.8600000000000001
glass,mem,MSC01,0.4600000000000001
semantic,glass,MSC01,0.7
semantic,motor,MSC01,0.47000000000000003
semantic,mem,MSC01,0.30999999999999994
motor,glass,MSC01,0.53
motor,semantic,MSC01,0.7999999999999999
motor,mem,MSC01,0.29999999999999993
mem,glass,MSC01,0.8099999999999999
mem,semantic,MSC01,1.0
mem,motor,MSC01,1.0
glass,semantic,MSC02,0.6899999999999998
glass,motor,MSC02,0.18000000000000002
glass,mem,MSC02,0.12000000000000004
semantic,glass,MSC02,0.29
semantic,motor,MSC02,0.0
semantic,mem,MSC02,0.0
motor,glass,MSC02,0.0
motor,semantic,MSC02,0.0
motor,mem,MSC02,0.0
mem,glass,MSC02,0.49000000000000005
mem,semantic,MSC02,0.6599999999999999
mem,motor,MSC02,0.26000000000000006
glass,semantic,MSC03,0.5499999999999999
glass,motor,MSC03,0.8099999999999999
glass,mem,MSC03,0.2625
semantic,glass,MSC03,0.36
semantic,motor,MSC03,0.35999999999999993
semantic,mem,MSC03,0.3125
motor,glass,MSC03,0.36
motor,semantic,MSC03,0.09999999999999999
motor,mem,MSC03,0.2125
mem,glass,MSC03,0.1625
mem,semantic,MSC03,0.425
mem,motor,MSC03,0.7374999999999999
glass,semantic,MSC04,0.9400000000000001
glass,motor,MSC04,0.8
glass,mem,MSC04,0.7
semantic,glass,MSC04,0.6399999999999999
semantic,motor,MSC04,0.030000000000000006
semantic,mem,MSC04,0.45
motor,glass,MSC04,0.85
motor,semantic,MSC04,0.12
motor,mem,MSC04,0.31000000000000005
mem,glass,MSC04,0.9800000000000001
mem,semantic,MSC04,0.9000000000000001
mem,motor,MSC04,0.8
glass,semantic,MSC05,0.8200000000000001
glass,motor,MSC05,0.7000000000000001
glass,mem,MSC05,0.8700000000000001
semantic,glass,MSC05,0.78
semantic,motor,MSC05,0.4299999999999999
semantic,mem,MSC05,0.6900000000000001
motor,glass,MSC05,0.48
motor,semantic,MSC05,0.27
motor,mem,MSC05,0.5799999999999998
mem,glass,MSC05,0.8099999999999999
mem,semantic,MSC05,0.78
mem,motor,MSC05,1.0
glass,semantic,MSC06,0.7111111111111111
glass,motor,MSC06,0.44444444444444436
glass,mem,MSC06,0.8111111111111111
semantic,glass,MSC06,0.5333333333333333
semantic,motor,MSC06,0.31111111111111117
semantic,mem,MSC06,0.6399999999999999
motor,glass,MSC06,0.024691358024691357
motor,semantic,MSC06,0.18888888888888888
motor,mem,MSC06,0.09999999999999999
mem,glass,MSC06,0.6888888888888889
mem,semantic,MSC06,0.68
mem,motor,MSC06,0.8
glass,semantic,MSC07,1.0
glass,motor,MSC07,0.19999999999999996
glass,mem,MSC07,0.35
semantic,glass,MSC07,0.8400000000000001
semantic,motor,MSC07,0.11111111111111113
semantic,mem,MSC07,0.17
motor,glass,MSC07,0.0
motor,semantic,MSC07,0.0
motor,mem,MSC07,0.0
mem,glass,MSC07,0.9
mem,semantic,MSC07,0.8500000000000002
mem,motor,MSC07,0.5222222222222221
glass,semantic,MSC10,0.7900000000000001
glass,motor,MSC10,0.74
glass,mem,MSC10,0.65
semantic,glass,MSC10,0.7699999999999999
semantic,motor,MSC10,0.38
semantic,mem,MSC10,0.6
motor,glass,MSC10,0.22000000000000003
motor,semantic,MSC10,0.19999999999999998
motor,mem,MSC10,0.27
mem,glass,MSC10,0.7000000000000001
mem,semantic,MSC10,0.7000000000000001
mem,motor,MSC10,0.8200000000000001
