,test_task,train_task,Mean,Std
0,glass,mem,0.8418055555555555,0.1410135114293795
1,glass,motor,0.6587500000000001,0.14824569374617838
2,glass,semantic,0.8070833333333334,0.10124914265754992
3,mem,glass,0.7606944444444445,0.13953113412343038
4,mem,motor,0.6325,0.10395740886123918
5,mem,semantic,0.6943750000000001,0.12344569367018962
6,motor,glass,0.7925694444444444,0.14242945513958133
7,motor,mem,0.87625,0.12097077569160482
8,motor,semantic,0.62875,0.09341726668173139
9,semantic,glass,0.9000694444444445,0.07382437659910795
10,semantic,mem,0.8812499999999999,0.07524958471646212
11,semantic,motor,0.6237499999999999,0.12752450744856855
