train_task,test_task,CV_acc,SS_acc,DS_acc,CV_sen,CV_spec
glass,semantic,0.5142857142857142,0.9619047619047619,0.014285714285714287,0.042857142857142864,0.9857142857142858
glass,motor,0.5142857142857142,0.6952380952380952,0.042857142857142864,0.042857142857142864,0.9857142857142858
glass,mem,0.5142857142857142,0.49047619047619045,0.014285714285714287,0.042857142857142864,0.9857142857142858
semantic,glass,0.5214285714285715,0.7380952380952381,0.07142857142857142,0.08571428571428573,0.9571428571428572
semantic,motor,0.5214285714285715,0.1642857142857143,0.08571428571428572,0.08571428571428573,0.9571428571428572
semantic,mem,0.5214285714285715,0.3380952380952381,0.014285714285714287,0.08571428571428573,0.9571428571428572
motor,glass,0.6071428571428571,0.2571428571428572,0.7285714285714285,0.6714285714285715,0.5428571428571428
motor,semantic,0.6071428571428571,0.11190476190476191,0.7142857142857143,0.6714285714285715,0.5428571428571428
motor,mem,0.6071428571428571,0.09999999999999999,0.6142857142857142,0.6714285714285715,0.5428571428571428
mem,glass,0.5,0.9261904761904763,1.0,1.0,0.0
mem,semantic,0.5,0.9642857142857143,1.0,1.0,0.0
mem,motor,0.5,0.9214285714285715,1.0,1.0,0.0
