train_task,test_task,sub,acc
glass,semantic,MSC01,1.0
glass,motor,MSC01,1.0
glass,mem,MSC01,0.97
semantic,glass,MSC01,0.97
semantic,motor,MSC01,1.0
semantic,mem,MSC01,0.8
motor,glass,MSC01,0.9500000000000002
motor,semantic,MSC01,1.0
motor,mem,MSC01,0.61
mem,glass,MSC01,0.8700000000000001
mem,semantic,MSC01,0.9500000000000002
mem,motor,MSC01,0.85
glass,semantic,MSC02,1.0
glass,motor,MSC02,0.8900000000000002
glass,mem,MSC02,0.85
semantic,glass,MSC02,0.73
semantic,motor,MSC02,0.29999999999999993
semantic,mem,MSC02,0.41999999999999993
motor,glass,MSC02,0.21000000000000002
motor,semantic,MSC02,0.06000000000000001
motor,mem,MSC02,0.26
mem,glass,MSC02,0.04
mem,semantic,MSC02,0.27
mem,motor,MSC02,0.1
glass,semantic,MSC03,0.96
glass,motor,MSC03,0.9800000000000001
glass,mem,MSC03,0.8625
semantic,glass,MSC03,0.99
semantic,motor,MSC03,0.8900000000000002
semantic,mem,MSC03,0.875
motor,glass,MSC03,0.5599999999999999
motor,semantic,MSC03,0.42000000000000004
motor,mem,MSC03,0.2875
mem,glass,MSC03,0.45
mem,semantic,MSC03,0.4625
mem,motor,MSC03,0.4375
glass,semantic,MSC04,1.0
glass,motor,MSC04,0.9100000000000001
glass,mem,MSC04,0.9100000000000001
semantic,glass,MSC04,1.0
semantic,motor,MSC04,0.7799999999999999
semantic,mem,MSC04,0.8099999999999999
motor,glass,MSC04,0.9
motor,semantic,MSC04,0.99
motor,mem,MSC04,0.5999999999999999
mem,glass,MSC04,0.62
mem,semantic,MSC04,0.8300000000000001
mem,motor,MSC04,0.29999999999999993
glass,semantic,MSC05,1.0
glass,motor,MSC05,0.9700000000000001
glass,mem,MSC05,1.0
semantic,glass,MSC05,1.0
semantic,motor,MSC05,0.9800000000000001
semantic,mem,MSC05,0.9800000000000001
motor,glass,MSC05,0.76
motor,semantic,MSC05,0.7
motor,mem,MSC05,0.89
mem,glass,MSC05,0.6599999999999999
mem,semantic,MSC05,0.82
mem,motor,MSC05,0.45999999999999996
glass,semantic,MSC06,1.0
glass,motor,MSC06,0.8888888888888891
glass,mem,MSC06,0.9777777777777779
semantic,glass,MSC06,1.0
semantic,motor,MSC06,0.9555555555555555
semantic,mem,MSC06,0.9000000000000001
motor,glass,MSC06,0.33333333333333337
motor,semantic,MSC06,0.5
motor,mem,MSC06,0.5111111111111111
mem,glass,MSC06,0.5777777777777777
mem,semantic,MSC06,0.7300000000000001
mem,motor,MSC06,0.32222222222222224
glass,semantic,MSC07,1.0
glass,motor,MSC07,0.7000000000000001
glass,mem,MSC07,1.0
semantic,glass,MSC07,1.0
semantic,motor,MSC07,0.6333333333333333
semantic,mem,MSC07,0.96
motor,glass,MSC07,0.15555555555555556
motor,semantic,MSC07,0.0
motor,mem,MSC07,0.3111111111111111
mem,glass,MSC07,0.6699999999999999
mem,semantic,MSC07,0.27
mem,motor,MSC07,0.33333333333333337
glass,semantic,MSC10,0.99
glass,motor,MSC10,1.0
glass,mem,MSC10,0.9100000000000001
semantic,glass,MSC10,1.0
semantic,motor,MSC10,0.9100000000000001
semantic,mem,MSC10,0.9100000000000001
motor,glass,MSC10,0.35
motor,semantic,MSC10,0.36999999999999994
motor,mem,MSC10,0.4800000000000001
mem,glass,MSC10,0.4699999999999999
mem,semantic,MSC10,0.6499999999999999
mem,motor,MSC10,0.8300000000000001
