train,same_sub,diff_sub
MSC01,0.425,0.48318840579710143
MSC02,0.4625,0.4617391304347826
MSC03,0.484375,0.5353025936599424
MSC04,0.425,0.5918840579710145
MSC05,0.4875,0.5765217391304348
MSC06,0.5833333333333334,0.4745437079731028
MSC07,0.5833333333333334,0.5247270391779062
MSC10,0.475,0.5414492753623189
MSC01,0.425,0.5194202898550725
MSC02,0.575,0.5182608695652174
MSC03,0.5625,0.42327089337175794
MSC04,0.5125,0.6205797101449275
MSC05,0.575,0.4628985507246377
MSC06,0.5138888888888888,0.36439321165545946
MSC07,0.4722222222222222,0.4630700064226076
MSC10,0.5125,0.5156521739130435
MSC01,0.625,0.5660869565217391
MSC02,0.5125,0.4231884057971015
MSC03,0.515625,0.5446685878962536
MSC04,0.4875,0.4655072463768116
MSC05,0.5,0.5397101449275362
MSC06,0.4166666666666667,0.5312199807877042
MSC07,0.5555555555555556,0.49229287090558765
MSC10,0.4625,0.5107246376811594
MSC01,0.475,0.5402898550724637
MSC02,0.4375,0.5046376811594203
MSC03,0.53125,0.5259365994236311
MSC04,0.5125,0.503768115942029
MSC05,0.4125,0.3898550724637681
MSC06,0.5555555555555556,0.5206532180595581
MSC07,0.4583333333333333,0.3930635838150289
MSC10,0.3875,0.46608695652173915
MSC01,0.5375,0.5556521739130434
MSC02,0.525,0.5002898550724638
MSC03,0.625,0.4834293948126801
MSC04,0.675,0.5942028985507246
MSC05,0.55,0.5330434782608695
MSC06,0.5138888888888888,0.5139289145052834
MSC07,0.6666666666666666,0.6615285806037251
MSC10,0.5,0.46956521739130436
MSC01,0.525,0.5014492753623189
MSC02,0.525,0.44782608695652176
MSC03,0.4375,0.5410662824207493
MSC04,0.3875,0.3849275362318841
MSC05,0.5625,0.5150724637681159
MSC06,0.375,0.5558757604867115
MSC07,0.3472222222222222,0.49229287090558765
MSC10,0.4375,0.5278260869565218
MSC01,0.425,0.4127536231884058
MSC02,0.4875,0.5640579710144927
MSC03,0.421875,0.4791066282420749
MSC04,0.6125,0.6678260869565217
MSC05,0.45,0.43623188405797103
MSC06,0.4583333333333333,0.45405059237912265
MSC07,0.4722222222222222,0.51669877970456
MSC10,0.5625,0.4820289855072464
MSC01,0.55,0.5501449275362319
MSC02,0.55,0.4971014492753623
MSC03,0.5625,0.5097262247838616
MSC04,0.45,0.5020289855072464
MSC05,0.5375,0.5481159420289855
MSC06,0.5833333333333334,0.4924751841178354
MSC07,0.4722222222222222,0.4983943481053308
MSC10,0.4875,0.4608695652173913
MSC01,0.5375,0.4817391304347826
MSC02,0.5375,0.5434782608695652
MSC03,0.46875,0.5486311239193083
