train,acc,network,feature
MSC01,-0.03,unassign,14808
MSC02,-0.05,unassign,14808
MSC03,-0.04,unassign,14808
MSC04,-0.06,unassign,14808
MSC05,-0.01,unassign,14808
MSC06,0.0,unassign,14808
MSC07,-0.03,unassign,14808
MSC10,-0.01,unassign,14808
MSC01,-0.06,default,10824
MSC02,-0.08,default,10824
MSC03,-0.11,default,10824
MSC04,-0.09,default,10824
MSC05,-0.05,default,10824
MSC06,-0.07,default,10824
MSC07,-0.06,default,10824
MSC10,-0.07,default,10824
MSC01,-0.05,visual,8736
MSC02,-0.05,visual,8736
MSC03,-0.15,visual,8736
MSC04,-0.05,visual,8736
MSC05,-0.03,visual,8736
MSC06,-0.03,visual,8736
MSC07,0.0,visual,8736
MSC10,-0.02,visual,8736
MSC01,-0.01,fp,4620
MSC02,-0.03,fp,4620
MSC03,-0.01,fp,4620
MSC04,-0.05,fp,4620
MSC05,-0.03,fp,4620
MSC06,-0.01,fp,4620
MSC07,-0.03,fp,4620
MSC10,-0.01,fp,4620
MSC01,-0.01,dan,5264
MSC02,-0.04,dan,5264
MSC03,-0.06,dan,5264
MSC04,-0.06,dan,5264
MSC05,-0.01,dan,5264
MSC06,-0.03,dan,5264
MSC07,0.0,dan,5264
MSC10,-0.02,dan,5264
MSC01,-0.01,van,3151
MSC02,-0.01,van,3151
MSC03,0.0,van,3151
MSC04,0.0,van,3151
MSC05,0.0,van,3151
MSC06,0.0,van,3151
MSC07,-0.01,van,3151
MSC10,0.0,van,3151
MSC01,0.0,salience,494
MSC02,0.0,salience,494
MSC03,0.0,salience,494
MSC04,0.0,salience,494
MSC05,0.0,salience,494
MSC06,0.0,salience,494
MSC07,0.0,salience,494
MSC10,0.0,salience,494
MSC01,-0.01,co,4060
MSC02,-0.04,co,4060
MSC03,-0.05,co,4060
MSC04,0.0,co,4060
MSC05,0.0,co,4060
MSC06,0.0,co,4060
MSC07,-0.04,co,4060
MSC10,-0.01,co,4060
MSC01,-0.01,sm,2375
MSC02,-0.01,sm,2375
MSC03,0.0,sm,2375
MSC04,0.0,sm,2375
MSC05,0.0,sm,2375
MSC06,-0.01,sm,2375
MSC07,0.0,sm,2375
MSC10,-0.02,sm,2375
MSC01,0.0,sm-lat,316
MSC02,0.0,sm-lat,316
MSC03,0.0,sm-lat,316
MSC04,0.0,sm-lat,316
MSC05,0.0,sm-lat,316
MSC06,0.01,sm-lat,316
MSC07,0.0,sm-lat,316
MSC10,0.0,sm-lat,316
MSC01,-0.01,auditory,564
MSC02,0.0,auditory,564
MSC03,0.0,auditory,564
MSC04,0.0,auditory,564
MSC05,0.0,auditory,564
MSC06,0.0,auditory,564
MSC07,0.0,auditory,564
MSC10,0.0,auditory,564
MSC01,0.0,pmn,45
MSC02,0.0,pmn,45
MSC03,0.0,pmn,45
MSC04,0.0,pmn,45
MSC05,0.0,pmn,45
MSC06,0.0,pmn,45
MSC07,0.0,pmn,45
MSC10,0.0,pmn,45
MSC01,0.0,pon,21
MSC02,0.0,pon,21
MSC03,0.0,pon,21
MSC04,0.0,pon,21
MSC05,0.0,pon,21
MSC06,0.0,pon,21
MSC07,0.0,pon,21
MSC10,0.0,pon,21
