train_sub,test_sub,train_task,test_task,acc,frames
MSC02,MSC05,mem,mixed,0.6900000000000002,50
MSC02,MSC06,mem,mixed,0.6250000000000001,50
MSC02,MSC07,mem,mixed,0.6149999999999999,50
MSC05,MSC02,mem,mixed,0.705,50
MSC05,MSC06,mem,mixed,0.68,50
MSC05,MSC07,mem,mixed,0.495,50
MSC06,MSC02,mem,mixed,0.5449999999999999,50
MSC06,MSC05,mem,mixed,0.45,50
MSC06,MSC07,mem,mixed,0.5549999999999999,50
MSC07,MSC02,mem,mixed,0.5650000000000001,50
MSC07,MSC05,mem,mixed,0.645,50
MSC07,MSC06,mem,mixed,0.43,50
MSC02,MSC05,mem,mixed,0.6900000000000002,50
MSC02,MSC06,mem,mixed,0.6250000000000001,50
MSC02,MSC07,mem,mixed,0.6149999999999999,50
MSC05,MSC02,mem,mixed,0.705,50
MSC05,MSC06,mem,mixed,0.68,50
MSC05,MSC07,mem,mixed,0.495,50
MSC06,MSC02,mem,mixed,0.5449999999999999,50
MSC06,MSC05,mem,mixed,0.45,50
MSC06,MSC07,mem,mixed,0.5549999999999999,50
MSC07,MSC02,mem,mixed,0.5650000000000001,50
MSC07,MSC05,mem,mixed,0.645,50
MSC07,MSC06,mem,mixed,0.43,50
MSC02,MSC05,mem,mixed,0.6900000000000002,50
MSC02,MSC06,mem,mixed,0.6250000000000001,50
MSC02,MSC07,mem,mixed,0.6149999999999999,50
MSC05,MSC02,mem,mixed,0.705,50
MSC05,MSC06,mem,mixed,0.68,50
MSC05,MSC07,mem,mixed,0.495,50
MSC06,MSC02,mem,mixed,0.5449999999999999,50
MSC06,MSC05,mem,mixed,0.45,50
MSC06,MSC07,mem,mixed,0.5549999999999999,50
MSC07,MSC02,mem,mixed,0.5650000000000001,50
MSC07,MSC05,mem,mixed,0.645,50
MSC07,MSC06,mem,mixed,0.43,50
MSC02,MSC05,mem,mixed,0.6900000000000002,50
MSC02,MSC06,mem,mixed,0.6250000000000001,50
MSC02,MSC07,mem,mixed,0.6149999999999999,50
MSC05,MSC02,mem,mixed,0.705,50
MSC05,MSC06,mem,mixed,0.68,50
MSC05,MSC07,mem,mixed,0.495,50
MSC06,MSC02,mem,mixed,0.5449999999999999,50
MSC06,MSC05,mem,mixed,0.45,50
MSC06,MSC07,mem,mixed,0.5549999999999999,50
MSC07,MSC02,mem,mixed,0.5650000000000001,50
MSC07,MSC05,mem,mixed,0.645,50
MSC07,MSC06,mem,mixed,0.43,50
MSC02,MSC05,mem,mixed,0.6900000000000002,50
